"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"NRXN3",311.722656779799,-1.11936324762168,0.097152941371243,-11.5216609175459,1.02613702863652e-30,1.31181357740893e-26,"NRXN3","Excitatory_Neurons"
"PARP8",18.8223736148117,-1.20225125073986,0.128068480799483,-9.38756549023349,6.14030590456952e-21,3.92488353420084e-17,"PARP8","Excitatory_Neurons"
"INPP4B",37.4958368770037,-1.74795839301401,0.187315589027752,-9.33162264863627,1.0426229098278e-20,4.4429637597462e-17,"INPP4B","Excitatory_Neurons"
"ACADVL",13.8803028951385,-1.63394123524765,0.176877997731382,-9.23767374237838,2.51914289624657e-20,8.05118069640403e-17,"ACADVL","Excitatory_Neurons"
"MYO16",26.2479480114277,-3.54265016934261,0.385102195196702,-9.19924688440974,3.60467234079285e-20,9.21642624093916e-17,"MYO16","Excitatory_Neurons"
"HDAC9",42.5414895732705,-1.88831146320761,0.206357612443983,-9.15067508701771,5.65788579062816e-20,1.20550686578984e-16,"HDAC9","Excitatory_Neurons"
"SPRY4-AS1",6.82387538111422,-2.41101777289179,0.268864755038754,-8.96739988305372,3.03596248077521e-19,4.85146804427879e-16,"SPRY4-AS1","Excitatory_Neurons"
"GPC6",22.1361582660038,-1.97416476948864,0.221150804374305,-8.92678086825904,4.38585017505375e-19,6.22985651532079e-16,"GPC6","Excitatory_Neurons"
"ENSG00000287100",12.4933531352568,-2.43789830805446,0.287982463011768,-8.46544016103799,2.55187105435037e-17,2.96573814171046e-14,"ENSG00000287100","Excitatory_Neurons"
"ENSG00000285783",10.8641135900625,-1.62500866135783,0.195792943587297,-8.29962832972733,1.04437602809757e-16,1.11260859526661e-13,"ENSG00000285783","Excitatory_Neurons"
"ENSG00000286619",5.42135112061365,2.48732431404969,0.302153466271928,8.23199000408348,1.84128622857275e-16,1.810692549698e-13,"ENSG00000286619","Excitatory_Neurons"
"COL18A1",3.28543592359475,-3.56533763047185,0.439799530494869,-8.1067335985104,5.19986970408005e-16,4.74822387835424e-13,"COL18A1","Excitatory_Neurons"
"GRM8",13.9410994782903,-1.98053757393286,0.251502225751124,-7.87483119888059,3.41203202027427e-15,2.86783830882236e-12,"GRM8","Excitatory_Neurons"
"DLX6-AS1",7.51561196254623,-5.14298363190519,0.663592579422467,-7.75021269282607,9.17387584486661e-15,6.51549048893193e-12,"DLX6-AS1","Excitatory_Neurons"
"PURA",15.6088143562093,1.02810700192059,0.133007087187195,7.72971593967489,1.07786826383247e-14,7.25235151833383e-12,"PURA","Excitatory_Neurons"
"LINC01435",2.66134932570479,-2.71748814857854,0.353118354067031,-7.69568649513667,1.40736494133587e-14,8.99587670501886e-12,"LINC01435","Excitatory_Neurons"
"TACC1",21.1986182587411,1.06360691744861,0.140389958613489,7.57608968585034,3.56125667764453e-14,2.16795739842894e-11,"TACC1","Excitatory_Neurons"
"PHACTR4",10.6911475958178,1.23497025244166,0.164295020928392,7.51678441296115,5.61398758484066e-14,3.12040075150448e-11,"PHACTR4","Excitatory_Neurons"
"IMMP2L",34.3440141908024,-1.02578066318594,0.138779414579344,-7.39144682440973,1.45239647923015e-13,7.42697463619131e-11,"IMMP2L","Excitatory_Neurons"
"UQCRB",20.286976148594,-2.01907517566848,0.279652326613242,-7.21994771193466,5.20075676445859e-13,2.37451694560138e-10,"UQCRB","Excitatory_Neurons"
"LRRC3B",3.4631729126359,-3.14385236453417,0.436160179692923,-7.20802244429465,5.67702747358087e-13,2.50259031800889e-10,"LRRC3B","Excitatory_Neurons"
"ACVR2A",10.430207054772,-1.2086068306056,0.168771333474603,-7.16120922743951,7.99684862905417e-13,3.40772376246095e-10,"ACVR2A","Excitatory_Neurons"
"NEAT1",33.4311282222686,3.40586846957374,0.479267375166142,7.10640583117737,1.19103856954549e-12,4.75819908533424e-10,"NEAT1","Excitatory_Neurons"
"EPHA5",23.6861829033497,-1.1711834222181,0.165510617135071,-7.07618304185471,1.48179113919919e-12,5.74036906773409e-10,"EPHA5","Excitatory_Neurons"
"PABPC1",12.9004116248118,1.40664753308918,0.199075245648658,7.06590881506043,1.59568175924095e-12,5.99976341474598e-10,"PABPC1","Excitatory_Neurons"
"SGCD",44.4473606325699,-1.28092232377462,0.181486464792298,-7.05794961205822,1.68977305259278e-12,6.17201677267032e-10,"SGCD","Excitatory_Neurons"
"TRPS1",48.795750856226,-2.384335137982,0.339568131761455,-7.02166933514534,2.19232895650374e-12,7.78520371665107e-10,"TRPS1","Excitatory_Neurons"
"ENSG00000286084",3.71466824393955,-2.04592993185908,0.29275047724178,-6.98864763991269,2.77548505213196e-12,9.58967592066351e-10,"ENSG00000286084","Excitatory_Neurons"
"STX12",9.4093887478774,1.26473634030291,0.181328035561967,6.974852710356,3.0619143294485e-12,1.00367981506845e-09,"STX12","Excitatory_Neurons"
"NRSN1",11.58852122015,-1.3339076211984,0.191213621774607,-6.97600729915957,3.03686956501389e-12,1.00367981506845e-09,"NRSN1","Excitatory_Neurons"
"SOX5",58.9039836083938,-1.4215317850152,0.204165979963907,-6.96262807969527,3.33982712633578e-12,1.06740874957692e-09,"SOX5","Excitatory_Neurons"
"DHX57",8.09886368008091,1.23571568632987,0.177703567591728,6.95380347776086,3.55566848695162e-12,1.10867477895584e-09,"DHX57","Excitatory_Neurons"
"CRY2",8.02557715626214,1.22066340896226,0.176223001965791,6.92681088930278,4.30433351957494e-12,1.27968836544758e-09,"CRY2","Excitatory_Neurons"
"CROCCP3",3.92066154237065,-1.98295195888338,0.287372911656688,-6.90027444636927,5.19021687725548e-12,1.50799392179168e-09,"CROCCP3","Excitatory_Neurons"
"CHRNE",2.32898242730609,2.77003216848614,0.4025503332009,6.88120699456408,5.9347540232556e-12,1.68599767629555e-09,"CHRNE","Excitatory_Neurons"
"PITPNA",8.84219895020573,1.29249604708484,0.188335659183367,6.86272611723752,6.7558679310528e-12,1.87754381805606e-09,"PITPNA","Excitatory_Neurons"
"TENM1",27.2761816423299,-2.40521748657663,0.351023963530722,-6.85200367058735,7.28226875392389e-12,1.9807771010673e-09,"TENM1","Excitatory_Neurons"
"TMEM108",59.1147771009719,-1.17276989687885,0.171824034610938,-6.82541240248696,8.76730858212989e-12,2.28737291661119e-09,"TMEM108","Excitatory_Neurons"
"NMNAT3",4.30201495555975,-2.38255699016208,0.349832548487346,-6.81056408405708,9.72167944772544e-12,2.43690098156318e-09,"NMNAT3","Excitatory_Neurons"
"TIA1",4.363148467226,-1.96569828234084,0.289405254289529,-6.79219970337614,1.10436526857614e-11,2.61448251731063e-09,"TIA1","Excitatory_Neurons"
"OSBPL10",9.16032177349018,-1.27887482481572,0.188249868070909,-6.79349652629771,1.09447874628658e-11,2.61448251731063e-09,"OSBPL10","Excitatory_Neurons"
"RAB3A",7.95976783508516,-1.77563203608257,0.262086377745358,-6.7749878927617,1.24416678503809e-11,2.89189603271399e-09,"RAB3A","Excitatory_Neurons"
"SLK",6.70674512445372,1.43846110436152,0.212561848773212,6.76725909500463,1.31244924518671e-11,2.9435703772749e-09,"SLK","Excitatory_Neurons"
"TLK1",16.0713594978473,-1.19492918414491,0.178397847503083,-6.6981143599519,2.11126022306683e-11,4.65350873994593e-09,"TLK1","Excitatory_Neurons"
"NXPH1",13.3439698096967,-3.80334893321005,0.56873095690353,-6.68743082655018,2.27122506592093e-11,4.92124427842935e-09,"NXPH1","Excitatory_Neurons"
"PER1",7.67367565021656,2.19781675002708,0.330257581437067,6.6548563108335,2.83576958934049e-11,6.04207973835481e-09,"PER1","Excitatory_Neurons"
"ENSG00000287683",6.53786744619582,-2.14016543816474,0.322009875547513,-6.64627267882955,3.00608131948278e-11,6.29995796528981e-09,"ENSG00000287683","Excitatory_Neurons"
"TRPC6",4.23880728097267,-3.65895608486448,0.551905441346786,-6.62967930871586,3.36416948536372e-11,6.93670043562739e-09,"TRPC6","Excitatory_Neurons"
"TTC14",20.4994762933957,-1.09790762351741,0.165875788121302,-6.61885399883994,3.61994152783161e-11,7.34560833203163e-09,"TTC14","Excitatory_Neurons"
"KLF12",17.7057572982235,-1.85596133550726,0.281356537087028,-6.59647490235203,4.21048739890315e-11,8.2810570627043e-09,"KLF12","Excitatory_Neurons"
"MAPK14",15.8870718793559,1.12635884392195,0.171276439020626,6.57626262177433,4.82420175190036e-11,9.34433260549912e-09,"MAPK14","Excitatory_Neurons"
"NDST3",15.4187833226405,-1.01863588136395,0.155355991574007,-6.55678529706852,5.49800816112935e-11,1.0490527810728e-08,"NDST3","Excitatory_Neurons"
"ENSG00000284418",5.36709593253799,-3.58096968820295,0.548386045403061,-6.53001606846315,6.57626356960517e-11,1.21841961556279e-08,"ENSG00000284418","Excitatory_Neurons"
"ARHGAP20",7.27766743793923,-1.65118449890341,0.252851937943801,-6.53024260889945,6.56632405341857e-11,1.21841961556279e-08,"ARHGAP20","Excitatory_Neurons"
"ZNF385D",63.9743233248145,-2.56836659315794,0.394323014044923,-6.51335707447535,7.34895304613e-11,1.34212879631037e-08,"ZNF385D","Excitatory_Neurons"
"KCNB2",43.4891044687484,-1.74516012320509,0.268074505240338,-6.50998169945515,7.51599611171876e-11,1.35330273651004e-08,"KCNB2","Excitatory_Neurons"
"TMPRSS9",1.63505798724923,2.80544295156039,0.431714321584775,6.49837823601016,8.11904693432663e-11,1.441581889006e-08,"TMPRSS9","Excitatory_Neurons"
"DPP10",513.927590617386,-1.40128937516551,0.215888255143401,-6.49080874841815,8.5376805204132e-11,1.4951466818214e-08,"DPP10","Excitatory_Neurons"
"HMCES",5.15631009361124,1.70297991550798,0.262691256790217,6.4828191707498,9.00243727178487e-11,1.53449544109997e-08,"HMCES","Excitatory_Neurons"
"ATP11B",14.0362909491821,1.110198851296,0.171212924753155,6.48431684054592,8.91347326279513e-11,1.53449544109997e-08,"ATP11B","Excitatory_Neurons"
"TESC",2.91627743890516,-2.01419239237829,0.311406253720696,-6.46805376678416,9.92731783119661e-11,1.658378090548e-08,"TESC","Excitatory_Neurons"
"PSMC1",6.9741297120081,1.29733457309837,0.200665140226808,6.46517163684742,1.0118389476122e-10,1.658378090548e-08,"PSMC1","Excitatory_Neurons"
"ENSG00000255910",12.7582295346666,-1.68070044465862,0.260174464196409,-6.45989778378036,1.04773727146752e-10,1.69547763018237e-08,"ENSG00000255910","Excitatory_Neurons"
"SPATA7",9.27370893852249,-1.49028481857686,0.231722689497799,-6.43132885176966,1.26493156732056e-10,2.02136064457826e-08,"SPATA7","Excitatory_Neurons"
"SERPINI2",1.28202978153217,2.99311346415958,0.469405368990456,6.37639375663049,1.81306421652463e-10,2.75931106476796e-08,"SERPINI2","Excitatory_Neurons"
"CWC27",11.1897366787389,-1.41017768053647,0.221061639218552,-6.37911527988945,1.78113928620425e-10,2.75931106476796e-08,"CWC27","Excitatory_Neurons"
"CFAP251",3.11578797158245,-2.00288893987796,0.314050068287364,-6.37761026705227,1.79872538792945e-10,2.75931106476796e-08,"CFAP251","Excitatory_Neurons"
"LPGAT1",13.9768191158113,1.21043725325198,0.18996946369163,6.37174643613688,1.8688769062342e-10,2.81079086697623e-08,"LPGAT1","Excitatory_Neurons"
"ENSG00000233928",11.7771905008341,-1.80842730954595,0.284016771990161,-6.36732576345386,1.92352359430551e-10,2.85934018948857e-08,"ENSG00000233928","Excitatory_Neurons"
"TMEM150C",3.93098931178698,-1.54680900418008,0.248334065219227,-6.2287427333603,4.7019316083981e-10,6.60543886612762e-08,"TMEM150C","Excitatory_Neurons"
"EXTL2",2.65495446371215,-2.86457484265801,0.460722415954948,-6.21757210731879,5.04906157192028e-10,7.01600034080748e-08,"EXTL2","Excitatory_Neurons"
"HS6ST3",130.212570797474,-1.30976132471031,0.21079417625408,-6.21346067517349,5.18302080187568e-10,7.12470300335255e-08,"HS6ST3","Excitatory_Neurons"
"SLX4IP",3.56572395881871,-2.05456026591294,0.331120552967211,-6.2048708468918,5.47418403545175e-10,7.44489028821437e-08,"SLX4IP","Excitatory_Neurons"
"SVIL-AS1",9.32891897984708,-1.05511348850262,0.170858970787076,-6.17534732675817,6.60181750411145e-10,8.78380841446795e-08,"SVIL-AS1","Excitatory_Neurons"
"RPLP0",5.44429326771285,1.23351111913048,0.199796196974951,6.17384683896225,6.66481082762352e-10,8.78380841446795e-08,"RPLP0","Excitatory_Neurons"
"NTNG1",24.7497609693121,-2.29588227316045,0.372908189510693,-6.15669577054063,7.42783407103627e-10,9.6895337514416e-08,"NTNG1","Excitatory_Neurons"
"COL5A2",10.0457976359889,-2.93616233585396,0.477138276145487,-6.15369271896074,7.56992885213681e-10,9.7751485298704e-08,"COL5A2","Excitatory_Neurons"
"ZMAT3",5.31316029914711,-1.7063630753605,0.277859480970947,-6.14110078014187,8.19515664757335e-10,1.04766882582578e-07,"ZMAT3","Excitatory_Neurons"
"CNTN5",371.952614112936,-1.68375477015019,0.276153905496019,-6.09716081011378,1.07968892698742e-09,1.35321012182423e-07,"CNTN5","Excitatory_Neurons"
