"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"DIRC3-AS1",23.356496083164,-2.04638087063197,0.139009951781553,-14.7211105709018,4.71847213817531e-49,4.99686199432765e-45,"DIRC3-AS1","OPCs"
"KAZN",169.022924775299,-1.1557090896907,0.0971897237485413,-11.8912683884241,1.31395826107925e-32,6.95740899241464e-29,"KAZN","OPCs"
"ENSG00000251600",22.0086159674735,-1.97792411880838,0.167945868887797,-11.7771525546116,5.11933660476867e-32,1.80712582148334e-28,"GUSBP5","OPCs"
"LMNA",16.100853341479,2.71054310475551,0.237583137424616,11.4088193890257,3.77822490879292e-30,1.00028504460293e-26,"LMNA","OPCs"
"RAB27B",9.48105067496605,-2.92605574407803,0.277306913028239,-10.5516869814928,4.98931115589554e-26,1.05673610281868e-22,"RAB27B","OPCs"
"NR2F2-AS1",21.9479533749672,-3.63738021339054,0.353193830651259,-10.2985383597543,7.15400069380761e-25,1.26268112245704e-21,"NR2F2-AS1","OPCs"
"ENSG00000287292",24.6452174251441,-1.73722754674888,0.169730221232503,-10.2352281999866,1.37869764579714e-24,1.82505100862397e-21,"ENSG00000287292","OPCs"
"HES5",5.26189914929164,-4.9675965744163,0.498643776208699,-9.96221513519341,2.23036927787834e-23,2.62440118363685e-20,"HES5","OPCs"
"SAMD4B",19.5022336496471,1.36793647285659,0.13782338242835,9.92528588948062,3.23175266717041e-23,3.42242607453346e-20,"SAMD4B","OPCs"
"ENSG00000251294",18.2726052836513,-2.81645720718028,0.290916865849018,-9.68131290346703,3.62036502080623e-22,3.485424142758e-19,"ENSG00000251294","OPCs"
"ENSG00000286481",8.63811005526171,-2.98102636871914,0.311744787024497,-9.56239363991321,1.15064110736817e-21,9.29193808604421e-19,"ENSG00000286481","OPCs"
"UBALD2",9.8111559798163,2.59030969045939,0.270737109957304,9.56761963983396,1.09395275789914e-21,9.29193808604421e-19,"UBALD2","OPCs"
"DIRC3",14.4898915550845,-1.86035182488824,0.195890263045674,-9.49690809519448,2.16214724106556e-21,1.52647595219229e-18,"DIRC3","OPCs"
"PHLDA3",9.14629039967683,2.39099020170885,0.262698116800456,9.10166479619279,8.89576221785727e-20,5.58804459527024e-17,"PHLDA3","OPCs"
"RANBP17",24.958858780051,-2.16441080339533,0.237827551477731,-9.10075720809831,8.97042097446591e-20,5.58804459527024e-17,"RANBP17","OPCs"
"ANKRD36BP2",4.76873087258025,-4.26442266261991,0.470216450934837,-9.06906309666924,1.20044761204849e-19,7.06263345088529e-17,"ANKRD36BP2","OPCs"
"SLC25A12",24.3262881819937,-1.45891693511229,0.161640022136014,-9.02571600667477,1.78524049513954e-19,9.45284842176386e-17,"SLC25A12","OPCs"
"GRIN2B",29.2452305663367,-2.40331555802971,0.266169117701451,-9.02928025153313,1.72804592321881e-19,9.45284842176386e-17,"GRIN2B","OPCs"
"ID2",7.0540186490592,-3.43529834312645,0.382181402108008,-8.988659113652,2.50264955502234e-19,1.26205041846127e-16,"ID2","OPCs"
"PTPRT",68.1692925048926,-2.23979849143569,0.253731750207978,-8.82742695622355,1.07111280072422e-18,5.15594752712249e-16,"PTPRT","OPCs"
"RBFOX1",248.906336947656,-2.53922400319074,0.290536964592758,-8.73976227689286,2.33601455403054e-18,9.91201912651902e-16,"RBFOX1","OPCs"
"L3MBTL1",21.3985903340207,1.15584918573516,0.132254663983614,8.73957220804227,2.33994785800732e-18,9.91201912651902e-16,"L3MBTL1","OPCs"
"FHIP1A",3.52430036131269,-4.58366895463945,0.528485774004622,-8.67321161723335,4.20100192041808e-18,1.71110039758567e-15,"FHIP1A","OPCs"
"SLC4A4",10.3987089036032,-2.06633461049552,0.238928581397943,-8.6483358265706,5.22558605325551e-18,2.04959097422133e-15,"SLC4A4","OPCs"
