Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Individuals,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,source_name,SRA Study,tissue
SRR10278808,RNA-Seq,150,3235904700,PRJNA577618,SAMN13030887,1706776884,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",AD,SRX6991953,GSM4120422,AD7-AD8,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T15:46:00Z,1,GSM4120422,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278809,RNA-Seq,150,3237605250,PRJNA577618,SAMN13030887,1702798603,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",AD,SRX6991953,GSM4120422,AD7-AD8,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T15:25:00Z,1,GSM4120422,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278810,RNA-Seq,150,3213829350,PRJNA577618,SAMN13030887,1701300299,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",AD,SRX6991953,GSM4120422,AD7-AD8,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T15:38:00Z,1,GSM4120422,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278811,RNA-Seq,150,3216009000,PRJNA577618,SAMN13030887,1700000075,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",AD,SRX6991953,GSM4120422,AD7-AD8,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T16:03:00Z,1,GSM4120422,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278812,RNA-Seq,150,3064315800,PRJNA577618,SAMN13030886,1617351072,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",AD,SRX6991954,GSM4120423,AD5-AD6,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T21:20:00Z,1,GSM4120423,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278813,RNA-Seq,150,3060639900,PRJNA577618,SAMN13030886,1610955089,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",AD,SRX6991954,GSM4120423,AD5-AD6,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T16:09:00Z,1,GSM4120423,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278814,RNA-Seq,150,3041220750,PRJNA577618,SAMN13030886,1610892492,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",AD,SRX6991954,GSM4120423,AD5-AD6,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T15:54:00Z,1,GSM4120423,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278815,RNA-Seq,150,3039823650,PRJNA577618,SAMN13030886,1608543561,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",AD,SRX6991954,GSM4120423,AD5-AD6,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T16:26:00Z,1,GSM4120423,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278816,RNA-Seq,150,3231620250,PRJNA577618,SAMN13030885,1707526351,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",AD,SRX6991955,GSM4120424,AD3-AD4,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T16:32:00Z,1,GSM4120424,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
SRR10278817,RNA-Seq,150,3227798550,PRJNA577618,SAMN13030885,1701525322,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",AD,SRX6991955,GSM4120424,AD3-AD4,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-16T00:00:00Z,2019-10-15T16:51:00Z,1,GSM4120424,Single Nuclei,Entorhinal Cortex of aged AD individuals,SRP225693,Entorhinal Cortex
