"cluster","top_panel","top_score","second_panel","second_score","delta","confidence","celltype"
"0","Mathys2019_Oligo_pan",1.68014601911533,"Marques2016_COPs",1.41032011230639,0.26982590680894,"Low","Oligodendrocytes"
"1","Mathys2019_Astrocytes_pan",2.96524452210561,"Mathys2019_Pericytes",2.77983311428427,0.185411407821331,"Low","Astrocytes"
"2","Mathys2019_OPCs_pan",4.15033338471716,"Mathys2019_Pericytes",0.22824004279996,3.9220933419172,"High","OPCs"
"3","Mathys2019_Oligo_pan",2.03029134645563,"Marques2016_COPs",1.4064494533905,0.623841893065123,"Medium","Oligodendrocytes"
"4","Mathys2019_Oligo_pan",1.70628424812325,"Marques2016_COPs",1.36214585069491,0.344138397428338,"Low","Oligodendrocytes"
"5","Mathys2019_Microglia_pan",4.22562477381171,"Hodge2019_Ex_L4",1.05542167181066,3.17020310200104,"High","Microglia"
"6","Habib2020_Reactive_DAA",3.84013016850669,"Mathys2019_Astrocytes_pan",2.6071251990256,1.23300496948109,"High","Astrocytes_Reactive"
"7","Hodge2019_Ex_L5_6",3.63129903473495,"Hodge2019_Ex_L4",3.06666351098956,0.564635523745384,"Medium","Ex_L5_6"
"8","Marques2016_COPs",2.26479157923046,"Mathys2019_Oligo_pan",1.42945404358427,0.835337535646192,"Medium","COPs"
"9","Hodge2019_Ex_L2_3",3.25987022964592,"Mathys2019_Excitatory_pan",2.14821485137918,1.11165537826674,"High","Ex_L2_3"
"10","Tasic2018_In_VIP",3.3619927874637,"Tasic2018_In_PVALB",1.3007302620125,2.0612625254512,"High","In_VIP"
"11","Marques2016_COPs",1.29694882186811,"Mathys2019_Oligo_pan",1.22056334915675,0.0763854727113553,"Low","COPs"
"12","Tasic2018_In_PVALB",2.07084467798572,"Mathys2019_Inhibitory_pan",1.97030619046256,0.10053848752316,"Low","In_PVALB"
"13","Mathys2019_Endothelial",4.0937028945523,"Vanlandewijck2018_VLMC",2.46277672837769,1.63092616617461,"High","Endothelial"
"14","Tasic2018_In_SST",3.63689133054041,"Mathys2019_Inhibitory_pan",1.49329740368472,2.14359392685569,"High","In_SST"
"15","Bakken2021_In_LAMP5_PAX6",3.93852628468927,"Mathys2019_Inhibitory_pan",2.23840275611844,1.70012352857083,"High","In_LAMP5_PAX6"
"16","Bakken2021_In_LAMP5",3.24960922873845,"Tasic2018_In_VIP",1.99111177766623,1.25849745107222,"High","In_LAMP5"
"17","Hodge2019_Cajal_Retzius",3.78303573434072,"Mathys2019_Excitatory_pan",0.421230966477588,3.36180476786313,"High","Cajal_Retzius"
"18","Hodge2019_Ex_L6b",3.95536103148239,"Tasic2018_In_PVALB",2.18333301207989,1.7720280194025,"High","Ex_L6b"
"19","Hodge2019_Ex_L6",3.80165351226794,"Mathys2019_Excitatory_pan",2.39990499369831,1.40174851856963,"High","Ex_L6"
