"cluster","top_panel","top_score","second_panel","second_score","delta","confidence","celltype"
"0","Mathys2019_Oligo_pan",1.70814750336233,"Marques2016_COPs",1.38233800181561,0.325809501546719,"Low","Oligodendrocytes"
"1","Mathys2019_Astrocytes_pan",2.96170242724107,"Mathys2019_Pericytes",2.76802775171472,0.193674675526352,"Low","Astrocytes"
"2","Mathys2019_OPCs_pan",4.09645098137715,"Hodge2019_Ex_L5_6",0.289210686139319,3.80724029523783,"High","OPCs"
"3","Mathys2019_Oligo_pan",2.10016416534049,"Marques2016_COPs",1.36220184653905,0.737962318801439,"Medium","Oligodendrocytes"
"4","Mathys2019_Oligo_pan",1.75914238312492,"Marques2016_COPs",1.36791668276148,0.391225700363439,"Low","Oligodendrocytes"
"5","Mathys2019_Microglia_pan",4.22601855011506,"Hodge2019_Ex_L4",1.4555772112321,2.77044133888296,"High","Microglia"
"6","Habib2020_Reactive_DAA",3.78189599855381,"Mathys2019_Astrocytes_pan",2.61877443080082,1.163121567753,"High","Astrocytes_Reactive"
"7","Hodge2019_Ex_L5_6",3.73435333725807,"Hodge2019_Ex_L4",2.81882839078748,0.915524946470592,"Medium","Ex_L5_6"
"8","Marques2016_COPs",2.48234909462684,"Mathys2019_Oligo_pan",1.41743390085334,1.0649151937735,"High","COPs"
"9","Hodge2019_Ex_L2_3",3.20870537499276,"Mathys2019_Excitatory_pan",2.08335415748042,1.12535121751234,"High","Ex_L2_3"
"10","Tasic2018_In_VIP",3.41534223730829,"Tasic2018_In_PVALB",1.33240020868867,2.08294202861963,"High","In_VIP"
"11","Mathys2019_Oligo_pan",1.16529153341923,"Marques2016_COPs",1.15864051042058,0.00665102299865028,NA,"Low_QC"
"12","Tasic2018_In_PVALB",2.01707229929197,"Mathys2019_Inhibitory_pan",1.94973267008336,0.0673396292086104,"Low","In_PVALB"
"13","Mathys2019_Endothelial",4.11984730030106,"Vanlandewijck2018_VLMC",2.51684608756724,1.60300121273382,"High","Endothelial"
"14","Tasic2018_In_SST",3.70632228823819,"Mathys2019_Inhibitory_pan",1.37363769260416,2.33268459563403,"High","In_SST"
"15","Bakken2021_In_LAMP5_PAX6",3.96112030390109,"Mathys2019_Inhibitory_pan",2.35051075610071,1.61060954780038,"High","In_LAMP5_PAX6"
"16","Bakken2021_In_LAMP5",3.26280256481865,"Tasic2018_In_VIP",2.01160831046912,1.25119425434953,"High","In_LAMP5"
"17","Hodge2019_Cajal_Retzius",3.9072929191043,"Mathys2019_Excitatory_pan",1.31017055466555,2.59712236443875,"High","Cajal_Retzius"
"18","Hodge2019_Ex_L6b",3.97970091532027,"Tasic2018_In_PVALB",2.18540117431081,1.79429974100946,"High","Ex_L6b"
"19","Hodge2019_Ex_L6",3.83037377256175,"Mathys2019_Excitatory_pan",1.1615549504495,2.66881882211224,"High","Ex_L6"
