"celltype","AD","Control","total","pct_AD"
"Oligodendrocytes",9847,11893,21740,45.3
"Astrocytes",2114,6944,9058,23.3
"OPCs",1567,4132,5699,27.5
"COPs",2912,1687,4599,63.3
"Microglia",1457,1829,3286,44.3
"Astrocytes_Reactive",869,1957,2826,30.8
"Ex_L5_6",855,1949,2804,30.5
"Ex_L2_3",574,1630,2204,26
"In_VIP",846,1118,1964,43.1
"In_PVALB",447,607,1054,42.4
"Endothelial",544,438,982,55.4
"In_SST",591,379,970,60.9
"In_LAMP5_PAX6",327,552,879,37.2
"In_LAMP5",281,590,871,32.3
"Cajal_Retzius",128,568,696,18.4
"Ex_L6b",82,211,293,28
"Ex_L6",1,233,234,0.4
