"seurat_clusters","Mathys2019_Excitatory_pan","Hodge2019_Ex_L2_3","Hodge2019_Ex_L4","Hodge2019_Ex_L5_6","Hodge2019_Ex_L6","Hodge2019_Ex_L6b","Mathys2019_Inhibitory_pan","Tasic2018_In_VIP","Tasic2018_In_SST","Tasic2018_In_PVALB","Bakken2021_In_LAMP5","Bakken2021_In_LAMP5_PAX6","Mathys2019_Astrocytes_pan","Habib2020_Reactive_DAA","Mathys2019_Microglia_pan","Mathys2019_Oligo_pan","Mathys2019_OPCs_pan","Marques2016_COPs","Mathys2019_Endothelial","Mathys2019_Pericytes","Vanlandewijck2018_VLMC","Hodge2019_Cajal_Retzius"
"0",-0.0547750847167963,-0.0252657357511213,-0.0701729603694566,-0.058381983932058,-0.0353481810531112,-0.0687374782589608,-0.0295648600858019,-0.0522869029928862,-0.051887134536365,0.191244858642469,-0.0524626760972926,-0.0143277542130112,-0.248481473890199,-0.0941315638839569,-0.0294679034163899,1.07923582095567,-0.249256834431324,0.191068736672225,-0.00147471801610444,-0.04820374008024,0.390270491824341,-0.0521767470917993
"1",-0.101086193273716,-0.0653649972793477,0.125112763977078,-0.0625913748126491,-0.0519348005628214,0.0331665197402617,-0.047391436718674,-0.0810985992674279,-0.0808716383170583,0.502195325237547,-0.117973269013055,0.00173154817191231,1.17250806703999,0.173775438428973,-0.0476796715193741,-0.511814073555756,-0.288500378164993,-0.336181614742714,-0.00588400038179175,0.292065555273094,0.521985195495709,-0.0638769418012317
"2",-0.0715545207316649,-0.0371447608362616,-0.115826858297117,0.00514389031697821,-0.0124738037530562,0.0872170503695339,0.0216727271133503,-0.0548749222105046,-0.0186943760650057,0.426123278224728,0.0798814955134724,0.0014282421448516,-0.123711999708316,-0.0891009513107521,-0.0356489639365644,-0.508191427063211,1.53092223090012,-0.190776348035488,-0.0049815568756569,0.00108252292915893,-0.0233797544859565,0.0260871920057162
"3",-0.0620494486196339,-0.0293622495127394,-0.0803697344418343,-0.0621688040007995,-0.0400418920289011,-0.0728777128851669,-0.0309446226370931,-0.0551203508689379,-0.0550754375245577,0.103815840607436,-0.036926400088783,-0.0175542181988991,-0.20318314928284,-0.083437513459924,-0.0337337735205672,1.32723034484348,-0.247170304333546,0.190045620135573,-0.00115796360848851,-0.0516764501091617,0.473521289685334,-0.0527250848547143
"4",-0.0663571964653404,0.0311237057467538,-0.083733820890416,-0.0632546182806283,-0.0388183597219667,-0.0789615046057566,-0.0344971852492807,-0.0602822067511257,-0.0574321502489392,0.0339147229949085,-0.0707016253037158,-0.0192510341996895,-0.235413188516918,-0.108409637040439,-0.0318466711546341,1.09774852740053,-0.284797554931893,0.178335017487249,-0.00213373510435975,-0.0509316795336802,0.318976827643325,-0.0643532226564333
"5",-0.0525797619845768,-0.0536974521300492,0.151200305834,0.0441214128905949,0.0721233220880736,-0.0688944264441947,-0.0384322606420734,-0.0605192149323386,-0.0498771761948087,0.573533092884663,-0.110608280301622,-0.0394277223344087,0.0790062942563067,-0.0808825213577165,0.712632358086067,-0.211655430278726,-0.214330424588849,-0.215880562218992,0.0259787771523225,-0.0512369760770511,-0.0576595589065448,-0.047507436650772
"6",-0.08023132291642,-0.0610453774095045,0.0266782073966479,-0.0117178354068676,-0.0433837012824715,0.0481718434748862,-0.0457112556595045,-0.0551075353623519,-0.0704852503419796,0.296115817213101,-0.149902432503834,0.014543482816328,1.0131296110042,0.608988405838044,-0.0450329351069357,-0.438891884863497,-0.143616138163608,-0.26361260230089,-0.00693619701274536,0.152429133426551,0.54889865692452,-0.0579473816027246
"7",0.476082377075971,-0.00331241599579795,0.494763167205922,0.52165885690278,0.361015857454803,-0.0302424013754691,-0.0624022608209797,0.0644166660691401,0.0361617936436575,0.311591794340912,-0.186057354572671,-0.0385232057696067,-0.401789037625287,-0.137410403775131,-0.0702375509190514,-0.624634519868936,-0.271328225593311,-0.391637333990269,-0.0107916906766867,-0.0909674858937214,-0.165288441747326,0.179090024810723
"8",-0.0513702072054104,-0.0359506234593396,-0.0712358832038893,-0.0641233869303309,-0.0375152450448903,-0.0739254265264942,-0.0326381968396023,-0.0558592278193998,-0.0543610740472077,0.129173917467373,-0.0850268484260496,-0.0148403912291149,-0.244879707982175,-0.099158763435168,-0.0317144756707183,0.901680296834982,-0.23670024251816,0.416927926775385,-0.00316778937961466,-0.0520113352471885,0.354416700402766,-0.0573307649137207
"9",0.520680325137476,0.423698302158833,-0.0951572191981756,0.0948405377208815,0.201878769148891,0.0217011900287002,-0.0595064622339295,0.00039818738187333,0.111762960935166,0.188412393459981,-0.116622781312741,-0.0448150965941959,-0.416846145375933,-0.143310445584513,-0.0710764555088571,-0.650277992549397,-0.296877504929552,-0.415902564543144,-0.0103237520001521,-0.10070735985311,-0.178838141733116,0.0820822747446458
