"seurat_clusters","Mathys2019_Excitatory_pan","Hodge2019_Ex_L2_3","Hodge2019_Ex_L4","Hodge2019_Ex_L5_6","Hodge2019_Ex_L6","Hodge2019_Ex_L6b","Mathys2019_Inhibitory_pan","Tasic2018_In_VIP","Tasic2018_In_SST","Tasic2018_In_PVALB","Bakken2021_In_LAMP5","Bakken2021_In_LAMP5_PAX6","Mathys2019_Astrocytes_pan","Habib2020_Reactive_DAA","Mathys2019_Microglia_pan","Mathys2019_Oligo_pan","Mathys2019_OPCs_pan","Marques2016_COPs","Mathys2019_Endothelial","Mathys2019_Pericytes","Vanlandewijck2018_VLMC","Hodge2019_Cajal_Retzius"
"0",-0.0249592421003773,-0.00852319320823933,-0.0480792335755452,-0.0355675844394279,-0.0203758352514525,-0.0634427899160479,-0.0257855737626556,-0.0448070914114069,-0.0359087797321086,0.224994439196099,-0.0518464339109759,-0.0114214495598842,-0.218664417852903,-0.0614851610054942,-0.0314921062596632,1.0917079372509,-0.210679416990202,0.197922772616618,-0.00245588702364462,-0.0976362935989196,0.365727407207201,-0.0356664461433202
"1",-0.0850288106199864,-0.0594130159609429,0.114974940609896,-0.0672889854064902,-0.0498357338033136,0.00647318382099242,-0.0483019578073517,-0.0928439782076319,-0.0763259145252677,0.524299632364574,-0.090927323969984,-0.00325702496600505,1.17504487978237,0.197610482355908,-0.0533978022841733,-0.452704855073199,-0.291325175900142,-0.305244868842593,-0.00625460374398085,0.24865142425581,0.509651619472243,-0.0572671840078461
"2",-0.0508465464828695,-0.0192614487605809,-0.1025212849192,0.0200722293310031,-0.000725504854619222,0.0558699774305952,0.0197856273535459,-0.0766076289993269,-0.0103833048174558,0.433701857224571,0.0689265340132774,-0.00433959000730635,-0.138730909737788,-0.0728400645777373,-0.0449921230579419,-0.449830875682347,1.50717058456796,-0.155246357089014,-0.00627556570400996,-0.0666491550861921,-0.0538640332154751,0.024446062684207
"3",-0.0330778660297716,-0.012232788759831,-0.0592867334517367,-0.0405994867503411,-0.0261047251408507,-0.0691509728078075,-0.0269972230996178,-0.0478857719798196,-0.0372973622506888,0.138101926951883,-0.0321188377707303,-0.0145254990169685,-0.178760303173094,-0.0539324016636575,-0.0341339785263366,1.34028320682617,-0.211011830074697,0.193877869341454,-0.00255441197234488,-0.099188064347537,0.441591298821864,-0.0393607417139037
"4",-0.036946904343124,0.047006461288292,-0.065096540113457,-0.0423581062367962,-0.0249183207622833,-0.0675192248117405,-0.0307778212183922,-0.0517761011958735,-0.0405106176824377,0.0728248068550211,-0.0675803008617716,-0.0164294308266885,-0.192519714838041,-0.0717195430423818,-0.0331498568852992,1.12404346584803,-0.231408207766448,0.195025852133384,-0.00223887587889026,-0.095836496057557,0.296240366895901,-0.0444775019524691
"5",-0.0529500122650272,-0.0459824284735584,0.161579099041429,0.0510452482391933,0.0809521745261051,-0.0701307816543817,-0.048358332104285,-0.0738527581452946,-0.0584509404952599,0.567769130568254,-0.123821098285885,-0.0358618878377947,0.0885377142542857,-0.0659808848270477,0.702712036087845,-0.174340963782367,-0.191636043631025,-0.183895879213642,0.0256309925542377,-0.067248483718494,-0.05256429226861,-0.0473308206037163
"6",-0.063591307574741,-0.0549100264215702,0.021615561310062,-0.00652089813883503,-0.0349079215980527,0.0350431035238003,-0.0444522151034881,-0.0563577700630181,-0.056745289953202,0.323997318297774,-0.122050099747493,0.0121072444631173,1.02534146475698,0.626193670001399,-0.0488251363153809,-0.381283910468152,-0.132949402981352,-0.234744812002512,-0.00844180047661954,0.113579336287628,0.535924270252249,-0.0490492950631444
"7",0.225130354791759,-0.0384353625342265,0.363765534691014,0.370034398459558,0.241314458311322,-0.0418213330776139,-0.0824408315706783,0.0149727299213939,-0.0256154459240998,0.241527973962497,-0.134381447489671,-0.0431234677377731,-0.369898107809578,-0.141529064393929,-0.0473373758510954,-0.346868781184658,-0.117071775409887,-0.141978761310471,-0.00611942169346177,-0.0760333214162733,-0.156554907732222,0.118622180258146
"8",-0.0185454721399961,-0.0192490990181874,-0.0370008374225571,-0.0356801018992108,-0.017867107379722,-0.0587440782064108,-0.0273506654055418,-0.0391398188036359,-0.0354479575863532,0.172002176178561,-0.078813414235753,-0.00713020020341757,-0.193388895313627,-0.0659522388215746,-0.0316125979626306,0.907368292736263,-0.160282878538347,0.418890400791865,-0.00292832780914325,-0.0823146455781368,0.323964263022561,-0.0304096981215332
"9",0.202249569173398,0.377373475777531,-0.255734784471712,-0.0991546387443257,0.0501729205031217,0.00997011394526791,-0.0843882447317112,-0.0606836646286925,0.0360478710620118,0.11203812868231,-0.0505256411767637,-0.0432014181448016,-0.382915769563085,-0.145440027700171,-0.0394737291593053,-0.328055874756343,-0.103513227165205,-0.120267598089763,-0.00321544450884426,-0.071843016798892,-0.157220887219763,0.00614583431006978
