"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Ex_L5_6","Ex_L6b","NRG1","ERBB4",0.185547474298208,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Ex_L6b","NRG1","ERBB4",0.0664095331919804,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Ex_L6b","NRG1","ERBB4",0.106877355654622,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","Ex_L6b","NRG1","ERBB4",0.125177675322573,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_VIP","NRG1","ERBB4",0.187589966746089,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_VIP","NRG1","ERBB4",0.0672488508387846,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_VIP","NRG1","ERBB4",0.108168867705416,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","In_VIP","NRG1","ERBB4",0.126658968017387,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_PVALB","NRG1","ERBB4",0.19082247813305,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_PVALB","NRG1","ERBB4",0.0685827278926039,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_PVALB","NRG1","ERBB4",0.110218482800015,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","In_PVALB","NRG1","ERBB4",0.129008258014848,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
