"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Ex_L2_3","Ex_L6b","NRG1","ERBB4",0.0755144391200825,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","Ex_L6b","NRG1","ERBB4",0.255337112887033,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Ex_L6b","NRG1","ERBB4",0.0750345834337793,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Ex_L6b","NRG1","ERBB4",0.292760571168093,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","Ex_L6b","NRG1","ERBB4",0.123491069734821,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_VIP","NRG1","ERBB4",0.0739298255651603,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_VIP","NRG1","ERBB4",0.251003569392605,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_VIP","NRG1","ERBB4",0.0734592391774289,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_VIP","NRG1","ERBB4",0.28803755820103,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","In_VIP","NRG1","ERBB4",0.121031504589225,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_SST","NRG1","ERBB4",0.00880384593311506,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_SST","NRG1","ERBB4",0.0359450410248348,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_SST","NRG1","ERBB4",0.00874389258254174,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_SST","NRG1","ERBB4",0.0430732624651064,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","In_SST","NRG1","ERBB4",0.0150889553035557,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_PVALB","NRG1","ERBB4",0.0759832484508006,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_PVALB","NRG1","ERBB4",0.256612422531751,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_PVALB","NRG1","ERBB4",0.0755006570124881,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_PVALB","NRG1","ERBB4",0.294148962981066,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","In_PVALB","NRG1","ERBB4",0.124217707747946,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_LAMP5","NRG1","ERBB4",0.0624793101635095,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_LAMP5","NRG1","ERBB4",0.218601171858988,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_LAMP5","NRG1","ERBB4",0.0620767241444389,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_LAMP5","NRG1","ERBB4",0.252465856020395,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
