"source","target","pathway_name","prob","pval"
"Astrocytes_Reactive","Astrocytes","ADGRL",0.0713000521751007,0
"Astrocytes_Reactive","Astrocytes","CADM",0.133290411975443,0
"Astrocytes_Reactive","Astrocytes","CNTN",0.0521507976761427,0
"Astrocytes_Reactive","Astrocytes","NRG",0.243238990882479,0
"Astrocytes_Reactive","Astrocytes_Reactive","ADGRL",0.0263488451474033,0
"Astrocytes_Reactive","Astrocytes_Reactive","CADM",0.101191789517378,0
"Astrocytes_Reactive","Astrocytes_Reactive","CNTN",0.0467722094206067,0
"Astrocytes_Reactive","Astrocytes_Reactive","NRG",0.219788203680346,0
"Astrocytes_Reactive","COPs","CADM",0.0436504355099844,0
"Astrocytes_Reactive","COPs","NRG",0.21911243312045,0
"Astrocytes_Reactive","COPs","NRXN",0.0565055515931836,0
"Astrocytes_Reactive","COPs","PSAP",0.0123051864702859,0
"Astrocytes_Reactive","Cajal_Retzius","ADGRL",0.0284331959687715,0
"Astrocytes_Reactive","Cajal_Retzius","CADM",0.130177005070005,0
"Astrocytes_Reactive","Cajal_Retzius","NRG",0.254611100446785,0
"Astrocytes_Reactive","Cajal_Retzius","NRXN",0.0569259539964398,0
"Astrocytes_Reactive","Endothelial","CADM",0.0380434611091805,0
"Astrocytes_Reactive","Endothelial","NRG",0.0929188708567019,0
"Astrocytes_Reactive","Ex_L2_3","ADGRL",0.156682651176578,0
"Astrocytes_Reactive","Ex_L2_3","ANGPTL",0.00950679531525618,0
"Astrocytes_Reactive","Ex_L2_3","CADM",0.153169538482904,0
"Astrocytes_Reactive","Ex_L2_3","CNTN",0.0384927205391699,0
"Astrocytes_Reactive","Ex_L2_3","NRXN",0.119461066550838,0
"Astrocytes_Reactive","Ex_L5_6","ADGRL",0.126925501124862,0
"Astrocytes_Reactive","Ex_L5_6","CADM",0.0877657936213738,0
"Astrocytes_Reactive","Ex_L5_6","CNTN",0.0441879756923522,0
"Astrocytes_Reactive","Ex_L5_6","NRXN",0.12304246606029,0
"Astrocytes_Reactive","Ex_L6b","ADGRL",0.0253495065898745,0
"Astrocytes_Reactive","Ex_L6b","CADM",0.131561602375178,0
"Astrocytes_Reactive","Ex_L6b","CNTN",0.0361421956311045,0
"Astrocytes_Reactive","Ex_L6b","NRG",0.369963210439467,0
"Astrocytes_Reactive","Ex_L6b","NRXN",0.062813634733166,0.005
"Astrocytes_Reactive","In_LAMP5","ADGRL",0.0641745252831222,0
"Astrocytes_Reactive","In_LAMP5","CADM",0.0384981501101638,0
"Astrocytes_Reactive","In_LAMP5","CNTN",0.0147549769798418,0
"Astrocytes_Reactive","In_LAMP5","NRG",0.34391446109924,0
"Astrocytes_Reactive","In_LAMP5","NRXN",0.0461405823378481,0
"Astrocytes_Reactive","In_LAMP5_PAX6","ADGRL",0.0440332265643992,0
"Astrocytes_Reactive","In_LAMP5_PAX6","CADM",0.0380891595944297,0.01
"Astrocytes_Reactive","In_LAMP5_PAX6","CNTN",0.0165485806480156,0
"Astrocytes_Reactive","In_LAMP5_PAX6","NRG",0.328323105873627,0
"Astrocytes_Reactive","In_LAMP5_PAX6","NRXN",0.0456225015054463,0
"Astrocytes_Reactive","In_PVALB","ADGRL",0.0753486112183115,0
"Astrocytes_Reactive","In_PVALB","CADM",0.0841009104780777,0
"Astrocytes_Reactive","In_PVALB","CNTN",0.0333792279573223,0
"Astrocytes_Reactive","In_PVALB","NRG",0.378047459930215,0
"Astrocytes_Reactive","In_PVALB","NRXN",0.0696330218690162,0
"Astrocytes_Reactive","In_SST","ADGRL",0.0981413441896811,0
"Astrocytes_Reactive","In_SST","CADM",0.0935405462755128,0
"Astrocytes_Reactive","In_SST","CNTN",0.0160665717133036,0
"Astrocytes_Reactive","In_SST","NRXN",0.0168172005682266,0
"Astrocytes_Reactive","In_VIP","ADGRL",0.0238326019006014,0
"Astrocytes_Reactive","In_VIP","CADM",0.0418985571163365,0
"Astrocytes_Reactive","In_VIP","CNTN",0.0138834798644134,0
"Astrocytes_Reactive","In_VIP","NRG",0.373105765885586,0
"Astrocytes_Reactive","In_VIP","NRXN",0.0169482954078838,0
"Astrocytes_Reactive","OPCs","ADGRL",0.117163468856883,0
"Astrocytes_Reactive","OPCs","CADM",0.0448511003174715,0
"Astrocytes_Reactive","OPCs","CNTN",0.0712251536661906,0
"Astrocytes_Reactive","OPCs","NRG",0.310963880019283,0
"Astrocytes_Reactive","OPCs","NRXN",0.178509014841724,0
"Astrocytes_Reactive","Oligodendrocytes","ADGRL",0.0204915596289759,0
"Astrocytes_Reactive","Oligodendrocytes","CADM",0.0441581359304242,0
"Astrocytes_Reactive","Oligodendrocytes","NRG",0.216132618702318,0
"Astrocytes_Reactive","Oligodendrocytes","NRXN",0.0536154748254192,0
"Astrocytes_Reactive","Oligodendrocytes","PSAP",0.0120848446260875,0
"Astrocytes","Astrocytes","ADGRL",0.0850174275393578,0
"Astrocytes","Astrocytes","CADM",0.173604281527049,0
"Astrocytes","Astrocytes","CNTN",0.0468335273149718,0
"Astrocytes","Astrocytes","GAP",0.00712380105765822,0
"Astrocytes","Astrocytes","NRG",0.232594842952335,0
"Astrocytes","Astrocytes","PTN",0.0377895650015688,0
"Astrocytes","Astrocytes_Reactive","ADGRL",0.031568307770341,0
"Astrocytes","Astrocytes_Reactive","CADM",0.133290411975443,0
"Astrocytes","Astrocytes_Reactive","CNTN",0.0419790494722104,0
"Astrocytes","Astrocytes_Reactive","NRG",0.209885647252238,0
"Astrocytes","Astrocytes_Reactive","PTN",0.0134157624671588,0
"Astrocytes","COPs","CADM",0.0586884154805804,0
"Astrocytes","COPs","NRG",0.209232158494948,0
"Astrocytes","COPs","NRXN",0.154469961856334,0
"Astrocytes","COPs","PSAP",0.0140226257431264,0
"Astrocytes","Cajal_Retzius","ADGRL",0.034057986169185,0
"Astrocytes","Cajal_Retzius","CADM",0.169733630943766,0
"Astrocytes","Cajal_Retzius","NRG",0.243629518653504,0
"Astrocytes","Cajal_Retzius","NRXN",0.155499097063549,0
"Astrocytes","Endothelial","CADM",0.0512533088806424,0
"Astrocytes","Endothelial","NRG",0.088087055839352,0
"Astrocytes","Endothelial","NRXN",0.0940252625146959,0
"Astrocytes","Ex_L2_3","ADGRL",0.186471581449349,0
"Astrocytes","Ex_L2_3","ANGPTL",0.0117750541601793,0
"Astrocytes","Ex_L2_3","CADM",0.201305151044036,0
"Astrocytes","Ex_L2_3","CNTN",0.0345173086827603,0
"Astrocytes","Ex_L2_3","NRXN",0.422669619553921,0
"Astrocytes","Ex_L5_6","ADGRL",0.151468229772739,0
"Astrocytes","Ex_L5_6","CADM",0.116155991778587,0
"Astrocytes","Ex_L5_6","CNTN",0.0396486295933861,0
"Astrocytes","Ex_L5_6","NRXN",0.466253432395414,0
"Astrocytes","Ex_L6b","ADGRL",0.0303742437454054,0
"Astrocytes","Ex_L6b","CADM",0.173654734344432,0
"Astrocytes","Ex_L6b","CNTN",0.0324013583997601,0
"Astrocytes","Ex_L6b","NRG",0.356385154688929,0
"Astrocytes","Ex_L6b","NRXN",0.175694670081974,0
"Astrocytes","Ex_L6b","PTN",0.0137107006372015,0
"Astrocytes","In_LAMP5","ADGRL",0.0765787098336941,0
"Astrocytes","In_LAMP5","CADM",0.0518573686130739,0
"Astrocytes","In_LAMP5","CNTN",0.0131974778357293,0
"Astrocytes","In_LAMP5","NRG",0.330790481628561,0
"Astrocytes","In_LAMP5","NRXN",0.128584135779806,0
"Astrocytes","In_LAMP5","PTN",0.0115175784979992,0
"Astrocytes","In_LAMP5_PAX6","ADGRL",0.052778497548073,0
"Astrocytes","In_LAMP5_PAX6","CADM",0.0513140288231162,0
"Astrocytes","In_LAMP5_PAX6","CNTN",0.0148045980116725,0
"Astrocytes","In_LAMP5_PAX6","NRG",0.315507981328946,0
"Astrocytes","In_LAMP5_PAX6","NRXN",0.131201789087529,0
"Astrocytes","In_LAMP5_PAX6","PTN",0.0354755509476649,0
"Astrocytes","In_PVALB","ADGRL",0.0898064654922433,0
"Astrocytes","In_PVALB","CADM",0.111450440689038,0
"Astrocytes","In_PVALB","CNTN",0.0299154911352047,0
