"","Ex_L2_3","Ex_L5_6","Ex_L6b","In_VIP","In_SST","In_PVALB","In_LAMP5","In_LAMP5_PAX6","Astrocytes","Astrocytes_Reactive","Microglia","OPCs","COPs","Oligodendrocytes","Endothelial","Cajal_Retzius"
"Ex_L2_3",27,31,21,14,17,21,15,22,7,7,2,18,8,12,6,9
"Ex_L5_6",37,40,26,21,26,32,27,32,7,7,2,22,8,12,7,14
"Ex_L6b",28,29,18,13,16,18,11,20,9,9,2,14,5,11,3,8
"In_VIP",16,20,12,9,11,14,9,14,5,5,2,14,4,7,3,7
"In_SST",26,29,16,15,20,21,17,22,7,7,2,16,7,12,5,10
"In_PVALB",25,27,18,16,19,23,17,23,9,9,2,18,5,9,4,9
"In_LAMP5",20,23,16,13,14,20,14,18,7,7,2,17,5,9,5,9
"In_LAMP5_PAX6",37,39,20,15,18,25,16,24,8,8,2,16,6,9,5,9
"Astrocytes",12,12,9,7,8,10,7,10,7,6,0,10,4,6,3,5
"Astrocytes_Reactive",11,11,8,6,7,8,6,9,5,5,0,8,4,6,2,5
"Microglia",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"OPCs",8,10,9,6,5,9,6,8,4,4,2,11,5,5,2,4
"COPs",6,7,5,2,3,4,1,2,2,2,2,5,7,8,2,2
"Oligodendrocytes",6,7,6,2,3,4,3,2,3,4,2,5,6,7,2,2
"Endothelial",6,8,4,1,1,4,1,2,3,3,2,3,2,2,1,2
"Cajal_Retzius",15,19,12,10,10,14,9,12,5,5,2,12,6,7,5,7
