"","Ex_L2_3","Ex_L5_6","Ex_L6b","In_VIP","In_SST","In_PVALB","In_LAMP5","In_LAMP5_PAX6","Astrocytes","Astrocytes_Reactive","Microglia","OPCs","COPs","Oligodendrocytes","Endothelial","Cajal_Retzius"
"Ex_L2_3",42,46,49,41,38,40,42,43,13,10,2,28,14,14,8,13
"Ex_L5_6",37,41,44,36,34,35,37,38,11,8,2,24,12,12,6,12
"Ex_L6b",36,39,45,36,26,33,37,38,12,10,2,22,13,13,8,8
"In_VIP",32,35,38,32,23,28,34,34,9,6,2,18,12,12,6,8
"In_SST",37,40,44,35,30,33,35,38,10,8,2,21,12,12,9,11
"In_PVALB",30,31,35,27,22,28,28,30,9,8,2,18,10,10,8,8
"In_LAMP5",49,63,68,54,43,49,60,60,13,10,2,30,14,14,8,13
"In_LAMP5_PAX6",38,48,54,44,32,39,49,48,12,10,2,21,13,13,9,11
"Astrocytes",16,16,20,16,14,15,17,18,9,6,0,13,9,9,3,5
"Astrocytes_Reactive",9,9,10,9,5,7,8,8,4,3,0,9,5,4,0,3
"Microglia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPCs",17,17,21,16,10,15,15,17,6,6,2,14,5,5,2,4
"COPs",7,7,7,7,3,4,6,5,3,2,2,5,7,7,0,1
"Oligodendrocytes",7,7,7,7,3,4,6,5,3,3,2,5,7,7,0,1
"Endothelial",8,8,11,7,7,7,8,8,3,3,2,4,2,2,3,2
"Cajal_Retzius",15,17,17,16,13,14,14,16,5,4,0,11,5,5,2,6
