"","Ex_L2_3","Ex_L5_6","Ex_L6b","In_VIP","In_SST","In_PVALB","In_LAMP5","In_LAMP5_PAX6","Astrocytes","Astrocytes_Reactive","Microglia","OPCs","COPs","Oligodendrocytes","Endothelial","Cajal_Retzius"
"Ex_L2_3",2.6644979511048,2.80111889340117,1.69926356038827,1.2994815596258,1.40557974269569,2.21243497924992,1.37590751497056,1.49510320380151,0.810911765306008,0.551432364615417,0.153897351305001,2.57943304147599,1.02129253163017,1.3463280348093,0.507829076568261,1.25864278982024
"Ex_L5_6",3.06115095366408,3.16647156548115,2.04346251589545,1.70494489930623,1.75421562010397,2.69280937434002,1.86496000139258,2.05366506445131,0.924762351993147,0.644228742853495,0.148599158977485,2.89965160909207,1.00417579512984,1.15143663288327,0.545214761218788,1.50812593757627
"Ex_L6b",2.2785200156917,2.17870356705331,1.30082054168679,0.994764404843937,1.18242372243882,1.79414991828846,1.0626094658755,1.11043167327239,0.874502152531004,0.574984841809563,0.0700704173395966,2.0779231018514,0.565043866754548,0.997705075391,0.2843247346085,0.967997719114034
"In_VIP",1.9115915275925,2.0610284722852,1.17869271171726,1.11606264910677,0.904260835289257,1.79398728472021,1.13621943364537,1.13655727850448,0.493097803853041,0.359625668071651,0.0763662478288845,2.4846464231339,0.849657590875928,1.05327413844838,0.430142140741402,0.951480362109821
"In_SST",2.60106625746928,2.62397877549262,1.36641328008939,1.33022338630942,1.55227179400664,2.20397168854821,1.44519639751476,1.31392586760526,0.792584272544261,0.496526760278583,0.0753702186134715,2.62721659892182,0.877876151594118,1.15081942240039,0.438447214180898,1.19563881384896
"In_PVALB",2.42376027577816,2.23388418171784,1.27465386927153,1.373458701635,1.76773715628203,2.16676153363223,1.54282137247638,1.25989162926634,0.87212978223295,0.558963622771627,0.147434169380261,2.23811889870991,0.606250851966618,0.730806374586694,0.306005776595441,1.0259681631315
"In_LAMP5",1.84986820395321,2.00158678893818,1.19249759259706,1.16827180308268,0.837295260088639,1.84742961140405,1.07735014294575,1.07116466833842,0.448332693729067,0.354097299941189,0.068178881202997,2.32805099505134,0.785439244823415,1.05554386269697,0.436948252242039,0.948157993056492
"In_LAMP5_PAX6",2.42743187206466,2.35238475161418,1.33995539043149,1.16329497534712,0.925936439090496,1.94368012126176,1.24673362775813,1.2396967332977,0.643706436051878,0.476688035852892,0.0768523060719017,2.24354114022782,0.716925076391752,0.772144494055725,0.394634913035603,0.900146171556368
"Astrocytes",0.856738714890245,0.773526283540126,0.782220861897702,0.644732712444858,0.420781481708443,0.926766842679647,0.612525752188864,0.601082445747002,0.58296344539294,0.430139178937392,0,1.11893933651776,0.436413161574989,0.451401267783253,0.23336562723469,0.602920232830005
"Astrocytes_Reactive",0.477312772064745,0.381921736498878,0.62583014976879,0.469668700174821,0.224565662746724,0.640509231452943,0.507482695810216,0.472616574185917,0.499980252709165,0.394101047765734,0,0.722712617701552,0.331573606693904,0.346482633713225,0.130962331965882,0.470147255482002
"Microglia",0,0,0,0,0,0,0,0,0.0536454871064719,0.124357511684122,0,0,0,0,0,0
"OPCs",0.854028417154515,0.952760944215059,0.722618920990589,0.71528112046501,0.39680952495198,0.95805478505518,0.585179051479981,0.6846973481139,0.322633710559958,0.256985026460248,0.0758685401241293,1.54986818292736,0.68802161940214,0.73104223229922,0.310659582406566,0.536064501035082
"COPs",0.314679148225105,0.197756053810604,0.141742368372182,0.125716542116173,0.158788817041222,0.120259097801584,0.0558151003912836,0.0553872055056369,0.105991282185635,0.154282254225346,0.0834243010152521,0.522149252844627,0.410905873903463,0.480774522340116,0.170721327282568,0.125901579411516
"Oligodendrocytes",0.32977987148229,0.203404477165872,0.258609516947996,0.136093691096769,0.169069336354968,0.123550472459605,0.302744260872994,0.0572936917152892,0.124963925580532,0.327674062197662,0.0845504462543816,0.555473117770486,0.429772887852787,0.507310398762636,0.184541279174974,0.12883956858232
"Endothelial",0.218813873343091,0.271253924857402,0.0819195153004501,0.0176628124303799,0.0349811156361718,0.103747763034492,0.0480256818167782,0.0475196308249645,0.118703334060374,0.197178728806654,0.081221472427936,0.1855654050693,0.0317096557079001,0.0320556501808418,0.0170497227837819,0.100217703983759
"Cajal_Retzius",2.26227890116421,2.39194604279004,1.27239766225565,1.02235545309084,1.15751193318998,1.84955380303593,0.946493562683627,0.930635378215524,0.590057112663213,0.430916293436951,0.0814494224260191,2.22084219067233,0.695868832353495,0.715288863466989,0.436741934608548,1.0539175408377
