"","Ex_L2_3","Ex_L5_6","Ex_L6b","In_VIP","In_SST","In_PVALB","In_LAMP5","In_LAMP5_PAX6","Astrocytes","Astrocytes_Reactive","Microglia","OPCs","COPs","Oligodendrocytes","Endothelial","Cajal_Retzius"
"Ex_L2_3",3.57571740197077,3.15113324281192,3.44397832541439,2.76678724457507,2.90079745986765,3.37481352212039,2.6305428009053,3.1255802491099,1.08473482084032,0.711322098962923,0.191179146887597,3.07222906467525,1.42572927371125,1.35077416869553,0.183008858771079,1.29047639018705
"Ex_L5_6",3.19661326107651,2.9277779848175,3.24237158010976,2.81269072316122,2.54460246709579,3.2243407442249,2.62371441553249,3.01645589368894,1.06017322514214,0.730184790022169,0.187753212743303,2.93497471030156,1.32134678941505,1.22427982862873,0.108660529393557,1.38975627768122
"Ex_L6b",3.39810107109604,2.9394092137198,3.10874392133327,2.5159398508129,2.46227934735622,3.06757357735487,2.35118467693479,2.57575662262381,1.31516063326908,0.825945258319512,0.301738730874748,3.06444149654388,1.29887333464616,1.2151537938526,0.158195545783104,0.92495020059555
"In_VIP",2.79793380709022,2.47442878577133,2.4244268869965,2.41051811729882,1.98021436568622,2.54161376365316,2.25688424051612,2.2644864462291,0.867237430127371,0.511456168260944,0.234457876584335,2.72478643791422,1.35751189091426,1.26808041737442,0.0743904844096772,0.991977062548996
"In_SST",3.71865460324939,3.32664900352546,3.55175089309131,2.82562150674284,3.07383840017051,3.53398904710895,2.66325075095989,3.02935308393174,1.12595917975047,0.767197099294884,0.223868917364758,3.03188159720454,1.33601113350522,1.21922534943894,0.17393695105225,1.30970426307445
"In_PVALB",3.01705326921756,2.41205733741947,2.71868115020244,2.36253665094084,2.74028403879784,2.98490985724308,2.28424246538013,2.41383572691288,1.17931671917276,0.74005567963772,0.202424325638057,2.31547025887799,0.956245220200885,0.905785338960417,0.198565604671146,0.957356459628048
"In_LAMP5",3.0537870506611,2.86461544151057,2.95407198092891,2.57748648767435,2.38179196592033,3.02870100161084,2.55301526432274,2.83171924866028,0.829291370993388,0.560566664909961,0.229998647568861,2.93802022227598,1.33139218333842,1.23502849021161,0.0853710987042766,1.06659967363623
"In_LAMP5_PAX6",3.03889312829992,3.00358311319786,3.43204431202007,2.86394254799862,2.46531324493495,3.3402903418785,2.92896632379799,3.16495586924433,1.21537212084244,0.786151606737218,0.237855692957869,2.70084701015938,1.24069620144117,1.14999404368146,0.161036183387731,1.09431681655711
"Astrocytes",1.67540434071566,1.39640310794446,1.73723234665374,1.51789376075531,1.15678984888479,1.7537631618222,1.4449658103618,1.66957794499338,0.99670070703652,0.570366931083892,0,1.98994191155832,1.0571240178211,1.01992906280356,0.0373650743763083,0.64891690334775
"Astrocytes_Reactive",1.08313972152848,0.858322925321051,1.0707236350604,1.00277305596027,0.509741654008751,0.996115277922221,0.912852868113896,0.831206093657571,0.660051477285973,0.423641402325603,0,1.42547945701575,0.775816775206319,0.706433407552684,0,0.449342962675162
"Microglia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPCs",1.54896164838455,1.31632081595696,1.42668736736406,1.44738484305602,0.901976818547304,1.35074396302517,1.26010654610383,1.29678851479936,0.628812316012791,0.401896382576236,0.0996926641382919,1.87105952640034,0.737980755873018,0.701165498359026,0.0220541783441732,0.387840493048611
"COPs",0.779789218904352,0.585708413429934,0.574915891605994,0.730120710823207,0.371196805383785,0.469842202130533,0.689457105792079,0.38710671998076,0.332443658335642,0.143832819703801,0.282286434115313,0.886333733076312,0.629361593959408,0.609884997052631,0,0.178736806466314
"Oligodendrocytes",0.751306402178129,0.552400139523128,0.52250788082315,0.720001432043098,0.361811579370321,0.458364969460028,0.680625969915641,0.376841272340403,0.331907076681227,0.261782488565081,0.123341049571234,0.875416186710441,0.630870153841292,0.613302741212546,0,0.174384807831086
"Endothelial",0.309641748832329,0.275939165877005,0.464745829704174,0.160116578193886,0.286568049482237,0.27727562109106,0.175980493082734,0.401186604397764,0.211518254268148,0.100810521305698,0.101545272762817,0.333393335318697,0.0694550223015395,0.0747805603902141,0.0453400437829864,0.0647699081622393
"Cajal_Retzius",2.30288019345321,2.1899794553623,1.80019485448476,1.78899152073845,1.67850925479956,2.01727483842411,1.6062947865412,1.72571575253818,0.52546175476345,0.24884325326722,0,2.0560037674944,0.761144929850551,0.648555852336107,0.0717156310247421,0.816866493143488
