"","Ex_L2_3","Ex_L5_6","Ex_L6b","In_VIP","In_SST","In_PVALB","In_LAMP5","In_LAMP5_PAX6","Astrocytes","Astrocytes_Reactive","Microglia","OPCs","COPs","Oligodendrocytes","Endothelial","Cajal_Retzius"
"Ex_L2_3",-15,-15,-28,-27,-21,-19,-27,-21,-6,-3,0,-10,-6,-2,-2,-4
"Ex_L5_6",0,-1,-18,-15,-8,-3,-10,-6,-4,-1,0,-2,-4,0,1,2
"Ex_L6b",-8,-10,-27,-23,-10,-15,-26,-18,-3,-1,0,-8,-8,-2,-5,0
"In_VIP",-16,-15,-26,-23,-12,-14,-25,-20,-4,-1,0,-4,-8,-5,-3,-1
"In_SST",-11,-11,-28,-20,-10,-12,-18,-16,-3,-1,0,-5,-5,0,-4,-1
"In_PVALB",-5,-4,-17,-11,-3,-5,-11,-7,0,1,0,0,-5,-1,-4,1
"In_LAMP5",-29,-40,-52,-41,-29,-29,-46,-42,-6,-3,0,-13,-9,-5,-3,-4
"In_LAMP5_PAX6",-1,-9,-34,-29,-14,-14,-33,-24,-4,-2,0,-5,-7,-4,-4,-2
"Astrocytes",-4,-4,-11,-9,-6,-5,-10,-8,-2,0,0,-3,-5,-3,0,0
"Astrocytes_Reactive",2,2,-2,-3,2,1,-2,1,1,2,0,-1,-1,2,2,2
"Microglia",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"OPCs",-9,-7,-12,-10,-5,-6,-9,-9,-2,-2,0,-3,0,0,0,0
"COPs",-1,0,-2,-5,0,0,-5,-3,-1,0,0,0,0,1,2,1
"Oligodendrocytes",-1,0,-1,-5,0,0,-3,-3,0,1,0,0,-1,0,2,1
"Endothelial",-2,0,-7,-6,-6,-3,-7,-6,0,0,0,-1,0,0,-2,0
"Cajal_Retzius",0,2,-5,-6,-3,0,-5,-4,0,1,2,1,1,2,3,1
