"","Ex_L2_3","Ex_L5_6","Ex_L6b","In_VIP","In_SST","In_PVALB","In_LAMP5","In_LAMP5_PAX6","Astrocytes","Astrocytes_Reactive","Microglia","OPCs","COPs","Oligodendrocytes","Endothelial","Cajal_Retzius"
"Ex_L2_3",-0.911219450865971,-0.350014349410748,-1.74471476502611,-1.46730568494927,-1.49521771717195,-1.16237854287047,-1.25463528593474,-1.63047704530839,-0.27382305553431,-0.159889734347505,-0.0372817955825959,-0.49279602319926,-0.404436742081082,-0.00444613388623538,0.324820217797182,-0.0318336003668114
"Ex_L5_6",-0.135462307412432,0.238693580663644,-1.19890906421431,-1.10774582385498,-0.79038684699182,-0.53153136988488,-0.758754414139901,-0.962790829237623,-0.135410873148993,-0.085956047168674,-0.039154053765818,-0.0353231012094888,-0.317170994285211,-0.0728431957454625,0.436554231825231,0.118369659895048
"Ex_L6b",-1.11958105540435,-0.76070564666649,-1.80792337964648,-1.52117544596896,-1.2798556249174,-1.27342365906641,-1.28857521105929,-1.46532494935142,-0.440658480738078,-0.250960416509949,-0.231668313535151,-0.986518394692482,-0.733829467891614,-0.2174487184616,0.126129188825397,0.0430475185184842
"In_VIP",-0.886342279497719,-0.413400313486122,-1.24573417527924,-1.29445546819205,-1.07595353039696,-0.747626478932958,-1.12066480687076,-1.12792916772462,-0.37413962627433,-0.151830500189294,-0.158091628755451,-0.240140014780321,-0.507854300038329,-0.214806278926037,0.355751656331724,-0.0404967004391754
"In_SST",-1.11758834578011,-0.702670228032841,-2.18533761300192,-1.49539812043342,-1.52156660616387,-1.33001735856074,-1.21805435344513,-1.71542721632648,-0.33337490720621,-0.270670339016301,-0.148498698751286,-0.404664998282724,-0.458134981911098,-0.0684059270385506,0.264510263128648,-0.114065449225489
"In_PVALB",-0.593292993439401,-0.178173155701635,-1.44402728093091,-0.989077949305833,-0.972546882515811,-0.81814832361085,-0.741421092903757,-1.15394409764654,-0.307186936939808,-0.181092056866093,-0.054990156257796,-0.0773513601680795,-0.349994368234267,-0.174978964373723,0.107440171924295,0.068611703503448
"In_LAMP5",-1.2039188467079,-0.863028652572396,-1.76157438833186,-1.40921468459167,-1.54449670583169,-1.18127139020679,-1.47566512137699,-1.76055458032185,-0.380958677264321,-0.206469364968772,-0.161819766365864,-0.609969227224635,-0.545952938515009,-0.17948462751464,0.351577153537762,-0.118441680579735
"In_LAMP5_PAX6",-0.611461256235263,-0.651198361583677,-2.09208892158858,-1.7006475726515,-1.53937680584445,-1.39661022061674,-1.68223269603986,-1.92525913594663,-0.571665684790564,-0.309463570884326,-0.161003386885968,-0.45730586993156,-0.523771125049417,-0.377849549625735,0.233598729647872,-0.194170645000738
"Astrocytes",-0.818665625825411,-0.62287682440433,-0.955011484756038,-0.873161048310455,-0.736008367176343,-0.82699631914255,-0.832440058172939,-1.06849549924638,-0.41373726164358,-0.140227752146501,0,-0.871002575040561,-0.620710856246113,-0.568527795020306,0.196000552858382,-0.0459966705177454
"Astrocytes_Reactive",-0.605826949463737,-0.476401188822173,-0.444893485291609,-0.533104355785452,-0.285175991262027,-0.355606046469278,-0.405370172303679,-0.358589519471654,-0.160071224576807,-0.0295403545598688,0,-0.702766839314198,-0.444243168512415,-0.35995077383946,0.130962331965882,0.0208042928068395
"Microglia",0,0,0,0,0,0,0,0,0.0536454871064719,0.124357511684122,0,0,0,0,0,0
"OPCs",-0.69493323123003,-0.363559871741902,-0.704068446373472,-0.732103722591014,-0.505167293595324,-0.392689177969986,-0.674927494623853,-0.612091166685459,-0.306178605452832,-0.144911356115988,-0.0238241240141626,-0.321191343472974,-0.049959136470878,0.0298767339401937,0.288605404062393,0.148224007986471
"COPs",-0.465110070679247,-0.38795235961933,-0.433173523233812,-0.604404168707033,-0.212407988342563,-0.349583104328949,-0.633642005400795,-0.331719514475123,-0.226452376150008,0.0104494345215449,-0.198862133100061,-0.364184480231685,-0.218455720055945,-0.129110474712516,0.170721327282568,-0.0528352270547982
"Oligodendrocytes",-0.421526530695839,-0.348995662357256,-0.263898363875154,-0.583907740946329,-0.192742243015353,-0.334814497000423,-0.377881709042647,-0.319547580625114,-0.206943151100694,0.0658915736325813,-0.0387906033168522,-0.319943068939955,-0.201097265988504,-0.105992342449911,0.184541279174974,-0.0455452392487657
"Endothelial",-0.0908278754892378,-0.00468524101960266,-0.382826314403724,-0.142453765763506,-0.251586933846065,-0.173527858056568,-0.127954811265956,-0.353666973572799,-0.0928149202077747,0.0963682075009561,-0.0203238003348809,-0.147827930249397,-0.0377453665936395,-0.0427249102093723,-0.0282903209992045,0.0354477958215197
"Cajal_Retzius",-0.0406012922890047,0.201966587427743,-0.527797192229112,-0.766636067647613,-0.520997321609586,-0.167721035388172,-0.659801223857575,-0.795080374322655,0.0645953578997626,0.182073040169731,0.0814494224260191,0.164838423177935,-0.0652760974970563,0.0667330111308819,0.365026303583806,0.237051047694209
