"pathway","in_Control","in_AD","status"
"NRXN",TRUE,TRUE,"shared"
"ADGRL",TRUE,TRUE,"shared"
"NRG",TRUE,TRUE,"shared"
"NEGR",TRUE,TRUE,"shared"
"NCAM",TRUE,TRUE,"shared"
"PTPR",TRUE,TRUE,"shared"
"CNTN",TRUE,TRUE,"shared"
"Glutamate",TRUE,TRUE,"shared"
"UNC5",TRUE,TRUE,"shared"
"SLIT",TRUE,TRUE,"shared"
"APP",TRUE,TRUE,"shared"
"GABA-A",TRUE,TRUE,"shared"
"CADM",TRUE,TRUE,"shared"
"FLRT",TRUE,TRUE,"shared"
"PTPRM",TRUE,TRUE,"shared"
"PTN",TRUE,TRUE,"shared"
"NGL",TRUE,TRUE,"shared"
"GABA-B",TRUE,TRUE,"shared"
"EPHA",TRUE,TRUE,"shared"
"ADGRB",TRUE,FALSE,"Control_specific"
"CDH",TRUE,TRUE,"shared"
"LAMININ",TRUE,TRUE,"shared"
"PSAP",TRUE,TRUE,"shared"
"RELN",TRUE,FALSE,"Control_specific"
"MAG",TRUE,TRUE,"shared"
"CLDN",TRUE,TRUE,"shared"
"SLITRK",TRUE,FALSE,"Control_specific"
"IGF",TRUE,FALSE,"Control_specific"
"GAP",TRUE,TRUE,"shared"
"SPP1",FALSE,TRUE,"AD_specific"
"COLLAGEN",FALSE,TRUE,"AD_specific"
"ANGPTL",FALSE,TRUE,"AD_specific"
"JAM",FALSE,TRUE,"AD_specific"
