"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"GPC5",991.435247659057,-1.21282289953491,0.0801528122193014,-15.131382991486,1.00559653828132e-51,1.24523019335376e-47,"GPC5","Astrocytes"
"F11-AS1",50.1208130984757,-1.66494692797572,0.1109504345533,-15.0062226856433,6.6847664816151e-51,4.13887316709199e-47,"F11-AS1","Astrocytes"
"LRRC4C",152.05280331762,-1.63511912955203,0.124663485633161,-13.1162635253405,2.65716378782045e-39,1.09678863948602e-35,"LRRC4C","Astrocytes"
"PDE7B",73.1643612344139,-1.1174925485344,0.0859831330057192,-12.9966484061481,1.27823565083504e-38,3.95709801607258e-35,"PDE7B","Astrocytes"
"DLC1",267.174312309436,-1.29773978247433,0.100833776049837,-12.8700900959309,6.63247421971101e-38,1.64259856525363e-34,"DLC1","Astrocytes"
"ENSG00000287277",52.2191722774828,-1.81856890091273,0.141916732324106,-12.8143374719164,1.36297551340629e-37,2.81295429708502e-34,"LOC105376387","Astrocytes"
"S100A10",13.8039790967899,3.47104032947076,0.271690208656964,12.7757284542164,2.24040254759268e-37,3.96327210669146e-34,"S100A10","Astrocytes"
"C2CD5-AS1",111.727925078666,-1.29782990242344,0.102393648038011,-12.6749063764351,8.14558878940751e-37,1.26083532474042e-33,"C2CD5-AS1","Astrocytes"
"SYNM",16.5489242293544,3.05930006980973,0.248980097266709,12.2873277960551,1.05950725218245e-34,1.45776425597503e-31,"SYNM","Astrocytes"
"KLF6",18.6440715687732,1.67490728335465,0.139772750879428,11.9830744749345,4.35854282183428e-33,5.39718357627739e-30,"KLF6","Astrocytes"
"ATP8A1",44.638466917419,-1.15401640034714,0.0992286632262965,-11.6298694633761,2.90541529362901e-31,2.998146465084e-28,"ATP8A1","Astrocytes"
"NKAIN3",354.000436665578,-1.89163557985959,0.162568770619814,-11.6359099761135,2.70687778939058e-31,2.998146465084e-28,"NKAIN3","Astrocytes"
"PTPRE",12.9647450064043,1.90549272214443,0.165815811460411,11.4916225742403,1.45355786493081e-30,1.38456977241832e-27,"PTPRE","Astrocytes"
"ENSG00000234418",21.901484232517,-1.86737022695511,0.163005440478118,-11.455876696372,2.19728680334201e-30,1.81393349905228e-27,"ENSG00000234418","Astrocytes"
"TMEM132C",33.2034186586737,-2.07600490545478,0.181163169069498,-11.4593099475886,2.1119069005871e-30,1.81393349905228e-27,"TMEM132C","Astrocytes"
"RHOJ",38.1281546120154,-1.40338765135995,0.128073064312916,-10.9577112009369,6.10231825647739e-28,4.72281293562247e-25,"RHOJ","Astrocytes"
"NHS",23.4294909759711,1.43769054058036,0.13177142753862,10.9104877091735,1.02703861177762e-27,7.48107007626014e-25,"NHS","Astrocytes"
"YARS1",21.1642898427,2.18960478793602,0.201515532860539,10.8656874080837,1.67953520620827e-27,1.15542691435984e-24,"YARS1","Astrocytes"
"NRXN1",784.649416296813,-1.87803529208091,0.173561286907163,-10.8205886551501,2.75005354158288e-27,1.79231121081162e-24,"NRXN1","Astrocytes"
"AEBP1",110.176919041787,2.4894696704213,0.232882594089992,10.6898056514232,1.13608790695464e-26,7.03408827590963e-24,"AEBP1","Astrocytes"
"XKR6",32.2780918283425,-1.36161715500887,0.128424681589109,-10.6024569277526,2.90252974206366e-26,1.71152503790354e-23,"XKR6","Astrocytes"
"ESRRG",88.4864620056502,-1.72696722276524,0.164216626382185,-10.5163969130996,7.25969044360739e-26,3.90855420709523e-23,"ESRRG","Astrocytes"
"LENG8",49.3722033313214,1.27679849198165,0.121407383770404,10.5166461242277,7.24052029929731e-26,3.90855420709523e-23,"LENG8","Astrocytes"
"ACSS1",82.4230585362824,-1.12537021042164,0.107332435652676,-10.4849033153715,1.01349268280351e-25,5.2291999546483e-23,"ACSS1","Astrocytes"
"ENSG00000284977",134.815030664134,-1.24176201286679,0.118569302891277,-10.4728794265194,1.15088006637297e-25,5.70053914475859e-23,"LOC105376244","Astrocytes"
"LINC02328",24.8143757437012,-1.87511390007702,0.181210341286151,-10.3477201508936,4.28569612659663e-25,2.04114519752485e-22,"LINC02328","Astrocytes"
"PRDM16-DT",27.7561320054808,-1.29499064316831,0.125298848505042,-10.335215834934,4.88311580033999e-25,2.15955796270036e-22,"PRDM16-DT","Astrocytes"
"MGAT4C",193.592988004754,-1.29011027851808,0.124803261095961,-10.3371519877683,4.78548368325538e-25,2.15955796270036e-22,"MGAT4C","Astrocytes"
"PPP1R9A-AS1",210.781792831802,-2.54842870026801,0.250140433480662,-10.1879918604404,2.24350507807756e-24,9.26044112727813e-22,"PPP1R9A-AS1","Astrocytes"
"SMC5",40.020105748243,1.19068262466409,0.117147689119004,10.1639446208327,2.87215584905051e-24,1.14728728641266e-21,"SMC5","Astrocytes"
"PLEKHA5",136.427523825871,1.81549015598006,0.179022593128795,10.1411231077071,3.62902974327679e-24,1.40432110346864e-21,"PLEKHA5","Astrocytes"
"NAA25",28.6075697407817,1.323215011978,0.132071541076944,10.0189261152567,1.25863032142689e-23,4.58400566771446e-21,"NAA25","Astrocytes"
"ALCAM",64.6675551485363,-1.200245270778,0.120830880151192,-9.93326597700992,2.9832101763364e-23,1.02614143371038e-20,"ALCAM","Astrocytes"
"ROBO3",35.6056418408606,-1.12087301451743,0.113948387906931,-9.8366728578286,7.82560691100067e-23,2.55011816786635e-20,"ROBO3","Astrocytes"
"MPPED2",21.6161739930664,-1.54419921516375,0.157274972175348,-9.8184675781859,9.37579074857975e-23,2.97693376511957e-20,"MPPED2","Astrocytes"
"AHNAK2",3.98574154725943,3.81537565524957,0.389348904534039,9.79937431650332,1.13285175469597e-22,3.50702581960005e-20,"AHNAK2","Astrocytes"
"ENSG00000259616",26.4314214255178,2.06140749253619,0.210429988580362,9.7961678677227,1.16938147657591e-22,3.53181727425353e-20,"ENSG00000259616","Astrocytes"
"RORB",75.491717401681,-1.33229330118585,0.136672327672883,-9.7480837845582,1.87982967066198e-22,5.41347228181564e-20,"RORB","Astrocytes"
"GLUD1",156.605611414874,-1.25966158019218,0.129215934914454,-9.74850029933332,1.87213406739224e-22,5.41347228181564e-20,"GLUD1","Astrocytes"
"ABCD2",12.7122698792171,-2.21982520816136,0.228126869075516,-9.73066091318923,2.23138405082743e-22,6.14027304475468e-20,"ABCD2","Astrocytes"
"AIG1",38.0263707244923,-1.04474893494049,0.107741941168042,-9.69677104026762,3.11191160986119e-22,8.37713075324155e-20,"AIG1","Astrocytes"
"ST6GALNAC5",10.7884143599956,-2.40728697476245,0.250547611475613,-9.60810187167467,7.38986595952427e-22,1.9469938335487e-19,"ST6GALNAC5","Astrocytes"
"GBP2",21.9378685517264,6.97302899733047,0.72782379791917,9.58065539663058,9.64310479733965e-22,2.43695034092769e-19,"GBP2","Astrocytes"
"CCSER1",11.7874011974363,-2.87727230943411,0.300273449640611,-9.58217355839433,9.50237552990676e-22,2.43695034092769e-19,"CCSER1","Astrocytes"
"PLCD3",10.0576225162801,1.93287419313645,0.203660261657048,9.49067912124801,2.29533938528629e-21,5.57317404078434e-19,"PLCD3","Astrocytes"
"ENSG00000287544",49.3757574021792,-2.6031019896626,0.275437537846529,-9.45078877053072,3.36286908342878e-21,8.00815535771127e-19,"LOC105377557","Astrocytes"
"ENSG00000241231",36.0969358799668,-2.92811713060293,0.310709647706754,-9.42396591871028,4.34364372019213e-21,1.01485547522904e-18,"ENSG00000241231","Astrocytes"
"MYO9B",14.6904039351208,1.60343603500698,0.170213748685924,9.42013231825136,4.50519925989885e-21,1.03310893398755e-18,"MYO9B","Astrocytes"
"LINC01748",58.3040418383766,-1.29191901738619,0.137965767634075,-9.36405486332475,7.67339590279555e-21,1.69677966900567e-18,"LINC01748","Astrocytes"
"ENSG00000251294",15.242590138381,-3.03326039166083,0.325150270728045,-9.32879552850762,1.07080810701623e-20,2.3262836472249e-18,"ENSG00000251294","Astrocytes"
"CAMK4",14.9631494117409,-2.40193469088575,0.258980985942813,-9.27455999189119,1.78353657922975e-20,3.80785059665551e-18,"CAMK4","Astrocytes"
"EPHA6",85.2742204268912,-1.38740960171818,0.151131012031368,-9.18017806583749,4.30379156470084e-20,8.88230849094842e-18,"EPHA6","Astrocytes"
"NR2F2-AS1",45.3856176085882,-2.25227722817937,0.245436162356462,-9.1766315385434,4.44787112857817e-20,9.02917839101369e-18,"NR2F2-AS1","Astrocytes"
"PITPNM2",24.4665467731389,1.05849682287861,0.116532512210876,9.08327472562477,1.05356265826406e-19,2.10423651569095e-17,"PITPNM2","Astrocytes"
"ENSG00000290122",15.1278020944083,2.68210677522142,0.29534406103379,9.08129578036294,1.07289829796084e-19,2.10884121010302e-17,"ENSG00000290122","Astrocytes"
"LINC02060",21.7024307672321,-1.56306343934671,0.172200442518415,-9.07700013128341,1.11608475228885e-19,2.15944960743639e-17,"LINC02060","Astrocytes"
"LDAH",14.3060565285162,-1.72366393038863,0.190029715164371,-9.07049683728521,1.18475539446834e-19,2.25705016149254e-17,"LDAH","Astrocytes"
"ATL2",22.3156208180422,-1.45359830050316,0.160778096050409,-9.04102198129903,1.55213814585752e-19,2.9121404030536e-17,"ATL2","Astrocytes"
"GFAP",599.684937411431,1.77706615920527,0.197596743696567,8.99339799816828,2.39702354520159e-19,4.43020038212408e-17,"GFAP","Astrocytes"
"BAIAP2",16.9116398424437,1.56673896052708,0.174334537091536,8.98696831199,2.54143868382873e-19,4.6280345914487e-17,"BAIAP2","Astrocytes"
"ITGA3",7.37355481390456,2.07873887720582,0.231823597250395,8.96689940912509,3.04978418439896e-19,5.47325761672643e-17,"ITGA3","Astrocytes"
"HES5",8.95182602635056,-4.98313495400878,0.564401280959267,-8.82906386310703,1.05555442977291e-18,1.84097612730675e-16,"HES5","Astrocytes"
"CHSY3",8.35703311929092,2.09567742857055,0.23741265239276,8.82715140684077,1.07375400505435e-18,1.84670775619279e-16,"CHSY3","Astrocytes"
"GJB6",27.2923542300546,-1.50577893395636,0.170785197346675,-8.81680003507444,1.17777310531026e-18,1.99785813192561e-16,"GJB6","Astrocytes"
