"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"LRP1B",505.606123684311,-3.12638280207022,0.128513757553928,-24.3272227158895,1.01016083525688e-130,9.92382004556359e-127,"LRP1B","Ex_L2_3"
"SIK3",173.206070783667,2.14018808856538,0.109280458188465,19.5843623282985,2.10222389152483e-85,1.032612375517e-81,"SIK3","Ex_L2_3"
"SOX5",90.4723732322306,-4.5609444478888,0.271625195616577,-16.791315833333,2.82511231883068e-63,9.2513011400642e-60,"SOX5","Ex_L2_3"
"DPP10",257.847623017738,-2.6175546127747,0.164917852401607,-15.871869386223,9.92404688372325e-57,2.43734591464243e-53,"DPP10","Ex_L2_3"
"LSAMP",428.876021781769,-2.45798833771886,0.156595118171328,-15.6964557160053,1.59931337151974e-55,3.14233091236199e-52,"LSAMP","Ex_L2_3"
"CALM2",131.688151887772,-1.93136080022506,0.128259730871057,-15.0582009420144,3.04973674046711e-51,4.99343562305814e-48,"CALM2","Ex_L2_3"
"EDIL3",153.314080078929,1.93808081359563,0.138308397076207,14.0127487163904,1.30263926946335e-44,1.82816116902971e-41,"EDIL3","Ex_L2_3"
"INPP4B",61.624940928544,-2.87596227875339,0.213008076042936,-13.5016583980303,1.52895246729675e-41,1.87755362984041e-38,"INPP4B","Ex_L2_3"
"NKAIN2",256.895457681044,-3.13011162433404,0.239070334266633,-13.0928483198717,3.61782041510451e-39,3.94905197310964e-36,"NKAIN2","Ex_L2_3"
"TMEM232",49.7387366388106,-2.89956492678201,0.229537372637297,-12.6322127567599,1.4027728019067e-36,1.37808400059315e-33,"TMEM232","Ex_L2_3"
"NRG1",69.9887629958838,-5.34225016107936,0.427016197389054,-12.510649932588,6.52878405405859e-36,5.58066920562013e-33,"NRG1","Ex_L2_3"
"FTH1",196.849105859124,1.36101827843294,0.108818602186754,12.5072207424349,6.81677834562719e-36,5.58066920562013e-33,"FTH1","Ex_L2_3"
"RUNX1T1",55.8413386788279,-3.05670393448293,0.246708146913558,-12.3899594428633,2.96193159728479e-35,2.2383089239789e-32,"RUNX1T1","Ex_L2_3"
"GPC6",50.7139833035953,-2.80275472272738,0.229224120167492,-12.227137007569,2.22648425531215e-34,1.53977466376029e-31,"GPC6","Ex_L2_3"
"KIAA0930",52.7031803696568,-2.55214549217882,0.208803510862032,-12.2227135053547,2.35104030500858e-34,1.53977466376029e-31,"KIAA0930","Ex_L2_3"
"SAMD12",111.559747133109,-1.98917679692631,0.164202633063759,-12.114158949899,8.88710659631084e-34,5.45668345013486e-31,"SAMD12","Ex_L2_3"
"BCL2",51.3425528541242,2.56027872261797,0.216643166829679,11.8179528119196,3.15273807670513e-32,1.8219116979736e-29,"BCL2","Ex_L2_3"
"MCTP1",95.1591669762435,-2.42000574560795,0.205786414127704,-11.7597935503467,6.28878764105867e-32,3.43228054365335e-29,"MCTP1","Ex_L2_3"
"LRRC8C",36.762473870304,2.59707740379581,0.222207590613123,11.6876178560321,1.47464861290962e-31,7.62470945959163e-29,"LRRC8C","Ex_L2_3"
"CLSTN2",35.9280692326825,-3.60282597900406,0.315072653977093,-11.4349053576259,2.79841681264135e-30,1.37458233836943e-27,"CLSTN2","Ex_L2_3"
"NPTX2",45.6652824979145,2.56700673737965,0.22489497291833,11.4142468551836,3.54965357872811e-30,1.66056175035357e-27,"NPTX2","Ex_L2_3"
"LINGO3",18.9242895547401,4.84054760359541,0.431152659806014,11.2269923274352,3.00535274830626e-29,1.34202660906185e-26,"LINGO3","Ex_L2_3"
"LIMCH1",155.553784594987,-1.21565521751311,0.108725727021938,-11.1809343640242,5.05548867700183e-29,2.15935307664635e-26,"LIMCH1","Ex_L2_3"
"CRY1",20.3539348052129,5.45368700782373,0.491483164814593,11.0963862004939,1.30619136089316e-28,5.34667663725601e-26,"CRY1","Ex_L2_3"
"INHBA",17.9785150117452,4.54835918946085,0.413802328304173,10.9916230005296,4.19317130451366e-28,1.64774859582169e-25,"INHBA","Ex_L2_3"
"B2M",21.8278905991133,3.29956973697323,0.302078612649766,10.9228843049501,8.96042461410111e-28,3.38566197726651e-25,"B2M","Ex_L2_3"
"DIP2B",56.3232607683988,1.78367662616485,0.164540032240145,10.8403809205627,2.21546652179763e-27,8.06101596671848e-25,"DIP2B","Ex_L2_3"
"FYN",79.2089955444994,1.76486303742579,0.164077297863436,10.7562902388526,5.53538783075972e-27,1.94213035890655e-24,"FYN","Ex_L2_3"
"MLLT3",64.0564168931196,-1.92015659580375,0.179131570135565,-10.7192528617406,8.26684056441423e-27,2.80046350706225e-24,"MLLT3","Ex_L2_3"
"PSME4",75.5945256014503,2.95836680680532,0.276992844629234,10.6803004632311,1.25863622873272e-26,4.12161410369009e-24,"PSME4","Ex_L2_3"
"MEF2C-AS1",42.1431562975248,-2.32520027812632,0.221443236340315,-10.5002090673609,8.61890238491781e-26,2.73135796869137e-23,"MEF2C-AS1","Ex_L2_3"
"LHFPL5",56.9378391399385,3.40005364288787,0.324820820333184,10.4674744660772,1.21850540055888e-25,3.74081157971576e-23,"LHFPL5","Ex_L2_3"
"UBASH3B",20.0279598125083,3.16383363988191,0.308322904991741,10.261429133741,1.05139036749536e-24,3.12995726371953e-22,"UBASH3B","Ex_L2_3"
"KCNB2",40.4395284749432,-4.00918286461143,0.393558732893494,-10.1870001337168,2.26650314248538e-24,6.54886084464012e-22,"KCNB2","Ex_L2_3"
"ENSG00000233928",44.6403571671217,-2.602003480692,0.25598983139133,-10.164479841054,2.85642584500165e-24,8.01757928608463e-22,"ENSG00000233928","Ex_L2_3"
