"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"STAT1",6.97502209125256,2.5962108374007,0.302443363429695,8.58412235586783,9.15325111716188e-18,2.49609157965004e-14,"STAT1","In_LAMP5_PAX6"
"CACNA2D1",54.9907390913639,-1.06888411451008,0.126982013647526,-8.41760249193298,3.84267057143336e-17,5.23948132414938e-14,"CACNA2D1","In_LAMP5_PAX6"
"NEAT1",8.39698889766147,2.24818432170056,0.297644566657807,7.55325167512711,4.2452352104831e-14,2.89418910474685e-11,"NEAT1","In_LAMP5_PAX6"
"FAM135B",10.4695460839713,1.62194099880218,0.215992260653509,7.50925516448978,5.94647199446741e-14,3.24320582578252e-11,"FAM135B","In_LAMP5_PAX6"
"CHSY3",21.0078331077141,-1.24016290560856,0.171248821700433,-7.24187701435976,4.4251705073583e-13,1.72391999622373e-10,"CHSY3","In_LAMP5_PAX6"
"KCNB2",11.788731624826,-2.41977114688169,0.336320083159918,-7.1948458270662,6.25313815570696e-13,2.13153846882661e-10,"KCNB2","In_LAMP5_PAX6"
"ZEB2",34.6915864640828,-1.06883392121256,0.151059735067362,-7.0755712681208,1.4883434579291e-12,4.50968067752518e-10,"ZEB2","In_LAMP5_PAX6"
"TCF25",10.7113207260249,1.71344605825464,0.243863634368643,7.02624670829133,2.12163188856747e-12,5.25971832738499e-10,"TCF25","In_LAMP5_PAX6"
"FUT9",12.952431224298,-1.82747738237103,0.26565887191109,-6.87903765164919,6.02582339802224e-12,1.17374431474333e-09,"FUT9","In_LAMP5_PAX6"
"NEMF",11.5716651289051,1.37694037968599,0.203360091920043,6.7709468789352,1.2794224845633e-11,2.32599007693607e-09,"NEMF","In_LAMP5_PAX6"
"INPP4B",23.0881952958873,-1.2837759192374,0.189921538310949,-6.75950674501982,1.38462314413593e-11,2.35991707128668e-09,"INPP4B","In_LAMP5_PAX6"
"ENSG00000289084",3.12637458227557,3.30587615563987,0.492378232851016,6.71409890826786,1.89231924662588e-11,2.86686365863821e-09,"ENSG00000289084","In_LAMP5_PAX6"
"KIT",25.2737814283604,-1.04020849029425,0.155179608026754,-6.70325504440577,2.03827248163912e-11,2.92545739864731e-09,"KIT","In_LAMP5_PAX6"
"DISP3",4.26252922334641,2.37069416432174,0.354444012880463,6.68848697726842,2.25489708157831e-11,3.07455217073203e-09,"DISP3","In_LAMP5_PAX6"
"GALNT17",14.961637958698,1.30866935754797,0.196507004818747,6.65965754633048,2.74466349939645e-11,3.56414160135911e-09,"GALNT17","In_LAMP5_PAX6"
"PER1",4.26046085495709,2.76461993002569,0.417979944213616,6.61424063115522,3.73463825935365e-11,4.42798197098147e-09,"PER1","In_LAMP5_PAX6"
"ZNF385B",10.7540906138339,-1.74904165311197,0.266523306125371,-6.56243417710431,5.29364105836702e-11,6.01489965256952e-09,"ZNF385B","In_LAMP5_PAX6"
"RELN",31.7639441274554,-2.15642478848635,0.329762500032293,-6.53932690428771,6.17963174924653e-11,6.74074231207812e-09,"RELN","In_LAMP5_PAX6"
"DPP10",61.9226554866905,-1.09306318866515,0.168079255764411,-6.5032605225076,7.85975022453194e-11,8.24366879319177e-09,"DPP10","In_LAMP5_PAX6"
"DGKD",15.7345921728001,1.15870515929296,0.180383239549948,6.4235743973991,1.33111041026158e-10,1.3444215143642e-08,"DGKD","In_LAMP5_PAX6"
