"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"NLGN1",60.7732962471994,-1.28165555140393,0.148097352508497,-8.65414222263287,4.96632491726627e-18,1.58078122116585e-14,"NLGN1","In_LAMP5"
"CTNNA1",5.99982175459884,3.57910018458601,0.422821124786683,8.46480928877831,2.56572176051389e-17,4.08334618185785e-14,"CTNNA1","In_LAMP5"
"GRIK1",79.8544819979112,-1.0938405657333,0.132041883137647,-8.28404245487041,1.19063133616357e-16,1.26325984766955e-13,"GRIK1","In_LAMP5"
"LRRC49",7.94633758449975,2.12973821082594,0.282424415259625,7.54091394282653,4.66689027944065e-14,3.7136779398649e-11,"LRRC49","In_LAMP5"
"CNR1",28.5610183774493,-1.8900050020318,0.258749700548826,-7.30437561095905,2.78557226253157e-13,1.7732953023276e-10,"CNR1","In_LAMP5"
"HERC4",9.42324320618427,1.6776618237933,0.231645746590806,7.24235971730072,4.4094443987505e-13,2.33921025353714e-10,"HERC4","In_LAMP5"
"DLX6-AS1",23.1143960588332,-1.77497732680706,0.252071399763558,-7.04156571698331,1.90091521458163e-12,8.64373304001905e-10,"DLX6-AS1","In_LAMP5"
"KIF1B",20.6454884753881,1.09960751829503,0.157668777402261,6.97416150751009,3.07700435643703e-12,1.22426310831738e-09,"KIF1B","In_LAMP5"
"PURA",4.729957340673,2.02600776424691,0.300406330057063,6.74422461025393,1.53846388683968e-11,5.44103394645633e-09,"PURA","In_LAMP5"
"VAMP2",11.3913985841031,-1.95931371526656,0.297251140870317,-6.59144220449386,4.35574387672672e-11,1.38643327596212e-08,"VAMP2","In_LAMP5"
"RAP1GAP",5.19430531901507,1.95583947231418,0.303547693860385,6.4432690871101,1.16927115072676e-10,3.38344552069389e-08,"RAP1GAP","In_LAMP5"
"LINC01322",8.93827000318604,-3.04067931122624,0.476554403346912,-6.38055023701617,1.76452828925938e-10,4.68041128726051e-08,"LINC01322","In_LAMP5"
"LINGO3",1.39309607395303,4.43470507888896,0.696813134485148,6.36426734717854,1.9622410021648e-10,4.80447162299274e-08,"LINGO3","In_LAMP5"
