"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"GALNTL6",66.1049692364144,-1.56491448530364,0.12887985119113,-12.1424293311982,6.29294868678225e-34,2.90042004973794e-30,"GALNTL6","In_PVALB"
"GRIK1",52.0783535534638,-2.37676411389609,0.200059319492377,-11.8802969035724,1.49834218535903e-32,3.45292956615989e-29,"GRIK1","In_PVALB"
"FHIT",34.4880116724816,-2.09105252226728,0.205334228959886,-10.1836529294674,2.34586247150361e-24,3.60402671038672e-21,"FHIT","In_PVALB"
"COL4A2",9.18477226185442,2.77558042878257,0.280714409646253,9.88755950319851,4.71379111136706e-23,5.43146580807269e-20,"COL4A2","In_PVALB"
"UNC5D",92.8161185832079,-1.0992947501554,0.113036789708663,-9.72510589683834,2.35660060524316e-22,2.17231443791315e-19,"UNC5D","In_PVALB"
"SOX5",73.3749777162222,-1.17129947558721,0.125179145355948,-9.35698572039786,8.20438693395817e-21,6.3023365631022e-18,"SOX5","In_PVALB"
"LRRC7",43.8507592683348,-1.40072340526522,0.155488276069521,-9.00854675782076,2.08804952750615e-19,1.37483146746798e-16,"LRRC7","In_PVALB"
"ADGRL2",27.0852579736772,-1.60960738387931,0.179822591519764,-8.95108545748212,3.5200372808814e-19,2.0279814784478e-16,"ADGRL2","In_PVALB"
"CTNNA2",31.8590578684934,-1.69064740010306,0.202566463659326,-8.34613671760777,7.05321550315643e-17,2.95529729582255e-14,"CTNNA2","In_PVALB"
"LINC01322",13.4380634617075,-2.56658799310424,0.307136744945149,-8.35649929663286,6.46068182671603e-17,2.95529729582255e-14,"LINC01322","In_PVALB"
"CNTNAP4",10.4717191538014,-4.24217833504107,0.511256175433256,-8.29755910810487,1.06272229097416e-16,4.0817391992499e-14,"CNTNAP4","In_PVALB"
"INPP4B",32.5176744698951,-1.35237013043866,0.166331914910484,-8.13055108014883,4.27343179318566e-16,1.51509593344559e-13,"INPP4B","In_PVALB"
"ZIM2",4.40959868984459,4.06099761397985,0.521092210246272,7.79324183729515,6.53114464396357e-15,2.15014611885915e-12,"ZIM2","In_PVALB"
"HDAC9",12.6651645045921,-2.1874336691724,0.28160264193036,-7.76780236924535,7.98595324006332e-15,2.45381723223012e-12,"HDAC9","In_PVALB"
"ROBO1",59.0322183819755,-1.89307221903788,0.244091767516883,-7.75557585696511,8.79434905507255e-15,2.53332217467684e-12,"ROBO1","In_PVALB"
"LINC-PINT",52.0628715807221,1.6198224193558,0.213252697266216,7.59578865881202,3.05923465614447e-14,7.83334029453881e-12,"LINC-PINT","In_PVALB"
"RAPGEF2",22.265549393087,1.59668041656337,0.2134871515118,7.47904688997226,7.48635612077357e-14,1.81603238740239e-11,"RAPGEF2","In_PVALB"
