"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"DLX6-AS1",49.0536269797021,-2.74852225087365,0.199039936566946,-13.8088983461327,2.25249951344577e-43,1.27243697514551e-39,"DLX6-AS1","In_VIP"
"DMD",48.5648667854182,-1.02912597906296,0.105199729848825,-9.78259146237206,1.33741527784062e-22,2.51835296817389e-19,"DMD","In_VIP"
"INPP4B",61.4362248145638,-1.22198112636109,0.142980333611357,-8.54649793783969,1.26879697183104e-17,1.43348681877471e-14,"INPP4B","In_VIP"
"RTF1",13.9353676582229,1.35166815351262,0.164226684536175,8.23050259664034,1.86429563468075e-16,1.17015622670129e-13,"RTF1","In_VIP"
"RELN",14.2522535906138,-2.64707932716336,0.327807619160238,-8.07510006614405,6.74213325521772e-16,3.80863107587249e-13,"RELN","In_VIP"
"ENSG00000286778",14.3627521048468,-1.44272049247288,0.179644552515799,-8.03097267503284,9.67028918704307e-16,4.96613305614603e-13,"ENSG00000286778","In_VIP"
"PDE3A",21.5160024721159,-1.27870783687625,0.162473062145427,-7.87027597062029,3.53859795946808e-15,1.6657949894196e-12,"PDE3A","In_VIP"
"EPHA7",12.1254941964201,-2.17451533989933,0.276715013601749,-7.85832077412654,3.89317263265816e-15,1.69173324629892e-12,"EPHA7","In_VIP"
"KCTD8",14.2400593398263,-2.02554359101881,0.269008553064853,-7.52966241385822,5.08716736772419e-14,1.91582723068493e-11,"KCTD8","In_VIP"
"CASC6",5.0975167292229,-3.63541102176016,0.486418349470267,-7.4738361036735,7.78901431407246e-14,2.58824363883502e-11,"CASC6","In_VIP"
"IGF1",11.3444229146134,-1.62975510695976,0.217841587831022,-7.48137728514885,7.35476970320232e-14,2.58824363883502e-11,"IGF1","In_VIP"
"CCNH",78.3096361446158,-1.04025431086752,0.142838538398458,-7.28272861463799,3.27134904780649e-13,9.23992538552943e-11,"CCNH","In_VIP"
"CTNNA1",10.4725767565903,2.23932051768635,0.310407253265508,7.2141372153148,5.4277004267019e-13,1.35828671214706e-10,"CTNNA1","In_VIP"
"FBXO38-DT",6.0282375676325,-2.80897226446852,0.390465919091511,-7.19389869160436,6.29669241486069e-13,1.48208397714783e-10,"FBXO38-DT","In_VIP"
"ARL4C",15.8813807901488,-1.43039743293572,0.199943072276043,-7.15402347604672,8.42706449532349e-13,1.9041794933633e-10,"ARL4C","In_VIP"
"CPSF4",6.64797551328881,2.092369789579,0.2929601528191,7.14216513558081,9.18721291881579e-13,1.99609868378425e-10,"CPSF4","In_VIP"
"ZNF804A",54.0709434237951,-1.20719948635509,0.170468599438604,-7.08165310403614,1.42444873243286e-12,2.77472789293559e-10,"ZNF804A","In_VIP"
"ERCC1",3.51492858037348,2.58595760602475,0.364877795340926,7.0871882012128,1.36864204626852e-12,2.77472789293559e-10,"ERCC1","In_VIP"
"LINC02398",6.63774005085429,-2.00201899804444,0.293905726301782,-6.81177268383254,9.64033540279501e-12,1.75671789323836e-09,"LINC02398","In_VIP"
"SRGAP3",19.062040530542,1.13074192914414,0.166560445492999,6.78877824682372,1.13087104708291e-11,1.93584561968828e-09,"SRGAP3","In_VIP"
"LRFN5",19.5524129267123,-1.15286965716891,0.169993412635746,-6.78184900987443,1.1864744252368e-11,1.97129236122432e-09,"LRFN5","In_VIP"
"EPHA1-AS1",1.36166869398065,4.30596443956572,0.638272156152817,6.74628275424061,1.5168089489915e-11,2.44812964367228e-09,"EPHA1-AS1","In_VIP"
"ENSG00000286619",3.76991755930998,3.52045409611972,0.523860850464211,6.72020841603286,1.81464817849401e-11,2.77052636765207e-09,"ENSG00000286619","In_VIP"
"UQCRB",12.2964809793604,-1.44256694072964,0.214648617571599,-6.72059739797045,1.80981011293411e-11,2.77052636765207e-09,"UQCRB","In_VIP"
"RAP1GAP",11.3680782093804,1.50063924999174,0.224049637578248,6.69779815853374,2.11583226518665e-11,3.06470165795881e-09,"RAP1GAP","In_VIP"
"FAM135B",8.36039731885419,1.65888354501518,0.249588568831764,6.64647244374945,3.00200621402289e-11,4.23958327575383e-09,"FAM135B","In_VIP"
"SPG7",11.0754769169082,1.29747459318343,0.197862446232378,6.55745755644618,5.4732881341445e-11,7.5411230901908e-09,"SPG7","In_VIP"
"DNAH17",1.94766141904202,4.29226347931403,0.667503205727106,6.43032639017591,1.2733023541896e-10,1.67276395321326e-08,"DNAH17","In_VIP"
"CCDC7",3.39923363710353,-3.18453565441597,0.495760218853781,-6.42354011739538,1.33141034888412e-10,1.70934933201055e-08,"CCDC7","In_VIP"
"VWC2",15.3252867161569,-1.1027623596405,0.17216518310474,-6.40525767030154,1.50115638882558e-10,1.88445165343905e-08,"VWC2","In_VIP"
"ZIM2",4.99891818695846,2.51106471841164,0.392576928600955,6.39636345253512,1.59120996424738e-10,1.9540750191377e-08,"ZIM2","In_VIP"
"TRIM33",12.6913122371185,1.07732642619004,0.169304382386164,6.36325186038468,1.97526392662421e-10,2.32463873364586e-08,"TRIM33","In_VIP"
"CCK",115.894966080331,-1.56843832872499,0.247358952187778,-6.3407380846857,2.28666999220847e-10,2.63620383387462e-08,"CCK","In_VIP"
"YJEFN3",6.46288137243304,-1.96531862981735,0.311232368459238,-6.31463443068821,2.7080083920697e-10,2.94183450130802e-08,"YJEFN3","In_VIP"
"SCOC",3.08038869490462,-3.22213594216793,0.512220079485037,-6.29053032323005,3.16383238106337e-10,3.37216775860887e-08,"SCOC","In_VIP"
"GRIK1",25.3729763005628,-1.07492512065849,0.171742469580805,-6.2589359712959,3.87612961883047e-10,3.91004575299523e-08,"GRIK1","In_VIP"
"GULP1",8.22145591181371,1.71984829609296,0.277536530110861,6.19683576574937,5.76095577176635e-10,5.61097226805312e-08,"GULP1","In_VIP"
"ZNF451",10.2586433624193,1.20027224551682,0.194417058104021,6.17369821980652,6.67108196502614e-10,6.35658096222631e-08,"ZNF451","In_VIP"
"ENSG00000285783",6.07386890501913,-1.91977436196531,0.311232910450182,-6.16828843449896,6.90331350234583e-10,6.39292097946748e-08,"ENSG00000285783","In_VIP"
"SCG5",13.6241463059605,-1.47706983594654,0.241103587209636,-6.1262872653249,8.99533380155692e-10,8.19590978145081e-08,"SCG5","In_VIP"
"CACNA1E",18.9961317509298,1.20351687019526,0.19748862393309,6.09410732743277,1.1004981017209e-09,9.71361527597085e-08,"CACNA1E","In_VIP"
"GABRA1",19.0302012456935,-1.12374715085967,0.184557766438314,-6.08886405891388,1.13714621454987e-09,9.88267533229573e-08,"GABRA1","In_VIP"
"NDST3",8.73789756721542,-1.83011444234905,0.302506659823849,-6.04983190589831,1.44997044445535e-09,1.22251985682512e-07,"NDST3","In_VIP"
"FXYD6",44.7927119798204,-1.1084109841338,0.183573597539123,-6.03796514854253,1.56069761211166e-09,1.29652658982629e-07,"FXYD6","In_VIP"
"ENSG00000236540",1.10090858285605,4.45211164119233,0.74416554915065,5.98268980104458,2.19482519396594e-09,1.79689384358168e-07,"ENSG00000236540","In_VIP"
