"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"DLX6-AS1",49.0536269797021,-2.74852225087365,0.199039936566946,-13.8088983461327,2.25249951344577e-43,1.27243697514551e-39,"DLX6-AS1","In_VIP"
"OXR1",111.513350915512,-0.851877937176534,0.0799643991037339,-10.6532150147397,1.68445007170326e-26,4.75772922752587e-23,"OXR1","In_VIP"
"DMD",48.5648667854182,-1.02912597906296,0.105199729848825,-9.78259146237206,1.33741527784062e-22,2.51835296817389e-19,"DMD","In_VIP"
"GALNTL6",147.419336778663,-0.869272715319225,0.0972837410253276,-8.93543675600337,4.05572934497057e-19,5.72770376743468e-16,"GALNTL6","In_VIP"
"INPP4B",61.4362248145638,-1.22198112636109,0.142980333611357,-8.54649793783969,1.26879697183104e-17,1.43348681877471e-14,"INPP4B","In_VIP"
"NPAS3",189.76062838556,-0.663815435969415,0.0790321329726637,-8.39931064746817,4.49107273280091e-17,4.22834497793206e-14,"NPAS3","In_VIP"
"CNTNAP2",467.363458316613,-0.636724617094366,0.0759834722286263,-8.37977784403598,5.30276957974208e-17,4.27933505085186e-14,"CNTNAP2","In_VIP"
"CSMD1",368.541475868521,-0.482630153671945,0.0582233829352201,-8.28928394986811,1.1393226097348e-16,8.04504177798987e-14,"CSMD1","In_VIP"
"RTF1",13.9353676582229,1.35166815351262,0.164226684536175,8.23050259664034,1.86429563468075e-16,1.17015622670129e-13,"RTF1","In_VIP"
"RELN",14.2522535906138,-2.64707932716336,0.327807619160238,-8.07510006614405,6.74213325521772e-16,3.80863107587249e-13,"RELN","In_VIP"
"ENSG00000286778",14.3627521048468,-1.44272049247288,0.179644552515799,-8.03097267503284,9.67028918704307e-16,4.96613305614603e-13,"ENSG00000286778","In_VIP"
"PDE3A",21.5160024721159,-1.27870783687625,0.162473062145427,-7.87027597062029,3.53859795946808e-15,1.6657949894196e-12,"PDE3A","In_VIP"
"EPHA7",12.1254941964201,-2.17451533989933,0.276715013601749,-7.85832077412654,3.89317263265816e-15,1.69173324629892e-12,"EPHA7","In_VIP"
"HDAC9",40.9407636383328,-0.958113335959984,0.125299062024738,-7.64661219707155,2.06343425269704e-14,8.32595720963255e-12,"HDAC9","In_VIP"
