"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"AZGP1",20.0141212344547,2.73795810925719,0.203139343070789,13.4782266589446,2.1009592912206e-41,2.40959021110091e-37,"AZGP1","Oligodendrocytes"
"LINC01505",61.3410087132618,-1.84819605447369,0.145956640111984,-12.6626377056616,9.52445052259221e-37,5.4617961521805e-33,"LINC01505","Oligodendrocytes"
"EPB41L4A",12.5111985146114,-2.11127670214935,0.192547090817887,-10.9649888408141,5.63075009221436e-28,2.15263576025355e-24,"EPB41L4A","Oligodendrocytes"
"APOE",26.1885454060274,-2.34839206883782,0.227978439517768,-10.3009393072663,6.97766057045335e-25,1.14323984403614e-21,"APOE","Oligodendrocytes"
"AK5",221.241179336655,-1.03993886672475,0.10301680835663,-10.0948464946091,5.82220944791148e-24,8.34686501976209e-21,"AK5","Oligodendrocytes"
"MMADHC-DT",33.9909224491817,-1.85488060574506,0.186345168918576,-9.95400426267856,2.42235602168711e-23,2.77820012127295e-20,"MMADHC-DT","Oligodendrocytes"
"SPARCL1",14.0297591020039,-2.05404529762875,0.21063510446573,-9.75167602208937,1.81447509353439e-22,1.73418457064549e-19,"SPARCL1","Oligodendrocytes"
"LINC01877",18.6614617569241,-1.38080535067229,0.141939678678694,-9.72811382642336,2.28795903868319e-22,2.01850786266596e-19,"LINC01877","Oligodendrocytes"
"KCNH1",20.4755969385015,-1.85239722748099,0.191322602346987,-9.68206163180575,3.5939437439971e-22,2.74792938666018e-19,"KCNH1","Oligodendrocytes"
"LHFPL6",26.3082483506828,-1.24438868158358,0.131083289346782,-9.49311455170719,2.24232367114235e-21,1.51277706966656e-18,"LHFPL6","Oligodendrocytes"
"CST3",25.6789465856279,-1.85959656167643,0.197067260885168,-9.4363546401552,3.8597414897022e-21,2.45929861918859e-18,"CST3","Oligodendrocytes"
"CCK",10.6625671750043,-2.97731563709714,0.339306786178336,-8.77470112116264,1.71358363671684e-18,7.86123629180217e-16,"CCK","Oligodendrocytes"
"LINC01299",15.7987812204188,-1.79852170785499,0.207736346681391,-8.65771318590395,4.81322775435161e-18,2.0445521894318e-15,"LINC01299","Oligodendrocytes"
"NPTX2",10.1665490699291,3.81643956712299,0.449331297981391,8.49359834106424,2.00335806746581e-17,7.65883789192177e-15,"NPTX2","Oligodendrocytes"
"SLC6A12-AS1",7.32357432073151,-1.86636147964031,0.220668785772122,-8.45775025729123,2.72585111478459e-17,1.00847698178918e-14,"SLC6A12-AS1","Oligodendrocytes"
"NMT1",18.2646602431832,1.1568637271093,0.14055234897715,8.23083879798671,1.85907010936101e-16,5.92268752340595e-14,"NMT1","Oligodendrocytes"
"TMEM125",31.7842451389128,-1.29639241067491,0.157661311538625,-8.22264129369055,1.99069559893574e-16,6.00823363794578e-14,"TMEM125","Oligodendrocytes"
"ENSG00000230960",7.08520695842242,-2.02671818519343,0.247087357666456,-8.20243578762656,2.3556457111987e-16,6.92741042608665e-14,"LOC154449","Oligodendrocytes"
"CALCRL-AS1",5.1101444503349,-2.97703003900268,0.367200446450105,-8.10737042338316,5.17269831660321e-16,1.48314192482806e-13,"CALCRL-AS1","Oligodendrocytes"
"KCNQ3",6.71782900589803,-2.40246968081897,0.297862010165677,-8.06571364868806,7.28092860978811e-16,2.03670659086975e-13,"KCNQ3","Oligodendrocytes"
"PRKX",13.7479360105856,2.46165351564115,0.305868135795083,8.04808748463534,8.40978276302222e-16,2.29647139307385e-13,"PRKX","Oligodendrocytes"
"COL9A3",34.9026230418659,-1.31730089443077,0.164969730778574,-7.9851066508612,1.40400865616064e-15,3.74478494825731e-13,"COL9A3","Oligodendrocytes"
"AZIN2",19.3184513781659,-1.66112694247696,0.210143261996323,-7.90473568696213,2.68502705541597e-15,6.80344943880519e-13,"AZIN2","Oligodendrocytes"
"FNTB",21.219620631039,1.16479851597337,0.147392029531479,7.90272391034957,2.7287354972974e-15,6.80344943880519e-13,"FNTB","Oligodendrocytes"
"LMNA",23.1594864777533,1.20699518448336,0.153949955310994,7.84017885581789,4.49905142231826e-15,1.097864271544e-12,"LMNA","Oligodendrocytes"
"NTN4",4.21141388106876,-2.6446720364719,0.339380773361786,-7.79263954841848,6.56236297753429e-15,1.5679946039446e-12,"NTN4","Oligodendrocytes"
"ZNF652",79.9459528689528,1.29924410534758,0.171565296694768,7.5728840877364,3.65027987486169e-14,8.05097305476705e-12,"ZNF652","Oligodendrocytes"
"ENSG00000227088",349.051351185959,-1.10093886350904,0.145633873114927,-7.55963458199197,4.04203283262307e-14,8.74680652025547e-12,"ENSG00000227088","Oligodendrocytes"
"ASIC1",8.48836372157336,-2.11308906470385,0.280294206812265,-7.53882532477436,4.74223664437823e-14,1.00719837174766e-11,"ASIC1","Oligodendrocytes"
"GOLGB1",34.2871928639776,1.39448764959823,0.185260502235834,7.52717191613277,5.1851082851634e-14,1.08123648950071e-11,"GOLGB1","Oligodendrocytes"
"LINC01376",7.28849753830644,-1.55561307898457,0.207774628026536,-7.48702136425385,7.04542374641184e-14,1.41761342013329e-11,"LINC01376","Oligodendrocytes"
