"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"TENM2",48.6336887270406,-1.53445011557819,0.127617962884866,-12.0237784782894,2.66500186066192e-33,1.39592797461472e-29,"TENM2","Astrocytes_Reactive"
"ENSG00000284977",38.6913874127983,-2.1711141740738,0.201670176529356,-10.7656680399532,4.99976187728695e-27,1.30943763566145e-23,"LOC105376244","Astrocytes_Reactive"
"NKAIN3",45.7350571808549,-1.62234250165466,0.170133853675167,-9.53568303197417,1.48902100475389e-21,1.94987300572522e-18,"NKAIN3","Astrocytes_Reactive"
"PPP1R9A-AS1",30.5815298510457,-2.50088304721981,0.267343192423739,-9.35457912560541,8.39332077524337e-21,8.79284284414495e-18,"PPP1R9A-AS1","Astrocytes_Reactive"
"ESRRG",11.5479149160968,-1.95578787798328,0.215274437994944,-9.0850910874482,1.03611888794159e-19,8.25351109066159e-17,"ESRRG","Astrocytes_Reactive"
"PDE7B",14.1724849608013,-1.53779785968857,0.16939299027532,-9.07828510016346,1.10298926373866e-19,8.25351109066159e-17,"PDE7B","Astrocytes_Reactive"
"LSAMP-AS1",19.4388227812961,-2.30640942215952,0.256866062318713,-8.97903522691831,2.73151316200828e-19,1.78845824282492e-16,"LSAMP-AS1","Astrocytes_Reactive"
"ENSG00000287277",15.889322203457,-1.57929640394503,0.176212139153895,-8.96247223107453,3.17478955158723e-19,1.84772751902377e-16,"LOC105376387","Astrocytes_Reactive"
"LRRC4C",23.1789596900771,-1.90240228912368,0.220338344400801,-8.6340046454337,5.92405925459596e-18,2.82092930687033e-15,"LRRC4C","Astrocytes_Reactive"
"NR4A1",8.88864329484999,-4.79424281938023,0.554939441538989,-8.63921801284221,5.65990796214899e-18,2.82092930687033e-15,"NR4A1","Astrocytes_Reactive"
"FAT3",16.6722456124085,-1.52079446795127,0.178620889521485,-8.51409077642255,1.67902453659862e-17,7.32894210225299e-15,"FAT3","Astrocytes_Reactive"
"H3-3B",53.8147972779661,-2.1728007038065,0.255789223302614,-8.49449666312152,1.98792504545553e-17,8.00980876007388e-15,"H3-3B","Astrocytes_Reactive"
"EPHA6",13.0890184538639,-2.03543048317046,0.240734110417689,-8.45509794868228,2.78853171699379e-17,1.04330922382953e-14,"EPHA6","Astrocytes_Reactive"
"CTNNA2",250.071540813082,-1.20581986249805,0.144216856269797,-8.36115759063722,6.21058195896725e-17,2.0331892688169e-14,"CTNNA2","Astrocytes_Reactive"
"APCDD1",7.25879725672681,-2.70748958086523,0.326874290192144,-8.28296890304132,1.20141802472469e-16,3.7017809491223e-14,"APCDD1","Astrocytes_Reactive"
"OBI1-AS1",50.0260696973974,-1.28979928583368,0.161541787029585,-7.98430740151134,1.41313469064432e-15,3.64107518118802e-13,"OBI1-AS1","Astrocytes_Reactive"
"GLUD1",30.0410427863296,-1.3513681831733,0.173207304125364,-7.80202769159898,6.09202742907456e-15,1.38739302928228e-12,"GLUD1","Astrocytes_Reactive"
"ALDOC",8.11309347300845,-1.90998901057387,0.247863275537085,-7.70581687196373,1.30008952571413e-14,2.72394757427625e-12,"ALDOC","Astrocytes_Reactive"
"ENSG00000231252",11.8636147921769,-1.55551785628387,0.202535823627474,-7.68021097909545,1.58826793885011e-14,3.19974902449879e-12,"LOC101926964","Astrocytes_Reactive"
"NRXN1",92.4541766133421,-1.52657197311622,0.201056483567815,-7.5927517781406,3.13182141681882e-14,6.07573354862851e-12,"NRXN1","Astrocytes_Reactive"
"LINC01748",14.2942570994966,-1.37409343230662,0.181594410030459,-7.56682671055868,3.82451532393178e-14,7.15457545241237e-12,"LINC01748","Astrocytes_Reactive"
"SOX2",17.4070762966973,-1.35836586784143,0.179700725659408,-7.5590449780152,4.06039491163017e-14,7.33391329210995e-12,"SOX2","Astrocytes_Reactive"
"SLC4A4",29.9359663350603,-1.45231907144967,0.197965325729217,-7.33622954474458,2.19695098078534e-13,3.71213846366246e-11,"SLC4A4","Astrocytes_Reactive"
"GRIA1",14.4909626205039,-2.13175651602363,0.296431495522135,-7.19139682599768,6.41317874090948e-13,9.88006771908349e-11,"GRIA1","Astrocytes_Reactive"
"TAFA1",4.41981439947159,-3.93884913738393,0.549401243995764,-7.16934877820244,7.53553542440025e-13,1.12774670151453e-10,"TAFA1","Astrocytes_Reactive"
"LINC00299",21.1843578522032,-1.4782479411105,0.209744222443715,-7.04786012166408,1.81690141445407e-12,2.50445516023959e-10,"LINC00299","Astrocytes_Reactive"
"SGCD",14.4034568509817,-1.48563173235328,0.210950285291065,-7.04256801693079,1.88728653691627e-12,2.534770994966e-10,"SGCD","Astrocytes_Reactive"
"LINC01411",17.3258906586384,-1.174044382764,0.167404230118634,-7.01323008344524,2.32878006333901e-12,3.04953749294243e-10,"LINC01411","Astrocytes_Reactive"
"BTG2",7.017965574868,-2.32186200538915,0.331759774616361,-6.99862425477621,2.58488058855526e-12,3.30234256654938e-10,"BTG2","Astrocytes_Reactive"
"CXCL2",1.82515385185367,-4.0760129949425,0.594074413335905,-6.86111521291494,6.83250285137912e-12,7.78014129033127e-10,"CXCL2","Astrocytes_Reactive"
