"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"NRXN3",99.7972926311326,-1.04224023861662,0.122222806730879,-8.52737935327829,1.49700322702663e-17,1.09835126766944e-13,"NRXN3","COPs"
"CTNNA2",53.0781547664153,-2.15669117072088,0.261709345184382,-8.24078776858898,1.71080460620081e-16,4.18405779856511e-13,"CTNNA2","COPs"
"MDGA2",20.0484211060261,-1.62034105129403,0.202758294505098,-7.99149083024706,1.33316635572887e-15,1.95628831039654e-12,"MDGA2","COPs"
"ADAMTS19",2.97808418279873,-2.53941962109554,0.337989923626471,-7.51329978671782,5.76552914725922e-14,6.0430981933487e-11,"ADAMTS19","COPs"
"OBI1-AS1",4.18880523277867,-3.78486306576201,0.529478754342286,-7.14828127610811,8.78711200286821e-13,7.16344897389379e-10,"OBI1-AS1","COPs"
"NKAIN3",5.85611566068715,-4.08899470930617,0.574113016703417,-7.12228183361067,1.06154705532743e-12,7.78857074493736e-10,"NKAIN3","COPs"
"FSTL5",5.07441892682985,-4.01286633683352,0.580219156964137,-6.91612175962944,4.64175482986056e-12,3.09605047151699e-09,"FSTL5","COPs"
"RORA",22.3710477190919,-2.19298787680615,0.321726308013628,-6.81631505469939,9.34053378325061e-12,5.71095803064248e-09,"RORA","COPs"
"DPH6-DT",3.12746830075184,-2.26276130435268,0.341872587773989,-6.61872693299582,3.62305394987113e-11,1.89873905930032e-08,"DPH6-DT","COPs"
"UNC80",5.79537122942152,-4.92047170002676,0.770384257504563,-6.38703562812304,1.69132244437518e-10,5.71166911117426e-08,"UNC80","COPs"
"TENM3",6.67171319921786,-2.82791111408228,0.442783938212748,-6.38666146178847,1.69546406764737e-10,5.71166911117426e-08,"TENM3","COPs"
"GRIA4",21.9874056195048,-1.25113954924306,0.195946165646647,-6.38511881625317,1.71264441114671e-10,5.71166911117426e-08,"GRIA4","COPs"
"ST6GALNAC5",4.09045883736459,-3.72475789508601,0.591990810874018,-6.29191843296818,3.13566249582795e-10,1.00027633616912e-07,"ST6GALNAC5","COPs"
"OXR1",14.6994337355683,-2.49112937474046,0.405099202961759,-6.14943045191728,7.77616743821608e-10,2.11310149978486e-07,"OXR1","COPs"
"GTDC1",15.6412415601086,-1.15253742930091,0.188590700419688,-6.11131634134693,9.88126741014373e-10,2.58924496386516e-07,"GTDC1","COPs"
"FMN2",7.32313424980399,-3.32866007395993,0.546335980164422,-6.09269789069751,1.11023468187777e-09,2.80889374515076e-07,"FMN2","COPs"
"CARNS1",15.7596771360893,-1.0527151845612,0.174199519758597,-6.04315778837987,1.51126723609646e-09,3.57912608792127e-07,"CARNS1","COPs"
"PBX1",16.6239482331026,-1.01316952335722,0.167813553315015,-6.03747136833059,1.56547927889166e-09,3.58935045913378e-07,"PBX1","COPs"
"ENSG00000286279",6.34613482144905,-1.4695626125599,0.244335061792696,-6.01453840385275,1.80399997761727e-09,3.89292583405234e-07,"ENSG00000286279","COPs"
"GABRG3",2.32301768946915,-3.57529235481138,0.598168869467409,-5.97706189222904,2.27197898549877e-09,4.76271709045842e-07,"GABRG3","COPs"
"PDE4D",20.8272789345685,-2.05358823878466,0.351623569613633,-5.84030314304913,5.2105922208588e-09,9.55752878111026e-07,"PDE4D","COPs"
"CNTNAP2",53.0758687489037,-1.61910846576896,0.281171497431657,-5.75843739695739,8.48961403354784e-09,1.39028315416744e-06,"CNTNAP2","COPs"
