"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"ERBB4",309.132933190123,-1.13474121343484,0.105958026926677,-10.7093463926059,9.20091037275302e-27,9.2837185661078e-24,"ERBB4","Ex_L6b"
"PDE4D",86.4213891723098,-1.4079954696674,0.170688876407566,-8.24889998282857,1.59859154801539e-16,3.22595774389506e-14,"PDE4D","Ex_L6b"
"LINGO2",34.4440475677624,-3.37389375099951,0.441372389105025,-7.64409789620232,2.1041527703487e-14,3.0329859218312e-12,"LINGO2","Ex_L6b"
"THSD7A",69.8355158372283,-1.32009754509645,0.18079466298005,-7.30164001158663,2.84281038709279e-13,3.58549460072079e-11,"THSD7A","Ex_L6b"
"GALNTL6",101.357436515749,-1.43989317509728,0.199477862079602,-7.2183106440287,5.26373658079678e-13,5.31111021002395e-11,"GALNTL6","Ex_L6b"
"GRIP1",70.4145236445877,-1.17786975156655,0.188866161353659,-6.23653143117018,4.47379458667982e-10,2.39815292921692e-08,"GRIP1","Ex_L6b"
"GRIN2B",21.9130352820478,-2.42311476278608,0.419698078084979,-5.77347119110575,7.76548884898155e-09,2.44855570269449e-07,"GRIN2B","Ex_L6b"
"KCND2",25.5142611097729,-2.31352083752229,0.40564079584856,-5.703373184353,1.17459433780511e-08,3.38618767670102e-07,"KCND2","Ex_L6b"
"NRXN1",21.1725336019835,-2.99040329621948,0.526768652174496,-5.67688165169875,1.37172304799822e-08,3.74072582548705e-07,"NRXN1","Ex_L6b"
"ZNF804A",26.2349897634437,-1.85541555995192,0.338232064881624,-5.48562881109835,4.12001208555163e-08,9.66765626586418e-07,"ZNF804A","Ex_L6b"
"SET",11.6400831321772,-5.89700425329605,1.11819735777888,-5.27367035190414,1.33722011482728e-07,2.87075552310793e-06,"SET","Ex_L6b"
"PLCXD3",15.7458792727741,-2.64679227112321,0.530278412672352,-4.99132570338783,5.99662805779263e-07,1.18639170790446e-05,"PLCXD3","Ex_L6b"
"INPP4B",25.5287698759066,-1.51004382406255,0.30304359099833,-4.98292611662878,6.26298693457277e-07,1.21526034941999e-05,"INPP4B","Ex_L6b"
"B3GALT1",22.6735721113479,-1.69245995609283,0.346113839037217,-4.8898939169862,1.00890334238346e-06,1.8251809143394e-05,"B3GALT1","Ex_L6b"
"TCF4",38.6348316851431,-1.16708680019091,0.238712031337737,-4.88909919475187,1.0129844519624e-06,1.8251809143394e-05,"TCF4","Ex_L6b"
"ADGRL2",20.1217455613797,-1.85661735554911,0.384289364311435,-4.83130038968362,1.3564416869416e-06,2.29580096547502e-05,"ADGRL2","Ex_L6b"
"SLC25A12",6.84543063415473,-5.10315038645775,1.05726917573598,-4.82672767122466,1.3879470653516e-06,2.29580096547502e-05,"SLC25A12","Ex_L6b"
"SOX5",22.2488526678857,-1.77413803826279,0.369072893302548,-4.80701257246881,1.53202359775514e-06,2.49324485505634e-05,"SOX5","Ex_L6b"
"GRM5",29.5278932498103,-1.33755450958679,0.283528655001927,-4.71752849664418,2.38726970784427e-06,3.70577713109979e-05,"GRM5","Ex_L6b"
"MCTP1",17.5138315045325,-1.90166028953166,0.408662932137113,-4.6533711281003,3.26551726404984e-06,4.80990986298687e-05,"MCTP1","Ex_L6b"
"PTPRD",45.2018920212689,-1.17216941892377,0.251977603814577,-4.6518793780829,3.28923469322194e-06,4.80990986298687e-05,"PTPRD","Ex_L6b"
"ZNF385B",6.18784269672651,-4.91609238300635,1.07282552276305,-4.58237828863821,4.59717287009781e-06,6.26830733233607e-05,"ZNF385B","Ex_L6b"
"ABI3BP",6.19335922336375,-4.90039054577145,1.08476039803313,-4.51748658473961,6.25779913184691e-06,8.30805174214938e-05,"ABI3BP","Ex_L6b"
"RAB3C",5.3661436158971,-4.80969636114959,1.0738305317356,-4.4790087625613,7.49904556412423e-06,9.82667139506668e-05,"RAB3C","Ex_L6b"
"QKI",13.8832868995858,-4.61476001855038,1.04318733081594,-4.42371171718593,9.70194627539882e-06,0.000120855108541696,"QKI","Ex_L6b"
"GRIK1",11.736244656319,-2.8062454891377,0.635034094518303,-4.41904696670868,9.91371033414535e-06,0.000121986996672593,"GRIK1","Ex_L6b"
"CNTNAP4",14.3309185675154,-2.03072849939753,0.461682797050644,-4.39853620791241,1.08983446323362e-05,0.000130909877786038,"CNTNAP4","Ex_L6b"
"DLX6-AS1",13.1947214839051,-4.5984575642736,1.04989168184697,-4.3799352293029,1.18714589898035e-05,0.000137184067762337,"DLX6-AS1","Ex_L6b"
"NAV3",33.5138036874514,-1.07454018601873,0.245427797945578,-4.37823341534037,1.19645173073197e-05,0.000137184067762337,"NAV3","Ex_L6b"
