"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"NLGN1",60.7732962471994,-1.28165555140393,0.148097352508497,-8.65414222263287,4.96632491726627e-18,1.58078122116585e-14,"NLGN1","In_LAMP5"
"GRIK1",79.8544819979112,-1.0938405657333,0.132041883137647,-8.28404245487041,1.19063133616357e-16,1.26325984766955e-13,"GRIK1","In_LAMP5"
"CNR1",28.5610183774493,-1.8900050020318,0.258749700548826,-7.30437561095905,2.78557226253157e-13,1.7732953023276e-10,"CNR1","In_LAMP5"
"DLX6-AS1",23.1143960588332,-1.77497732680706,0.252071399763558,-7.04156571698331,1.90091521458163e-12,8.64373304001905e-10,"DLX6-AS1","In_LAMP5"
"VAMP2",11.3913985841031,-1.95931371526656,0.297251140870317,-6.59144220449386,4.35574387672672e-11,1.38643327596212e-08,"VAMP2","In_LAMP5"
"LINC01322",8.93827000318604,-3.04067931122624,0.476554403346912,-6.38055023701617,1.76452828925938e-10,4.68041128726051e-08,"LINC01322","In_LAMP5"
"FHIT",7.68026644630227,-3.11848692356053,0.492456533235245,-6.33251203527203,2.41201465773793e-10,4.84306202877982e-08,"FHIT","In_LAMP5"
"PRR16",23.984613987598,-1.08963985171693,0.185993477858978,-5.85848420202729,4.67111040554906e-09,7.43407221043133e-07,"PRR16","In_LAMP5"
"CCK",102.720871541789,-2.49129527641875,0.429329508462631,-5.80275808513542,6.52328755085807e-09,9.88744013065773e-07,"CCK","In_LAMP5"
"SRP14",8.23221574275692,-3.20453840936487,0.558544557063699,-5.73730129286608,9.61970388496849e-09,1.33128336808064e-06,"SRP14","In_LAMP5"
"SOX5",9.97868592557129,-1.75484750804097,0.307265255438072,-5.7111810625613,1.12194799584016e-08,1.48798352948301e-06,"SOX5","In_LAMP5"
"UBA6-DT",8.43235633005527,-2.11071577122188,0.370804501113095,-5.69226038218483,1.25368470096665e-08,1.53479938583724e-06,"UBA6-DT","In_LAMP5"
"SARAF",13.2448048923789,-2.13870902179826,0.37657384560923,-5.67938811134959,1.35177440815927e-08,1.53667783613249e-06,"SARAF","In_LAMP5"
"LRP1B",43.5842613406053,-1.09592864565629,0.195041824246312,-5.61894173155534,1.92130633485486e-08,2.10879933235966e-06,"LRP1B","In_LAMP5"
"ARL6IP5",6.28505208098979,-2.73859114583078,0.48919513710632,-5.59815692778561,2.16642608673389e-08,2.29208394456221e-06,"ARL6IP5","In_LAMP5"
"CHRNA7",17.3810379377139,-1.50850228799893,0.269932574993948,-5.58844106915495,2.2911710206563e-08,2.29208394456221e-06,"CHRNA7","In_LAMP5"
"TMEM232",13.5821142459179,-1.84406426387838,0.333356573064281,-5.53180711850789,3.16948322231855e-08,2.96719561665881e-06,"TMEM232","In_LAMP5"
"TMEFF2",29.794940838734,-1.4048892856872,0.258676692240651,-5.43106251095947,5.60195054456247e-08,4.81919150901145e-06,"TMEFF2","In_LAMP5"
"KHDRBS2",29.4693852017129,-1.0154126450826,0.18761209695755,-5.41229836214854,6.22209014020429e-08,5.21181918849217e-06,"KHDRBS2","In_LAMP5"
"HIBCH",5.44679234884201,-2.60772865384993,0.495040430794675,-5.26770843679133,1.38137273936041e-07,9.77090984307598e-06,"HIBCH","In_LAMP5"
"LINC02981",4.45758827948148,-2.88791046835469,0.552456782060988,-5.22739617311075,1.71913878729342e-07,1.16425931062871e-05,"LINC02981","In_LAMP5"
"IL1RAPL2",29.6527253184204,-1.40409073621642,0.26937915703532,-5.21232136765623,1.86492115163473e-07,1.21143755625578e-05,"IL1RAPL2","In_LAMP5"
