"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"CACNA2D1",54.9907390913639,-1.06888411451008,0.126982013647526,-8.41760249193298,3.84267057143336e-17,5.23948132414938e-14,"CACNA2D1","In_LAMP5_PAX6"
"CHSY3",21.0078331077141,-1.24016290560856,0.171248821700433,-7.24187701435976,4.4251705073583e-13,1.72391999622373e-10,"CHSY3","In_LAMP5_PAX6"
"KCNB2",11.788731624826,-2.41977114688169,0.336320083159918,-7.1948458270662,6.25313815570696e-13,2.13153846882661e-10,"KCNB2","In_LAMP5_PAX6"
"ZEB2",34.6915864640828,-1.06883392121256,0.151059735067362,-7.0755712681208,1.4883434579291e-12,4.50968067752518e-10,"ZEB2","In_LAMP5_PAX6"
"FUT9",12.952431224298,-1.82747738237103,0.26565887191109,-6.87903765164919,6.02582339802224e-12,1.17374431474333e-09,"FUT9","In_LAMP5_PAX6"
"INPP4B",23.0881952958873,-1.2837759192374,0.189921538310949,-6.75950674501982,1.38462314413593e-11,2.35991707128668e-09,"INPP4B","In_LAMP5_PAX6"
"KIT",25.2737814283604,-1.04020849029425,0.155179608026754,-6.70325504440577,2.03827248163912e-11,2.92545739864731e-09,"KIT","In_LAMP5_PAX6"
"ZNF385B",10.7540906138339,-1.74904165311197,0.266523306125371,-6.56243417710431,5.29364105836702e-11,6.01489965256952e-09,"ZNF385B","In_LAMP5_PAX6"
"RELN",31.7639441274554,-2.15642478848635,0.329762500032293,-6.53932690428771,6.17963174924653e-11,6.74074231207812e-09,"RELN","In_LAMP5_PAX6"
"DPP10",61.9226554866905,-1.09306318866515,0.168079255764411,-6.5032605225076,7.85975022453194e-11,8.24366879319177e-09,"DPP10","In_LAMP5_PAX6"
"DMD",15.346677358846,-1.35168280188646,0.215600086134199,-6.2693982461821,3.62446052358931e-10,3.18835607994453e-08,"DMD","In_LAMP5_PAX6"
"ANKRD30BL",13.2383999149196,-1.42263045504014,0.2285310447878,-6.22510808700456,4.81224134052408e-10,3.80892849988711e-08,"ANKRD30BL","In_LAMP5_PAX6"
"PCDH11Y",17.3390861652965,-2.18752720047855,0.351543325084309,-6.22263898753853,4.88861376956541e-10,3.80892849988711e-08,"PCDH11Y","In_LAMP5_PAX6"
"KCNH7",12.1840668017349,-1.74041918095818,0.289957358253712,-6.00232803692228,1.94508221821733e-09,1.32605980226966e-07,"KCNH7","In_LAMP5_PAX6"
"HDAC9",30.0252683111623,-1.17482688066306,0.19639405342079,-5.981988050045,2.20430448045672e-09,1.46613129712329e-07,"HDAC9","In_LAMP5_PAX6"
"NXPH2",12.7887222108892,-1.53262465708791,0.257416140037834,-5.95387941433139,2.61859774919973e-09,1.66067815396922e-07,"NXPH2","In_LAMP5_PAX6"
"TRPS1",10.5114717196326,-1.73682541827397,0.292447125246544,-5.93893825015296,2.86873884986885e-09,1.77796610081644e-07,"TRPS1","In_LAMP5_PAX6"
"NRG1",69.1945256867044,-1.1019124268315,0.188456759443247,-5.8470305341493,5.00425674893218e-09,2.78502207231389e-07,"NRG1","In_LAMP5_PAX6"
"PRKD1",7.59128348134604,-1.8693172391695,0.325281068399778,-5.74677539140418,9.09614291237195e-09,4.52248352907472e-07,"PRKD1","In_LAMP5_PAX6"
"UBA6-DT",9.05757988780134,-1.68129657389554,0.292888633410046,-5.7403954339932,9.44557298447136e-09,4.59965670154525e-07,"UBA6-DT","In_LAMP5_PAX6"
"RCN2",4.15119949260944,-3.17052835574929,0.555929456044094,-5.70311272640646,1.17639127833286e-08,5.62810353686617e-07,"RCN2","In_LAMP5_PAX6"
"DLX6-AS1",20.7159370612664,-2.08636270958399,0.3753769649545,-5.55804672201152,2.72810367391804e-08,1.12720283617795e-06,"DLX6-AS1","In_LAMP5_PAX6"
"FHIT",12.3413025014768,-1.23468463054206,0.22464731945355,-5.49610221722391,3.88277503308033e-08,1.53454021959566e-06,"FHIT","In_LAMP5_PAX6"
"CCK",48.9189462342718,-1.76019590791421,0.321194468107476,-5.48015636223606,4.2495011331083e-08,1.6554842271409e-06,"CCK","In_LAMP5_PAX6"
"UPP2",2.89702849749035,-3.61372067170823,0.672501612506126,-5.3735494525306,7.72016191670166e-08,2.73414046062928e-06,"UPP2","In_LAMP5_PAX6"
"ENSG00000288891",11.0782893506568,-1.30616923026554,0.244512488729986,-5.34193258205282,9.19608586203817e-08,3.16203491026045e-06,"LOC107984035","In_LAMP5_PAX6"
"BTBD8",12.3999455249654,-1.51719109645724,0.286294216073486,-5.29941232227971,1.16176008131405e-07,3.72719969616874e-06,"BTBD8","In_LAMP5_PAX6"
"LRRTM4",31.7606279341216,-1.43409315631884,0.271141076752231,-5.28910327235042,1.22917479622324e-07,3.85431243029144e-06,"LRRTM4","In_LAMP5_PAX6"
"DTWD1",4.64200253529436,-2.47951675475493,0.473659375976402,-5.23480982434615,1.65154821940478e-07,4.89540434164872e-06,"DTWD1","In_LAMP5_PAX6"
"UBE2B",6.85473811297162,-1.88789673021883,0.362333339445599,-5.21038647204663,1.8844766582745e-07,5.40943983906796e-06,"UBE2B","In_LAMP5_PAX6"
"TTC13",3.46934159197437,-3.05987598205432,0.589353480053239,-5.19191976566917,2.08136701586869e-07,5.85143077554013e-06,"TTC13","In_LAMP5_PAX6"
"PHTF1",4.69035821770492,-2.31634057356568,0.451974093974779,-5.1249410186216,2.97630902758861e-07,7.80072857309756e-06,"PHTF1","In_LAMP5_PAX6"
"ELAVL2",5.35021133764636,-2.041725256952,0.400112024483338,-5.10288402251461,3.3451602238959e-07,8.52546909398517e-06,"ELAVL2","In_LAMP5_PAX6"
"NAP1L3",3.04842093508115,-3.21977857890428,0.642792442436207,-5.00904859226596,5.46997626084439e-07,1.28591597097609e-05,"NAP1L3","In_LAMP5_PAX6"
"SOX6",5.45010104865889,-1.98748673310002,0.398627159945956,-4.98582869609155,6.16967916164009e-07,1.42582331133835e-05,"SOX6","In_LAMP5_PAX6"
"RARB",3.86077617254678,-2.89097703876147,0.590055503815954,-4.89950016577288,9.60807693382869e-07,2.11309914899474e-05,"RARB","In_LAMP5_PAX6"
"GRM8",3.02034231634838,-3.10400497835888,0.633536195894085,-4.89949113953673,9.60851831592767e-07,2.11309914899474e-05,"GRM8","In_LAMP5_PAX6"
"LINC02398",3.51403133818778,-2.50870911565193,0.517574429699236,-4.84704995397425,1.25310882831258e-06,2.66970919906907e-05,"LINC02398","In_LAMP5_PAX6"
"TMEM205",2.42571352631215,-3.1014572061259,0.639713519742784,-4.84819706072952,1.24588607293265e-06,2.66970919906907e-05,"TMEM205","In_LAMP5_PAX6"
"GABRA1",10.4717321855237,-1.16179330892639,0.240842119167832,-4.82387928216489,1.40792650065155e-06,2.90864815702786e-05,"GABRA1","In_LAMP5_PAX6"
"INPP1",2.0070342527871,-3.30432767506107,0.685841808510392,-4.81791520152128,1.45065995034323e-06,2.95751918315743e-05,"INPP1","In_LAMP5_PAX6"
"TTC14",8.69165705261262,-1.32544234540332,0.277026482019089,-4.78453300111572,1.71385338316098e-06,3.33834155419999e-05,"TTC14","In_LAMP5_PAX6"
"HSPA8",2.47908602805979,-3.63969566260545,0.765135027950422,-4.75693247550717,1.96556880082857e-06,3.74832595794371e-05,"HSPA8","In_LAMP5_PAX6"
