"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"MAGI2",149.82348309754,-1.40790570425484,0.0900781355259832,-15.6298273275064,4.5603716400761e-55,1.62850871267117e-51,"MAGI2","In_SST"
"ELAVL2",34.6672917067829,-2.18540495901222,0.175641719891126,-12.4424024108103,1.53807183643291e-35,7.84636361128844e-33,"ELAVL2","In_SST"
"FHIT",28.4012715430837,-3.05048709319594,0.257370566740953,-11.8525095228402,2.08841436357811e-32,9.32215961542177e-30,"FHIT","In_SST"
"OXR1",124.894462973017,-1.06758816719004,0.0937754130815256,-11.384521081895,4.99418638353608e-30,1.78342395756073e-27,"OXR1","In_SST"
"PDE4B",48.7062618384018,-1.8889015005614,0.167065982418021,-11.3063202527677,1.22103676982263e-29,3.96392936821509e-27,"PDE4B","In_SST"
"CNTN5",127.952063834378,-2.52805430787692,0.235617816741136,-10.7294700496032,7.40194472228306e-27,2.03325727717483e-24,"CNTN5","In_SST"
"LSAMP",121.912561759304,-1.0721223211512,0.100577493925736,-10.6596642976889,1.57163702329876e-26,4.00879700728563e-24,"LSAMP","In_SST"
"SOX2-OT",20.9124612103632,-2.81229074113372,0.273422270103959,-10.285521878172,8.18971950437421e-25,1.94969922334135e-22,"SOX2-OT","In_SST"
"PDE4D",63.4710898507281,-1.24270689940964,0.126996385655125,-9.78537218204281,1.30115688677453e-22,2.58135069037324e-20,"PDE4D","In_SST"
"LINC01322",31.3829907148571,-1.79106237045874,0.184427400951882,-9.71147650085924,2.69405854029568e-22,5.06341213020836e-20,"LINC01322","In_SST"
"RBMS3",62.1892946493023,-1.11197991731869,0.119479653519426,-9.30685589189374,1.31672362133535e-20,2.23905716751835e-18,"RBMS3","In_SST"
"UTRN",15.2219194573048,-4.02816452681705,0.441289022131182,-9.12817750906931,6.96620881128707e-20,1.08157963761331e-17,"UTRN","In_SST"
"UBA6-DT",13.5786863323834,-3.83954218155563,0.435771000703026,-8.81091714538444,1.24126087976722e-18,1.83464070897362e-16,"UBA6-DT","In_SST"
"UNC5D",61.0271235043414,-1.82527928723898,0.207251198271089,-8.80708677424135,1.28440262459649e-18,1.83464070897362e-16,"UNC5D","In_SST"
"COL19A1",12.4748086962106,-4.33114456714739,0.499148275230348,-8.67707008533415,4.06094873733029e-18,5.5775569003871e-16,"COL19A1","In_SST"
"PWRN1",24.5744737852227,-1.63075448127206,0.194098217356443,-8.40169736477967,4.40070774639472e-17,5.61247405799126e-15,"PWRN1","In_SST"
"SCN9A",17.5429429229188,-3.24758153561667,0.38881768545701,-8.35245323730455,6.68595386014583e-17,8.23294525330371e-15,"SCN9A","In_SST"
"AIG1",17.15924496328,-2.03419752631204,0.246687011043107,-8.24606661579187,1.63693439294239e-16,1.94849757239909e-14,"AIG1","In_SST"
"ST6GALNAC5",49.7682439274694,-1.48055380768687,0.181735588121663,-8.14674672687506,3.73845545818164e-16,4.30645949715053e-14,"ST6GALNAC5","In_SST"
"NKAIN2",61.8591099595111,-1.03527808881092,0.128559344415809,-8.05291978980883,8.08418869059718e-16,8.74807206488561e-14,"NKAIN2","In_SST"
"SOX5",21.5967734709744,-3.09643508543077,0.411430550121711,-7.52602130423901,5.230980914811e-14,4.66995821169752e-12,"SOX5","In_SST"
"GRIA4",19.0402443670075,-1.6130936210522,0.219709218311953,-7.34194784108629,2.1050743805474e-13,1.70845923021245e-11,"GRIA4","In_SST"
"COL25A1",25.3043940880126,-2.51434365519729,0.344051789299902,-7.30803830526104,2.71070527026298e-13,2.10433228698024e-11,"COL25A1","In_SST"
"KCNH7",13.6353304955949,-2.5627090209065,0.355393010186594,-7.21091565520937,5.55768735275727e-13,4.05030643606045e-11,"KCNH7","In_SST"
"GULP1",13.180090751551,-2.32962562225608,0.331449042994132,-7.0286086850983,2.08603102507687e-12,1.40551260199047e-10,"GULP1","In_SST"
"PAPSS1",8.27011713343015,-2.74348504962524,0.401251696948032,-6.83731700200277,8.06900607196868e-12,4.96800356603451e-10,"PAPSS1","In_SST"
"KCNB2",22.3762347266888,-1.59008848337519,0.234431697803214,-6.78273671297615,1.17920425300568e-11,7.1371837075988e-10,"KCNB2","In_SST"
"HDAC9",34.2945980925788,-2.31783181573577,0.346102661267302,-6.69694883954003,2.12816083922963e-11,1.24584628801459e-09,"HDAC9","In_SST"
"PLCH1",24.5453282876903,-1.29630248182509,0.193713512405601,-6.69185368499679,2.20361142376663e-11,1.2692090958501e-09,"PLCH1","In_SST"
"TMEM14B",9.57048347050721,-2.25302055144899,0.337029004709586,-6.68494556838035,2.31010491731586e-11,1.29871133254714e-09,"TMEM14B","In_SST"
"MPPED2",11.0871752056368,-1.94373193824787,0.291896203840678,-6.65898327101503,2.75728314238227e-11,1.46959076141001e-09,"MPPED2","In_SST"
"MBP",8.51910210161292,-2.77958855478107,0.418597425418487,-6.64024283475278,3.13166776806542e-11,1.644586117612e-09,"MBP","In_SST"
"ALK",16.2908567601217,-1.87378976259466,0.282410242513227,-6.63499222237627,3.24519646209956e-11,1.679294882039e-09,"ALK","In_SST"
"TMEM232",6.20184342304347,-3.89204070583151,0.602663725823361,-6.4580636581606,1.06051133941338e-10,5.04944799072691e-09,"TMEM232","In_SST"
"LINGO2",51.8106669286055,-1.91144463657897,0.297291382285448,-6.42953260832725,1.2799690032805e-10,5.92616468211477e-09,"LINGO2","In_SST"
"PALM2AKAP2",24.8352603709832,-1.22302767615343,0.190270853827971,-6.42782460659584,1.29442969813764e-10,5.92616468211477e-09,"PALM2AKAP2","In_SST"
"TBC1D5",18.096084412105,-1.46432486972491,0.227999850985442,-6.42248169635169,1.34070375489469e-10,5.98456638591116e-09,"TBC1D5","In_SST"
"TRPM3",7.71752629106854,-3.42802753819783,0.538767390280626,-6.36272276318038,1.98208265609553e-10,8.63172824989896e-09,"TRPM3","In_SST"
"MICU1",7.943313321138,-2.30735538550884,0.3680736660616,-6.26873258877119,3.63998611220743e-10,1.49406786283824e-08,"MICU1","In_SST"
"EPHA7",14.9535341314672,-2.02345853954049,0.324522362701047,-6.23518984238542,4.51230536081282e-10,1.81049915095085e-08,"EPHA7","In_SST"
"PIWIL4-AS1",6.96200981419956,-3.70084943813685,0.596642018371999,-6.20279719526796,5.54683009399869e-10,2.2008589184077e-08,"PIWIL4-AS1","In_SST"
"BABAM2",11.3428862406603,-1.84028783246442,0.297016960277249,-6.19590150928288,5.7952358543297e-10,2.25556764940206e-08,"BABAM2","In_SST"
"ENSG00000242593",15.1799275447714,-1.41499136070106,0.229843610956811,-6.15632235680002,7.44536014330701e-10,2.85885817975799e-08,"LOC102724577","In_SST"
"HMGCLL1",7.50542177924996,-2.32750083072995,0.378444646194999,-6.15017507614752,7.73974635439193e-10,2.94028023739719e-08,"HMGCLL1","In_SST"
"CACNG3",15.3506495392265,-1.42778337665517,0.234439699354043,-6.09019453867743,1.12773564754962e-09,4.19494166395802e-08,"CACNG3","In_SST"
"ENSG00000240086",6.8357640672728,-2.45729298448279,0.403793795885957,-6.08551446188341,1.16117842042742e-09,4.27481251479003e-08,"LOC102724019","In_SST"
"ENSG00000283982",13.0756330267672,-1.54936174322367,0.254747885187872,-6.08194153243332,1.18735869638113e-09,4.32658969875205e-08,"LOC101929563","In_SST"
"KCTD8",16.0667115380209,-1.94590544660694,0.326087271081527,-5.96743761310583,2.41008390817177e-09,8.2753938808475e-08,"KCTD8","In_SST"
"TMEM47",6.96241389484469,-3.17655533477337,0.53359100373705,-5.95316508810322,2.6300575588354e-09,8.94470051676306e-08,"TMEM47","In_SST"
"LRRTM3",25.2670596241127,-1.16154323342698,0.195561217820523,-5.93953773847426,2.85826876390276e-09,9.53913808962312e-08,"LRRTM3","In_SST"
"SLC1A2",8.6330180774235,-2.06608301601508,0.350298765180651,-5.89805966044324,3.67800997269922e-09,1.20497005619348e-07,"SLC1A2","In_SST"
"RIMS1",30.5146889513972,-1.71085981470901,0.290743696448629,-5.88442616506152,3.9943740355147e-09,1.296719061893e-07,"RIMS1","In_SST"
"MAP3K13",12.9113196471042,-1.48064205760845,0.252681547494783,-5.8597158054805,4.63659978548276e-09,1.47833016374633e-07,"MAP3K13","In_SST"
"NTM",69.0427925418177,-1.23685138509639,0.21170811925911,-5.84224823036949,5.1500987310855e-09,1.6132458393602e-07,"NTM","In_SST"
"WLS",17.2113166007084,-1.2895338670214,0.221074146228882,-5.83303786995663,5.44272088245552e-09,1.69008315402162e-07,"WLS","In_SST"
"LINC01473",8.52327470749049,-1.91134882460677,0.330066970439742,-5.79079094785011,7.00557290355947e-09,2.10226057467318e-07,"LINC01473","In_SST"
"EEF1A1",13.2994572796698,-1.442392290771,0.250239153224116,-5.76405519354992,8.21165412201542e-09,2.42345593964604e-07,"EEF1A1","In_SST"
"DKK3",8.10930984880819,-1.98928708225392,0.345828991227969,-5.75222764057566,8.80750916777822e-09,2.57800124902754e-07,"DKK3","In_SST"
"PLPPR1",11.4775388325972,-1.5221737335731,0.266706230706277,-5.70730473578423,1.14779177524169e-08,3.27901154351047e-07,"PLPPR1","In_SST"
"ENSG00000285783",7.18362767841113,-2.07005154711639,0.368077598931449,-5.62395416924548,1.86635185202523e-08,5.16646702603262e-07,"ENSG00000285783","In_SST"
"ANKRD26",18.1910257618209,-1.21066379630105,0.215437636049892,-5.61955570298164,1.91449147902967e-08,5.2589608243192e-07,"ANKRD26","In_SST"
"SH3KBP1",11.1045513793639,-1.67220735253246,0.297820918274521,-5.6148082620277,1.96780324714544e-08,5.32361215166066e-07,"SH3KBP1","In_SST"
"GRM7",27.5171499181433,-1.76991555706817,0.315502337971256,-5.60983341185074,2.02521468262037e-08,5.43762528694537e-07,"GRM7","In_SST"
"DSCAM",13.3895725823304,-1.99675075799764,0.360084783509052,-5.54522392904016,2.93578204228635e-08,7.5968678789888e-07,"DSCAM","In_SST"
"EVL",14.037326827899,-1.32945942199363,0.240313189847558,-5.53219497788272,3.16248077757478e-08,8.00937507568761e-07,"EVL","In_SST"
"BRINP3",24.9640966396318,-1.80738930955301,0.327086701763392,-5.52571932704386,3.28138360426689e-08,8.25198651467399e-07,"BRINP3","In_SST"
"NPY",28.3535063728053,-9.32774693551138,1.68902633763206,-5.52255860532553,3.34098305821537e-08,8.34311223838258e-07,"NPY","In_SST"
"PLP1",10.2402224156211,-2.5269242623272,0.459669380914883,-5.49726470207313,3.85727483209492e-08,9.37486157658934e-07,"PLP1","In_SST"
