"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"DLX6-AS1",49.0536269797021,-2.74852225087365,0.199039936566946,-13.8088983461327,2.25249951344577e-43,1.27243697514551e-39,"DLX6-AS1","In_VIP"
"DMD",48.5648667854182,-1.02912597906296,0.105199729848825,-9.78259146237206,1.33741527784062e-22,2.51835296817389e-19,"DMD","In_VIP"
"INPP4B",61.4362248145638,-1.22198112636109,0.142980333611357,-8.54649793783969,1.26879697183104e-17,1.43348681877471e-14,"INPP4B","In_VIP"
"RELN",14.2522535906138,-2.64707932716336,0.327807619160238,-8.07510006614405,6.74213325521772e-16,3.80863107587249e-13,"RELN","In_VIP"
"ENSG00000286778",14.3627521048468,-1.44272049247288,0.179644552515799,-8.03097267503284,9.67028918704307e-16,4.96613305614603e-13,"ENSG00000286778","In_VIP"
"PDE3A",21.5160024721159,-1.27870783687625,0.162473062145427,-7.87027597062029,3.53859795946808e-15,1.6657949894196e-12,"PDE3A","In_VIP"
"EPHA7",12.1254941964201,-2.17451533989933,0.276715013601749,-7.85832077412654,3.89317263265816e-15,1.69173324629892e-12,"EPHA7","In_VIP"
"KCTD8",14.2400593398263,-2.02554359101881,0.269008553064853,-7.52966241385822,5.08716736772419e-14,1.91582723068493e-11,"KCTD8","In_VIP"
"CASC6",5.0975167292229,-3.63541102176016,0.486418349470267,-7.4738361036735,7.78901431407246e-14,2.58824363883502e-11,"CASC6","In_VIP"
"IGF1",11.3444229146134,-1.62975510695976,0.217841587831022,-7.48137728514885,7.35476970320232e-14,2.58824363883502e-11,"IGF1","In_VIP"
"CCNH",78.3096361446158,-1.04025431086752,0.142838538398458,-7.28272861463799,3.27134904780649e-13,9.23992538552943e-11,"CCNH","In_VIP"
"FBXO38-DT",6.0282375676325,-2.80897226446852,0.390465919091511,-7.19389869160436,6.29669241486069e-13,1.48208397714783e-10,"FBXO38-DT","In_VIP"
"ARL4C",15.8813807901488,-1.43039743293572,0.199943072276043,-7.15402347604672,8.42706449532349e-13,1.9041794933633e-10,"ARL4C","In_VIP"
"ZNF804A",54.0709434237951,-1.20719948635509,0.170468599438604,-7.08165310403614,1.42444873243286e-12,2.77472789293559e-10,"ZNF804A","In_VIP"
"LINC02398",6.63774005085429,-2.00201899804444,0.293905726301782,-6.81177268383254,9.64033540279501e-12,1.75671789323836e-09,"LINC02398","In_VIP"
"LRFN5",19.5524129267123,-1.15286965716891,0.169993412635746,-6.78184900987443,1.1864744252368e-11,1.97129236122432e-09,"LRFN5","In_VIP"
"UQCRB",12.2964809793604,-1.44256694072964,0.214648617571599,-6.72059739797045,1.80981011293411e-11,2.77052636765207e-09,"UQCRB","In_VIP"
"CCDC7",3.39923363710353,-3.18453565441597,0.495760218853781,-6.42354011739538,1.33141034888412e-10,1.70934933201055e-08,"CCDC7","In_VIP"
"VWC2",15.3252867161569,-1.1027623596405,0.17216518310474,-6.40525767030154,1.50115638882558e-10,1.88445165343905e-08,"VWC2","In_VIP"
"CCK",115.894966080331,-1.56843832872499,0.247358952187778,-6.3407380846857,2.28666999220847e-10,2.63620383387462e-08,"CCK","In_VIP"
"YJEFN3",6.46288137243304,-1.96531862981735,0.311232368459238,-6.31463443068821,2.7080083920697e-10,2.94183450130802e-08,"YJEFN3","In_VIP"
"SCOC",3.08038869490462,-3.22213594216793,0.512220079485037,-6.29053032323005,3.16383238106337e-10,3.37216775860887e-08,"SCOC","In_VIP"
"GRIK1",25.3729763005628,-1.07492512065849,0.171742469580805,-6.2589359712959,3.87612961883047e-10,3.91004575299523e-08,"GRIK1","In_VIP"
"ENSG00000285783",6.07386890501913,-1.91977436196531,0.311232910450182,-6.16828843449896,6.90331350234583e-10,6.39292097946748e-08,"ENSG00000285783","In_VIP"
"SCG5",13.6241463059605,-1.47706983594654,0.241103587209636,-6.1262872653249,8.99533380155692e-10,8.19590978145081e-08,"SCG5","In_VIP"
"GABRA1",19.0302012456935,-1.12374715085967,0.184557766438314,-6.08886405891388,1.13714621454987e-09,9.88267533229573e-08,"GABRA1","In_VIP"
"NDST3",8.73789756721542,-1.83011444234905,0.302506659823849,-6.04983190589831,1.44997044445535e-09,1.22251985682512e-07,"NDST3","In_VIP"
"FXYD6",44.7927119798204,-1.1084109841338,0.183573597539123,-6.03796514854253,1.56069761211166e-09,1.29652658982629e-07,"FXYD6","In_VIP"
"PTPRZ1",9.89485751973638,-1.27178054352354,0.213053303983641,-5.96930683422395,2.38263660675157e-09,1.8296529418277e-07,"PTPRZ1","In_VIP"
"HPSE2",9.13475482747175,-2.25364715676519,0.377377935338716,-5.97185724370034,2.34567747119188e-09,1.8296529418277e-07,"HPSE2","In_VIP"
"PUS7L",11.5380387380817,-1.36748558187016,0.229416390713079,-5.96071439193903,2.51137573154269e-09,1.89156820099796e-07,"PUS7L","In_VIP"
"ZFHX3",5.96965018768382,-1.79070125276274,0.30293199424891,-5.91123184991604,3.39558687418923e-09,2.45918849388397e-07,"ZFHX3","In_VIP"
"XACT",8.46646376972497,-1.98018414655177,0.335807852807967,-5.89677736834864,3.70669437229984e-09,2.65052107710403e-07,"XACT","In_VIP"
"CCDC184",3.09296831698107,-2.97219957586452,0.509562634510613,-5.8328444327929,5.44903678548795e-09,3.70862756641222e-07,"CCDC184","In_VIP"
"LHFPL6",8.39186863205892,-1.4895514012339,0.256143328158157,-5.81530431397445,6.05236783422063e-09,4.07021736851337e-07,"LHFPL6","In_VIP"
"YWHAB",6.05823193851883,-1.96822943145351,0.339204208513239,-5.80249118983644,6.53368280535184e-09,4.29171792644564e-07,"YWHAB","In_VIP"
"SERPINI1",7.76944885876053,-1.58464003901043,0.274433497083725,-5.77422237390718,7.73092820199199e-09,5.01977165667273e-07,"SERPINI1","In_VIP"
"ENSG00000258526",9.36325166094904,-1.36041981495922,0.23598817342754,-5.76477962942045,8.17646070299447e-09,5.24873028536543e-07,"LOC105370460","In_VIP"
"UBA6-DT",10.4230477836539,-1.37484665973291,0.239266981768165,-5.74607766425977,9.13373670889563e-09,5.66771029145007e-07,"UBA6-DT","In_VIP"
"COA3",2.96936238956329,-2.85810707064288,0.501528627470459,-5.6987914828675,1.20659694871414e-08,7.329103401383e-07,"COA3","In_VIP"
"CDH2",19.3226312203582,-1.21647522022676,0.214011216412344,-5.68416572093551,1.31452764614528e-08,7.89975177986668e-07,"CDH2","In_VIP"
"PCDH10",10.6007345330257,-1.31429584056824,0.232152701116638,-5.6613420143146,1.50193743195439e-08,8.93099426643196e-07,"PCDH10","In_VIP"
"CNR1",27.8797136646462,-1.4964288256272,0.26678542583142,-5.60911009648923,2.03369623424584e-08,1.13746039873809e-06,"CNR1","In_VIP"
"TMEM14B",8.20785439845747,-1.58326454644617,0.28320332990613,-5.59055766389102,2.26341502176603e-08,1.2188030418666e-06,"TMEM14B","In_VIP"
"HMGN1",4.05103194918658,-2.09787359522371,0.375373922870389,-5.5887568832214,2.2870087172572e-08,1.2188030418666e-06,"HMGN1","In_VIP"
