"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"APOE",19.2963853450977,-2.03779200088924,0.187651768230745,-10.8594340469176,1.79860419987082e-27,1.55147598280857e-23,"APOE","OPCs"
"NELL1",51.2153430729872,-1.08071261026957,0.104263601673337,-10.3651954557976,3.57027793473307e-25,1.02657391550025e-21,"NELL1","OPCs"
"PTPRT",54.8511765157786,-1.60389839341455,0.155498026925961,-10.3145899991273,6.05391456400957e-25,1.30552667572866e-21,"PTPRT","OPCs"
"KCTD16",35.7179395172155,-1.53972752372056,0.150460209942058,-10.2334532453032,1.40421029498665e-24,2.01878633409247e-21,"KCTD16","OPCs"
"ENSG00000287292",18.6933519586122,-1.45469697302217,0.158608134493801,-9.1716416542244,4.65869401240358e-20,3.65326314099939e-17,"ENSG00000287292","OPCs"
"RBFOX1",181.070559720047,-2.00610099502699,0.221651081293118,-9.05071603225819,1.42033872435185e-19,1.02098681968826e-16,"RBFOX1","OPCs"
"SEMA6D",12.4097970642443,-1.94979498100031,0.236453172433476,-8.24600897054519,1.63772382067452e-16,8.82937854821148e-14,"SEMA6D","OPCs"
"HES5",3.89464950869589,-4.27778984053162,0.533472777561869,-8.01875938277938,1.06818518764257e-15,4.60708271430239e-13,"HES5","OPCs"
"NR2F2-AS1",15.8488531417162,-3.03325070079239,0.378255270265274,-8.0190573383555,1.06559759295585e-15,4.60708271430239e-13,"NR2F2-AS1","OPCs"
"NRXN3",72.6916680095429,-1.42620837534279,0.180434515057732,-7.90429910201195,2.6944534680595e-15,1.0564707097946e-12,"NRXN3","OPCs"
"LINC02223",16.2615943148428,-1.6362268378162,0.213745562268267,-7.65502132747257,1.93280163127278e-14,6.17494328568852e-12,"LINC02223","OPCs"
"GHR",22.057381194664,-1.33259836818186,0.178709565612042,-7.45678253773375,8.86608549083537e-14,2.5492951147982e-11,"GHR","OPCs"
"MEF2C-AS1",19.506262807696,-1.11478842224572,0.151767128180975,-7.3453878689487,2.05163265902746e-13,5.36284342932451e-11,"MEF2C-AS1","OPCs"
"SOX2-OT",183.811288177865,-1.42191353663509,0.1945142875854,-7.31007245938585,2.66998366993204e-13,6.53770780517369e-11,"SOX2-OT","OPCs"
"GALNTL6",8.84424471467024,-2.46079973389238,0.338682260799445,-7.26580638762647,3.70819400061978e-13,8.64510309441791e-11,"GALNTL6","OPCs"
"ENSG00000251294",14.7983155134052,-1.87882317638345,0.261623494332119,-7.18140081868326,6.90007321975529e-13,1.52615465624639e-10,"ENSG00000251294","OPCs"
"FHIP1A",2.54368549733718,-3.89034661092189,0.547858748940264,-7.10100298379296,1.23854703315834e-12,2.53054750419102e-10,"FHIP1A","OPCs"
"ENSG00000226994",29.6507222314345,-1.41242835359064,0.199313870860677,-7.08645287702003,1.37593037596357e-12,2.69744895978677e-10,"ENSG00000226994","OPCs"
"FAT3",18.4275018848304,-1.13801787167615,0.162311217178438,-7.01133225083919,2.36059404635086e-12,4.24218421746302e-10,"FAT3","OPCs"
"RAB27B",7.38785727298396,-1.87938291028056,0.268742141710375,-6.99325717328688,2.68576529503793e-12,4.5426296931367e-10,"RAB27B","OPCs"
"ADGRV1",4.81775556072405,-3.71499881240989,0.532231979751417,-6.98003681429479,2.95102724097895e-12,4.80293603409141e-10,"ADGRV1","OPCs"
"ENSG00000258526",15.0226448380808,-1.21221128441289,0.17495457266092,-6.9287202156315,4.24664722600181e-12,6.78362573546142e-10,"LOC105370460","OPCs"
"CLSTN2",11.4817100823517,-3.35770590772416,0.489059590910089,-6.86563758309251,6.61949319619329e-12,1.00174997035725e-09,"CLSTN2","OPCs"
"NSG2",11.6134966645981,-1.56452662793971,0.231974259922991,-6.74439753987828,1.53663280268781e-11,2.13790234773952e-09,"NSG2","OPCs"
"ENSG00000251600",16.6042009642101,-1.40799930906927,0.209392917553486,-6.7241973869991,1.7656295040597e-11,2.37973751594047e-09,"GUSBP5","OPCs"
"CNTN4",32.5113426871142,-1.89249748419685,0.282521119669587,-6.69860535173494,2.10418000402556e-11,2.79240872534223e-09,"CNTN4","OPCs"
"GRIN2B",21.6145008558757,-1.49907587250383,0.226918864957925,-6.60621968465156,3.94257713732303e-11,5.07592095321619e-09,"GRIN2B","OPCs"
"KHDRBS2",38.2232969577554,-1.91842806588196,0.301805761509252,-6.35649914795663,2.06403586376638e-10,2.25371814694289e-08,"KHDRBS2","OPCs"
"ENSG00000286481",6.71567804012512,-2.04733938874142,0.323495023504689,-6.32881262456806,2.47054894153838e-10,2.64290670325606e-08,"ENSG00000286481","OPCs"
"ROBO2",10.2593385866907,-4.62660237879684,0.738077533180948,-6.26845036029918,3.64658830487008e-10,3.70064361385991e-08,"ROBO2","OPCs"
"DIRC3",11.710999875197,-1.21314792147312,0.195234012918882,-6.21381440321661,5.17136053419031e-10,4.9019951613105e-08,"DIRC3","OPCs"
"LDB2",17.7612491123345,-2.38411042977395,0.38396413039051,-6.20920091506777,5.32547004003174e-10,4.99320701796889e-08,"LDB2","OPCs"
"ENSG00000225689",10.6074173185008,-1.34246681572405,0.218377371429747,-6.14746302208299,7.87320468696143e-10,7.14886985576098e-08,"ENSG00000225689","OPCs"
"ENSG00000289644",5.29113754349569,-3.91813521245402,0.640676782794052,-6.11561916660482,9.61827754610126e-10,8.46604715435403e-08,"ENSG00000289644","OPCs"
"KCNS3",1.79413698881771,-3.33923224793886,0.547799859006619,-6.09571578567804,1.0894883538727e-09,9.39340551025032e-08,"KCNS3","OPCs"
"NCALD",46.0130702803225,-1.38559944502509,0.229715408798262,-6.03180889028621,1.62134453601233e-09,1.30707644557405e-07,"NCALD","OPCs"
