"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"AEBP1",60.0241024652524,2.87715232858844,0.224963197122885,12.7894356294057,1.878329608781e-37,5.36263103306977e-34,"AEBP1","Astrocytes"
"TJP2",40.1214258818282,2.21942197502857,0.179080319555919,12.3934443524127,2.83595851810641e-35,5.39777437946253e-32,"TJP2","Astrocytes"
"SYNM",9.43797691833745,4.22806824775919,0.367507496142295,11.5047129436569,1.24904232551539e-30,1.58489592859841e-27,"SYNM","Astrocytes"
"PLEKHA5",71.5184641215818,2.36605963679907,0.210572308110108,11.2363285468755,2.70395399724765e-29,3.08791546485682e-26,"PLEKHA5","Astrocytes"
"ENSG00000259616",22.793377274312,2.41133407366843,0.225115432039198,10.7115449697316,8.98496702245923e-27,6.41302021228028e-24,"ENSG00000259616","Astrocytes"
"TNFRSF12A",3.97037682350949,3.87803507475796,0.366357984409002,10.5853707024125,3.48398925848193e-26,1.98935786659318e-23,"TNFRSF12A","Astrocytes"
"NAA25",20.4847459212708,1.42397011330571,0.13519772769934,10.5325003425532,6.11872556314609e-26,3.32742123481563e-23,"NAA25","Astrocytes"
"LENG8",33.7645579649395,1.45254751415573,0.142832601428409,10.1695796311865,2.71076013045145e-24,1.28987002873981e-21,"LENG8","Astrocytes"
"NARF",14.7736795542588,1.49559830802988,0.153930361612137,9.71607090613081,2.57527506048804e-22,9.1905128721167e-20,"NARF","Astrocytes"
"ENSG00000290122",9.57428710628382,3.29359084517867,0.339898812375199,9.68991571980847,3.32803183168265e-22,1.15170071266109e-19,"ENSG00000290122","Astrocytes"
"AHNAK2",3.27909694309258,4.16052696517315,0.4471290026006,9.30498120447257,1.34016036343694e-20,4.25128648623608e-18,"AHNAK2","Astrocytes"
"RGS6",12.4696838024153,2.29092667111515,0.253046164484259,9.0533941732899,1.38591927749671e-19,3.95679953725311e-17,"RGS6","Astrocytes"
"YARS1",14.5855675508545,2.14412702243024,0.238900211853617,8.97499004205162,2.83377422750218e-19,7.35493219956249e-17,"YARS1","Astrocytes"
"SEC31A",17.9047639839076,1.22219825272343,0.136521103034228,8.95244929582065,3.47680597107708e-19,8.82336093104451e-17,"SEC31A","Astrocytes"
"CHSY3",7.04790647888943,2.16477404321331,0.242057403645988,8.94322590677426,3.77972008850532e-19,9.3835659588545e-17,"CHSY3","Astrocytes"
"NHS",13.7905761772696,1.69861031359572,0.193499426218287,8.77837390421775,1.65855094535241e-18,3.7881303591849e-16,"NHS","Astrocytes"
"PITPNM2",17.4465026290706,1.20164154401549,0.137008715939242,8.77054817847046,1.7779853636523e-18,3.98129271625672e-16,"PITPNM2","Astrocytes"
