"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"S100A10",7.88781322470433,3.02634782529187,0.361646677316106,8.36824451907413,5.84829387541729e-17,2.0331892688169e-14,"S100A10","Astrocytes_Reactive"
"GBP2",7.62184706994433,6.20793478462975,0.753443528839701,8.23941615662946,1.73053029651902e-16,5.03584316287036e-14,"GBP2","Astrocytes_Reactive"
"YARS1",5.89955507274605,2.25294616099509,0.286748743100119,7.85686499141328,3.93866984940033e-15,9.37761485052679e-13,"YARS1","Astrocytes_Reactive"
"CCL2",7.56711639866254,2.74876006271081,0.356027454443267,7.72064072139927,1.15746384807166e-14,2.5261648484164e-12,"CCL2","Astrocytes_Reactive"
"CPSF4",6.04026360699655,2.27601279583382,0.30388159585081,7.48980137958479,6.89779189420352e-14,1.20435446472794e-11,"CPSF4","Astrocytes_Reactive"
"SPG7",8.62526555658059,1.47384852314141,0.20360447045776,7.23878272332523,4.52729635751961e-13,7.18605403657203e-11,"SPG7","Astrocytes_Reactive"
"PPFIA1",26.0986641557354,1.07577839085209,0.154338695777524,6.97024414669665,3.16391428167423e-12,3.94585309700229e-10,"PPFIA1","Astrocytes_Reactive"
"MAOB",34.5462642302843,1.98867504438878,0.286528648201257,6.94058013700585,3.90492986870403e-12,4.64864151187993e-10,"MAOB","Astrocytes_Reactive"
"SMC5",11.7923189593327,1.2284355817245,0.180111386240891,6.8204215589209,9.0773741930927e-12,9.90568458821241e-10,"SMC5","Astrocytes_Reactive"
"HDAC7",9.80437138074566,1.69252370686878,0.251028688668878,6.74235170427602,1.55843276176842e-11,1.60060211885157e-09,"HDAC7","Astrocytes_Reactive"
"PLCD3",3.78612178273404,2.05506398144452,0.305237747503001,6.73266657959569,1.66581498237134e-11,1.67798824570405e-09,"PLCD3","Astrocytes_Reactive"
"PNPLA6",5.00054277157113,1.91564913408306,0.287954882537374,6.65260167566156,2.87956754979892e-11,2.84588204261259e-09,"PNPLA6","Astrocytes_Reactive"
"MSI1",4.77832602370599,1.8454759112873,0.277878250434863,6.64131110800951,3.10905011084735e-11,2.96094626920335e-09,"MSI1","Astrocytes_Reactive"
"SOD2",9.47612278150974,1.69749679508398,0.257061387549916,6.60346857714819,4.01647461341991e-11,3.7568382187667e-09,"SOD2","Astrocytes_Reactive"
"NEAT1",534.372061715895,1.74279237337295,0.265854354494923,6.55544039022401,5.54779072377735e-11,5.00570314746595e-09,"NEAT1","Astrocytes_Reactive"
"DDR2",13.0945425043815,2.12460750045079,0.334589021840524,6.34990200444606,2.15452130176055e-10,1.68438545949579e-08,"DDR2","Astrocytes_Reactive"
"ARHGEF17",11.1686114353698,1.1062491570898,0.175929981640887,6.28800814262523,3.21565050138018e-10,2.3723348346802e-08,"ARHGEF17","Astrocytes_Reactive"
"SUN1",9.78787054094292,1.18238165310946,0.188362544746187,6.27715905358297,3.44815301228627e-10,2.47416787374733e-08,"SUN1","Astrocytes_Reactive"
"ENSG00000286619",4.4350563386578,1.7949076708545,0.289527564163082,6.19943622999391,5.66657709360074e-10,3.71019135203509e-08,"ENSG00000286619","Astrocytes_Reactive"
"MAMDC2-AS1",2.56669787627306,2.73512722094396,0.441767698447847,6.1913246046595,5.96607009958286e-10,3.81100916848964e-08,"MAMDC2-AS1","Astrocytes_Reactive"
"RABL6",6.23072468228625,1.41511952026391,0.230597802715596,6.13674329763332,8.4230325483951e-10,5.07124649293029e-08,"RABL6","Astrocytes_Reactive"
"SUGP2",11.1517223717914,1.17321641603815,0.192118547778094,6.10673164880086,1.01692002757336e-09,5.91847456047693e-08,"SUGP2","Astrocytes_Reactive"
"SNX19",4.03183588870581,1.68521451514298,0.277421604588145,6.07456119953172,1.24327214721629e-09,6.96467606835614e-08,"SNX19","Astrocytes_Reactive"
"IGFBP7",21.5663725901656,1.90089470081301,0.313878834699152,6.05614170396354,1.39425192108142e-09,7.52896037383964e-08,"IGFBP7","Astrocytes_Reactive"
"MARS1",4.51668101070772,1.77106207402976,0.293560718175836,6.03303495452323,1.60908592281889e-09,8.5135273370963e-08,"MARS1","Astrocytes_Reactive"
"KLF6",6.01907914253326,1.5656950315827,0.260950791979656,5.99996275046664,1.97362798826356e-09,1.01351601985535e-07,"KLF6","Astrocytes_Reactive"
"ATN1",8.30118025929435,1.6356347114044,0.273958574978243,5.97037238762941,2.36712671610489e-09,1.19221247489975e-07,"ATN1","Astrocytes_Reactive"
"GPD2",11.2307949860081,1.38595904688366,0.234158628398599,5.91888949966173,3.24122630134937e-09,1.61690889204457e-07,"GPD2","Astrocytes_Reactive"
"BRD2",6.78200983718375,1.32039698128341,0.223523120071604,5.90720539718858,3.47959813088825e-09,1.71944669901817e-07,"BRD2","Astrocytes_Reactive"
"CTSD",10.8523053493626,1.60943271415335,0.275416452302531,5.84363316242804,5.10744348689129e-09,2.47711009114228e-07,"CTSD","Astrocytes_Reactive"
"BCAT2",8.38684861750769,1.20449552988268,0.206387626251783,5.8360840315749,5.34419504455896e-09,2.56815538012843e-07,"BCAT2","Astrocytes_Reactive"
"PRRC2B",10.6419871420912,1.71133669933381,0.294183909240981,5.81723420478434,5.98292881429767e-09,2.82329559723344e-07,"PRRC2B","Astrocytes_Reactive"
"PLCD1",5.1620006515194,1.74713456783597,0.300533708339241,5.81343962209996,6.12020528207158e-09,2.83764669997787e-07,"PLCD1","Astrocytes_Reactive"
"MTHFD1L",7.85729402648207,1.20982149718774,0.208109143173502,5.8133990594498,6.12168913893661e-09,2.83764669997787e-07,"MTHFD1L","Astrocytes_Reactive"
"BCL2L1",3.88187844431337,1.59111558234394,0.274437317746382,5.79773769620629,6.72154736732911e-09,3.06151870522347e-07,"BCL2L1","Astrocytes_Reactive"
"MATN2",12.7838262682843,1.18085615806519,0.204660263687829,5.76983600424931,7.93487146636788e-09,3.55238091802008e-07,"MATN2","Astrocytes_Reactive"
"ABCA3",3.91282501957021,1.80208127873039,0.313257765945071,5.75271062568449,8.78237433168599e-09,3.80182452474142e-07,"ABCA3","Astrocytes_Reactive"
"RILPL1",3.53772482435746,1.76626128683888,0.308182440280206,5.73121974513851,9.97109889987147e-09,4.21198516431667e-07,"RILPL1","Astrocytes_Reactive"
"ADAMTS9-AS2",24.6503768080395,1.00702436030123,0.176046054233454,5.72023249646835,1.06378387461744e-08,4.35320307441105e-07,"ADAMTS9-AS2","Astrocytes_Reactive"
"AEBP1",47.1051637409314,1.77990140068523,0.311077150361199,5.72173622723028,1.0544092123974e-08,4.35320307441105e-07,"AEBP1","Astrocytes_Reactive"
"M6PR",3.37693916869277,1.88620354391602,0.329711450388892,5.72077051522249,1.06042045172202e-08,4.35320307441105e-07,"M6PR","Astrocytes_Reactive"
"TGFB2",17.907847088544,2.26496710278877,0.398759434785614,5.68003388811726,1.3466805780828e-08,5.26411408059529e-07,"TGFB2","Astrocytes_Reactive"
"EEA1",8.11364160759134,1.10292593764881,0.196365675831925,5.61669412424621,1.94645545522312e-08,7.33491631256023e-07,"EEA1","Astrocytes_Reactive"
