"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"LMNA",6.6308798953549,2.44228757209508,0.294992089011944,8.27916294391271,1.24044107625639e-16,4.18405779856511e-13,"LMNA","COPs"
"NFKBIA",5.9477438201157,2.54810082815496,0.317566850258177,8.0238249870331,1.02502312037497e-15,1.88014865854778e-12,"NFKBIA","COPs"
"NEAT1",97.437914364883,2.33926555044763,0.298440521625726,7.83829735219835,4.5669651499536e-15,5.58463721753493e-12,"NEAT1","COPs"
"ERBIN",101.407779619872,1.26049513447354,0.187018089190677,6.73996371114873,1.58426194349861e-11,8.94133067649948e-09,"ERBIN","COPs"
"MIDN",4.89467592490268,1.91689728189725,0.291077085771743,6.5855313784488,4.53261350478732e-11,2.2170523523083e-08,"MIDN","COPs"
"AZGP1",5.08349689423326,2.62748555596821,0.402692205132538,6.52479864889223,6.8092945465958e-11,3.12248713052334e-08,"AZGP1","COPs"
"SPP1",54.3776376485692,1.0831753845615,0.166821842198417,6.4930069725113,8.41397932736469e-11,3.63137448969851e-08,"SPP1","COPs"
"SPG7",7.90622534743258,1.45383713397105,0.231421883610741,6.28219384998373,3.33828221658645e-10,1.02054069262895e-07,"SPG7","COPs"
"IRAK2",3.5051264699386,2.58424567728747,0.415264641639386,6.22312958571516,4.87334536442978e-10,1.43022939755285e-07,"IRAK2","COPs"
"SLC6A15",5.224011999076,1.89649644845867,0.314432505721864,6.03148979175913,1.62454988953037e-09,3.61191592105586e-07,"SLC6A15","COPs"
"ARHGAP17",4.70001583752709,1.57572664943491,0.26428577535017,5.9622075662117,2.48852750666e-09,5.07175731010122e-07,"ARHGAP17","COPs"
"ADD1",19.9346106779001,1.0857841685862,0.182574347217673,5.94707956037045,2.72968754489394e-09,5.41289662618564e-07,"ADD1","COPs"
"TRIM47",1.63988975509612,3.22823523008543,0.544395955087809,5.92993977988819,3.03045801899093e-09,5.85117644350959e-07,"TRIM47","COPs"
"PHLDA3",4.89745725139027,1.60747022083694,0.273274106018284,5.88226321278091,4.04694073120372e-09,7.61343696021581e-07,"PHLDA3","COPs"
"MRPS25",5.5187166201798,1.59068899085699,0.272641649601695,5.83435800502543,5.39980701063274e-09,9.6630204968323e-07,"MRPS25","COPs"
"ABCA6",4.42441700194257,3.21115497804207,0.551085873335946,5.82695934229569,5.6446356978861e-09,9.86064097985484e-07,"ABCA6","COPs"
"MCAM",5.40579478535685,1.46770857505752,0.254000395711689,5.7783712145216,7.54272461345302e-09,1.28699931369546e-06,"MCAM","COPs"
"ITPKB",25.0931682857646,1.52248973139065,0.264426946374621,5.75769509221537,8.52701948174112e-09,1.39028315416744e-06,"ITPKB","COPs"
"ZNF146",10.3323910184839,1.16387919975896,0.202892731324526,5.73642629857124,9.66950983643063e-09,1.50947220574237e-06,"ZNF146","COPs"
"PAK2",7.09169021594984,1.2606478237329,0.222158174276606,5.67455070171436,1.39053129232215e-08,2.00045648858189e-06,"PAK2","COPs"
"ISG20",1.76164229030224,2.71029796805862,0.479003559980935,5.65820005213844,1.52968770233053e-08,2.15833051384598e-06,"ISG20","COPs"
"TMTC4",15.2827912807317,1.41184273853507,0.253571894484674,5.56782028782926,2.57945652599692e-08,3.39091424367362e-06,"TMTC4","COPs"
