"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"PTMA",20.6140647445749,1.97844593724617,0.217631124555898,9.09082256172418,9.82925704671876e-20,9.41642825075657e-17,"PTMA","Endothelial"
"HSP90AA1",17.6422899758287,2.01344971240044,0.30052353123727,6.69980718019307,2.08694729739693e-11,3.63508274710228e-09,"HSP90AA1","Endothelial"
"CRYAB",14.4643513630451,2.01394760198552,0.309602767047778,6.50494057656381,7.77240979046955e-11,8.75996303443509e-09,"CRYAB","Endothelial"
"ADAMTS1",2.84952478433398,5.21805977582379,0.834500915848673,6.25291078382714,4.02872307012811e-10,3.35610147928933e-08,"ADAMTS1","Endothelial"
"EFHD1",3.50010731208034,2.64069215039231,0.445721863726877,5.92452909604282,3.13193556639632e-09,2.14313876614834e-07,"EFHD1","Endothelial"
"SLC12A2",5.87282387529445,1.6109785485305,0.279886037308589,5.75583749736796,8.62132904306367e-09,5.00559589288182e-07,"SLC12A2","Endothelial"
"CPM",4.45442946541521,2.4663331635368,0.435464643410559,5.66368177269338,1.48159063153126e-08,7.88535458337192e-07,"CPM","Endothelial"
"RALY",2.15645443433434,3.35066128454506,0.598410271146559,5.59927101205193,2.15255058688908e-08,1.0853386643367e-06,"RALY","Endothelial"
"EPN2",5.09634995042421,1.70513843917395,0.320502300426535,5.32020655360257,1.03649506035765e-07,4.2253713524367e-06,"EPN2","Endothelial"
"CSNK1E",2.52692633542392,2.62444590943498,0.497758677695774,5.27252668217473,1.34558266919836e-07,5.2615028452736e-06,"CSNK1E","Endothelial"
"USP34",9.34934315586762,1.09773342246769,0.218317608138018,5.02814881415208,4.95237488802864e-07,1.58145838091048e-05,"USP34","Endothelial"
"SERF2",8.27198045675363,1.78734285959492,0.355137051881744,5.0328256376642,4.83302675291443e-07,1.58145838091048e-05,"SERF2","Endothelial"
"CALD1",12.0935792015745,1.71487877466652,0.341889540829174,5.01588545384417,5.27897744128986e-07,1.63137431895345e-05,"CALD1","Endothelial"
"HSP90AB1",9.75636989118196,1.06967719970756,0.214498767844428,4.98686873802173,6.13657266157697e-07,1.8662973364415e-05,"HSP90AB1","Endothelial"
"HSPA1A",18.53327223846,3.58745974036188,0.721167089008855,4.97451949074984,6.54096832075552e-07,1.95820239102618e-05,"HSPA1A","Endothelial"
"CBR1",1.63965275382881,3.78082124412299,0.770116543765157,4.90941439283757,9.1348765643551e-07,2.46513007004287e-05,"CBR1","Endothelial"
"SAP30BP",2.6708194036416,2.16165550745118,0.444699704159005,4.86093309088028,1.16833740765899e-06,2.90718762736964e-05,"SAP30BP","Endothelial"
"ZBTB38",4.16980359440777,1.59874975521154,0.332306062512426,4.81107609991845,1.50119840995698e-06,3.59537019184696e-05,"ZBTB38","Endothelial"
"LMNA",2.32676661291042,2.56741264010777,0.534441950814381,4.80391300906591,1.55594450833493e-06,3.68048108391325e-05,"LMNA","Endothelial"
