"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"TACC1",16.5951765416598,1.07504127876884,0.136253424013783,7.8900129413268,3.02155201621983e-15,4.31391297858586e-12,"TACC1","Ex_L5_6"
"PURA",12.5971970837648,1.1618528314779,0.173200664903443,6.7081314735461,1.97132286077889e-11,9.8507003353121e-09,"PURA","Ex_L5_6"
"CRY2",6.42041642038904,1.42699330715142,0.22531082383651,6.33344320904386,2.39749579270748e-10,7.26077968252076e-08,"CRY2","Ex_L5_6"
"IPO9",9.29227876674007,1.26263489480409,0.199976646732188,6.31391172637789,2.72069165254902e-10,7.99723305163968e-08,"IPO9","Ex_L5_6"
"DHX57",6.2021610218184,1.53172891982195,0.244095098512101,6.27513182017466,3.4933819632165e-10,9.1875945632594e-08,"DHX57","Ex_L5_6"
"PER1",5.72003888313906,2.26385373592169,0.360748575156736,6.27543361727238,3.48661215489394e-10,9.1875945632594e-08,"PER1","Ex_L5_6"
"RPS15A",6.84062823087884,1.54196766623667,0.247523041852548,6.22959242378428,4.6765020261799e-10,1.13992588413761e-07,"RPS15A","Ex_L5_6"
"RPS29",10.6938364842468,1.14865732598889,0.185186303072767,6.2027121170918,5.54983063378284e-10,1.2805503270821e-07,"RPS29","Ex_L5_6"
"PSMC1",5.24117355301818,1.50988946160969,0.243585396089246,6.1986042096567,5.69660828092872e-10,1.2805503270821e-07,"PSMC1","Ex_L5_6"
"ENSG00000286619",4.28775249276581,2.5049281500808,0.404917848812654,6.18626261456746,6.16073428254941e-10,1.31000805148508e-07,"ENSG00000286619","Ex_L5_6"
"ORC2",8.81369596298849,1.23517991290451,0.199780635750453,6.18268086025804,6.30220416691766e-10,1.31217142592032e-07,"ORC2","Ex_L5_6"
"CTNNA1",10.4428010172304,2.74316033818894,0.449033176485178,6.1090371087079,1.00234022894352e-09,1.9264208169349e-07,"CTNNA1","Ex_L5_6"
"MAMLD1",4.52118582680614,1.68215437057495,0.275215478209273,6.11213577637465,9.83064862687124e-10,1.9264208169349e-07,"MAMLD1","Ex_L5_6"
"RPAP2",12.9778975420239,1.07952236916877,0.178722731702414,6.04020741450089,1.53916244453038e-09,2.79679808557029e-07,"RPAP2","Ex_L5_6"
"SEC61B",3.27232325033904,1.85061778282366,0.307789005226411,6.01261822676979,1.82550604763403e-09,3.25787632858116e-07,"SEC61B","Ex_L5_6"
"PHACTR4",8.06876042022254,1.31477052986188,0.219135758048794,5.99979912711975,1.97561772179445e-09,3.46391640554627e-07,"PHACTR4","Ex_L5_6"
"RAD23A",5.31281241854986,1.55458311969715,0.263743427233767,5.89430089690635,3.76270979285629e-09,5.95983672241157e-07,"RAD23A","Ex_L5_6"
"AMPH",25.4679995896571,1.16497305578732,0.199061915201481,5.8523151181791,4.84777005873018e-09,7.34069908590143e-07,"AMPH","Ex_L5_6"
"YY1AP1",5.57644478403365,1.30182525917323,0.22328371298244,5.83036371880653,5.53066919152476e-09,8.12845704413213e-07,"YY1AP1","Ex_L5_6"
"ENSG00000289156",4.01090627809831,1.54695385435954,0.265885300907179,5.81812476688805,5.95114758533411e-09,8.49653842397558e-07,"PPP3R1-AS1","Ex_L5_6"
"AHR",3.81347184274423,1.6772942876456,0.290795536077004,5.76795060293308,8.02413160295609e-09,1.08369150324247e-06,"AHR","Ex_L5_6"
"FNBP1",10.2053289170173,1.27165110976034,0.221256841748333,5.74739790965093,9.06272840433225e-09,1.20763876897195e-06,"FNBP1","Ex_L5_6"
"MAPT-AS1",1.61364694675136,2.5042592360076,0.440126388114581,5.68986387463695,1.27140685180572e-08,1.62903077909568e-06,"MAPT-AS1","Ex_L5_6"
"TESPA1",5.99062341711714,1.7843598749642,0.316712260265631,5.63400947430209,1.76067341736365e-08,2.22736330799143e-06,"TESPA1","Ex_L5_6"
"NEAT1",12.1589459677437,2.41675172384746,0.430746944205207,5.61060677588028,2.01618425258247e-08,2.51871817753865e-06,"NEAT1","Ex_L5_6"
"ENSG00000289611",3.00844575106269,1.79582252581841,0.32264561382382,5.56592883608519,2.6075965335559e-08,3.17808777516557e-06,"ENSG00000289611","Ex_L5_6"
"CYB5B",5.23999132982769,1.25361367945243,0.225462613350825,5.56018428430873,2.69489940126516e-08,3.24491862846313e-06,"CYB5B","Ex_L5_6"
"ZIM2",1.97183439311245,2.78828212250108,0.502558768971526,5.54817126802349,2.88673029715592e-08,3.39411559879721e-06,"ZIM2","Ex_L5_6"
"RPGR",2.53859831255722,1.95103144049084,0.352216184951927,5.53930092893695,3.0368142655268e-08,3.52906067089243e-06,"RPGR","Ex_L5_6"
"ENSG00000224905",14.9687270164117,1.36502709967811,0.247974560838491,5.5047061886609,3.69784448868847e-08,4.06112723296182e-06,"LOC105377134","Ex_L5_6"
"RPS6KA5",12.0403418351832,1.35395089706893,0.246134241331837,5.50086363336799,3.77935435752339e-08,4.10552907055312e-06,"RPS6KA5","Ex_L5_6"
"RPS2",8.56942087859571,1.08616173713647,0.199808435813298,5.43601541504178,5.44852432418778e-08,5.44525520959327e-06,"RPS2","Ex_L5_6"
"ARG2",2.56447920426606,1.87824089262943,0.346325317517462,5.42334272900718,5.84946822763759e-08,5.71542144292109e-06,"ARG2","Ex_L5_6"
"ZNF821",5.9933316978198,1.23147656056675,0.227806465722002,5.40580161613826,6.45191777905315e-08,6.14099678893878e-06,"ZNF821","Ex_L5_6"
"MTFMT",6.3222830265907,1.13997803830283,0.21192839894784,5.37907162967528,7.48709175710465e-08,6.86477018536733e-06,"MTFMT","Ex_L5_6"
"CRLF3",8.08852829891362,1.1500217043429,0.213744673845059,5.38035256577452,7.43401010612844e-08,6.86477018536733e-06,"CRLF3","Ex_L5_6"
