"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"LINC-PINT",29.2919857118789,1.96162140505283,0.204018837820077,9.61490333938071,6.91742911137264e-22,3.4898429866875e-19,"LINC-PINT","Ex_L6b"
"ENSG00000286863",11.2146453283219,3.27576463113604,0.356290979718647,9.19407118788924,3.78248117396041e-20,1.27217450150868e-17,"ENSG00000286863","Ex_L6b"
"LRRC49",9.18413733672636,3.18355104567664,0.37808003811523,8.42030978823158,3.75490091997689e-17,9.47173757064172e-15,"LRRC49","Ex_L6b"
"FOXN3",9.84129332868212,2.57986714017361,0.337204882136352,7.65074077169031,1.99824810255716e-14,3.0329859218312e-12,"FOXN3","Ex_L6b"
"NEAT1",7.76447893765609,2.69519673712425,0.371557522813596,7.25378056327602,4.05296558119441e-13,4.54382474602796e-11,"NEAT1","Ex_L6b"
"COL4A2",8.98242248923668,2.58138129128363,0.362966833584556,7.11189302281603,1.1446197157404e-12,1.04992844834733e-10,"COL4A2","Ex_L6b"
"SIK3",19.5380566370268,1.61720775488759,0.230880821209642,7.00451317876744,2.47846094264002e-12,2.08397257593648e-10,"SIK3","Ex_L6b"
"DENND2A",8.82564078263766,2.37998268868556,0.344101826432784,6.91650699259063,4.62915578829792e-12,3.58979667470412e-10,"DENND2A","Ex_L6b"
"LDLRAD4",13.178464201137,2.08119771591731,0.301355568584614,6.90611998873004,4.98088735836053e-12,3.58979667470412e-10,"LDLRAD4","Ex_L6b"
"SYN3",12.9621635771337,2.34625612486034,0.369271588282091,6.35374125525198,2.10140191408434e-10,1.41354302087406e-08,"SYN3","Ex_L6b"
"TIAM1",24.3123147877431,1.44767733854204,0.229175677121105,6.31688910763874,2.66880939523079e-10,1.68301792486742e-08,"TIAM1","Ex_L6b"
"UBE2H",5.60955720143851,2.83380347537158,0.450600600523055,6.28894740060735,3.19625735826487e-10,1.89707274969956e-08,"UBE2H","Ex_L6b"
"PSME4",4.97143431887811,3.3013773153863,0.529485460107791,6.23506699261244,4.5158479341052e-10,2.39815292921692e-08,"PSME4","Ex_L6b"
"GNPTAB",7.6104674903666,2.31043474860521,0.375928774539906,6.14593748891109,7.94925879983348e-10,4.01040106451599e-08,"GNPTAB","Ex_L6b"
"FTX",39.1133269710932,1.04023317024862,0.17165126882908,6.06015427293124,1.35991052235609e-09,6.53404627170142e-08,"FTX","Ex_L6b"
"HPSE2",6.82230526767224,2.54748025355743,0.420934557928065,6.05196272336656,1.43091585936799e-09,6.56270046410139e-08,"HPSE2","Ex_L6b"
"FAM135A",12.6111713380555,1.87993535110924,0.313212910755636,6.00210044526529,1.94781135245014e-09,8.18892356092579e-08,"FAM135A","Ex_L6b"
"MEG8",18.7977857614389,1.43138898680468,0.241384481060359,5.92991306034607,3.03095119001749e-09,1.22329190029106e-07,"MEG8","Ex_L6b"
"TENM4",32.6831860256065,1.09246078701287,0.186249369477927,5.86558112961742,4.47562358391615e-09,1.67255710969311e-07,"TENM4","Ex_L6b"
"ARHGAP29",6.64260655559886,2.43847900314086,0.418698577309703,5.82394862387402,5.74732506701131e-09,2.07108964021943e-07,"ARHGAP29","Ex_L6b"
"STXBP5L",25.1103405358435,1.37048017582192,0.23597479779474,5.80773959181021,6.33219007396377e-09,2.12972659487648e-07,"STXBP5L","Ex_L6b"
"OSBP2",6.58450560843065,2.28878191768806,0.393993549547498,5.80918626793949,6.27772143328339e-09,2.12972659487648e-07,"OSBP2","Ex_L6b"
"MAGI1",30.6593751712367,1.13171353712374,0.195570929041683,5.7867165773014,7.17755290115979e-09,2.33617770234523e-07,"MAGI1","Ex_L6b"
"NMNAT2",9.81947379056376,1.89313992328739,0.330194416372772,5.73340986223746,9.84313868943464e-09,3.00961422352714e-07,"NMNAT2","Ex_L6b"
"DENND4A",7.08743396377053,2.19369394578051,0.383712772338333,5.71702091752697,1.08407776769305e-08,3.21716019883025e-07,"DENND4A","Ex_L6b"
"SAMD4A",9.40101520839062,1.87669907791754,0.329514856917071,5.69533979583156,1.23126452462024e-08,3.45096084817172e-07,"SAMD4A","Ex_L6b"
"RTF1",8.09677640289873,2.14090759446355,0.377443692057875,5.67212445064594,1.41037455841566e-08,3.74491560379316e-07,"RTF1","Ex_L6b"
"RPS27",7.070144231901,2.25756979986388,0.398412636933343,5.66641112902649,1.4581940668527e-08,3.77260977808813e-07,"RPS27","Ex_L6b"
"ARFGEF3",10.4848709987788,1.75342363356148,0.310284473472548,5.65101957548196,1.59498924284862e-08,4.02336036508565e-07,"ARFGEF3","Ex_L6b"
"LHFPL3",36.7429535096894,1.17365467780048,0.210678158627947,5.57084173055229,2.53511545737567e-08,6.23885730851721e-07,"LHFPL3","Ex_L6b"
"CELF5",10.0635466268279,1.94841116676452,0.353452082343459,5.5125185678527,3.53734858823189e-08,8.49805887029995e-07,"CELF5","Ex_L6b"
"MACF1",19.3160872368363,1.28346718330595,0.239491155025982,5.35914231641127,8.36179675806391e-08,1.87490065086366e-06,"MACF1","Ex_L6b"
"OGA",11.8046288409803,1.856745005083,0.346274983628461,5.36205354954319,8.22811382373223e-08,1.87490065086366e-06,"OGA","Ex_L6b"
"PTPRG",19.0018164339781,1.30318391467894,0.24390996161513,5.34288926146959,9.14766521658309e-08,2.00652047902877e-06,"PTPRG","Ex_L6b"
"ASH1L",8.59191160426444,1.88806986127627,0.359901626624214,5.24607204192405,1.55376166343335e-07,3.26613649667551e-06,"ASH1L","Ex_L6b"
"TTC3",22.9232718021771,1.25540902321631,0.241682218094188,5.19446169071096,2.05313044422275e-07,4.22777269024644e-06,"TTC3","Ex_L6b"
"LINC01619",7.0116360331672,1.97859972254297,0.387731099700593,5.10302042851566,3.34274902504758e-07,6.74566753254601e-06,"LINC01619","Ex_L6b"
"GAD1",10.0424528408672,1.90002217771192,0.384008861152557,4.94786024470693,7.50337492254247e-07,1.42847269751799e-05,"GAD1","Ex_L6b"
"SVIL",10.4101273085688,1.55929857778413,0.319905357531942,4.87424965250366,1.09222795356464e-06,1.93343509674864e-05,"SVIL","Ex_L6b"
"LINC00632",25.3638866070053,1.08417577991527,0.223359488745986,4.85394995306529,1.21026291477759e-06,2.10544013967343e-05,"LINC00632","Ex_L6b"
"KCNH1",21.6226737320961,1.19773502841014,0.248067390352145,4.82826471754265,1.37727932521389e-06,2.29580096547502e-05,"KCNH1","Ex_L6b"
"CSMD2",23.5791025814712,1.27681784274855,0.266833459266658,4.78507397931896,1.70924364544136e-06,2.73750291785768e-05,"CSMD2","Ex_L6b"
"LRRC8B",10.6608185470207,1.50152531588405,0.316238890318174,4.74807293427237,2.05363984469296e-06,3.23769156764874e-05,"LRRC8B","Ex_L6b"
"ENAH",9.85889002370526,1.53764745202453,0.326159211593416,4.71440755731693,2.42415026968109e-06,3.70601154864882e-05,"ENAH","Ex_L6b"
