"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"CTNNA1",5.99982175459884,3.57910018458601,0.422821124786683,8.46480928877831,2.56572176051389e-17,4.08334618185785e-14,"CTNNA1","In_LAMP5"
"LRRC49",7.94633758449975,2.12973821082594,0.282424415259625,7.54091394282653,4.66689027944065e-14,3.7136779398649e-11,"LRRC49","In_LAMP5"
"HERC4",9.42324320618427,1.6776618237933,0.231645746590806,7.24235971730072,4.4094443987505e-13,2.33921025353714e-10,"HERC4","In_LAMP5"
"KIF1B",20.6454884753881,1.09960751829503,0.157668777402261,6.97416150751009,3.07700435643703e-12,1.22426310831738e-09,"KIF1B","In_LAMP5"
"PURA",4.729957340673,2.02600776424691,0.300406330057063,6.74422461025393,1.53846388683968e-11,5.44103394645633e-09,"PURA","In_LAMP5"
"RAP1GAP",5.19430531901507,1.95583947231418,0.303547693860385,6.4432690871101,1.16927115072676e-10,3.38344552069389e-08,"RAP1GAP","In_LAMP5"
"LINGO3",1.39309607395303,4.43470507888896,0.696813134485148,6.36426734717854,1.9622410021648e-10,4.80447162299274e-08,"LINGO3","In_LAMP5"
"LINC-PINT",26.0595752043468,1.2073949024898,0.190529711291387,6.33704262871248,2.34217206371753e-10,4.84306202877982e-08,"LINC-PINT","In_LAMP5"
"LONRF1",3.01461836005649,2.54429049303735,0.401872872640719,6.33108295247384,2.43446410494744e-10,4.84306202877982e-08,"LONRF1","In_LAMP5"
"NEAT1",7.14834133253929,2.13778620029887,0.341696776989279,6.25638385920728,3.94006273083066e-10,7.37718804249057e-08,"NEAT1","In_LAMP5"
"LINC01619",3.22169064243285,2.54700351608931,0.412464894686951,6.17507950106256,6.61301858671917e-10,1.16940212008484e-07,"LINC01619","In_LAMP5"
"RFX3",12.6688885427174,1.28681529601107,0.21960450049078,5.85969455605531,4.6371931043228e-09,7.43407221043133e-07,"RFX3","In_LAMP5"
"DGKI",24.2944068110342,1.25607743595666,0.220208010393683,5.7040497015121,1.16993939132519e-08,1.48956683303524e-06,"DGKI","In_LAMP5"
"TSPYL2",11.0904127918685,1.19264388317028,0.209963951093106,5.68023166339358,1.34512427777618e-08,1.53667783613249e-06,"TSPYL2","In_LAMP5"
"SIPA1L1",19.1972815786952,1.23438108179085,0.221440803961232,5.57431629451163,2.48503879516926e-08,2.39693287424963e-06,"SIPA1L1","In_LAMP5"
"SPG7",5.82341627188145,1.58240199553074,0.288101630771379,5.49251314993923,3.9625403635992e-08,3.50354610481563e-06,"SPG7","In_LAMP5"
"ACYP2",7.1104220461272,1.36056162269425,0.253504203786356,5.3670179917051,8.004907438756e-08,6.50214439817137e-06,"ACYP2","In_LAMP5"
"CCPG1",8.11871714520819,1.3806873950879,0.257431989807922,5.36330933897561,8.17108941020593e-08,6.50214439817137e-06,"CCPG1","In_LAMP5"
"GOLGA4",9.92513241797446,1.14136883586353,0.213352395897301,5.34968839259223,8.81058017857428e-08,6.84001870936632e-06,"GOLGA4","In_LAMP5"
"TRIT1",3.2740957880044,2.4971398541351,0.467963259548793,5.33618783778628,9.49210693586315e-08,7.19366104210771e-06,"TRIT1","In_LAMP5"
"ZNF451",5.98385462159072,1.42299456915533,0.269421026932968,5.28167599000863,1.28007436521178e-07,9.26017432833884e-06,"ZNF451","In_LAMP5"
"RFX2",1.66774449720205,3.39458263858104,0.642353575322987,5.28460145469602,1.25978717118987e-07,9.26017432833884e-06,"RFX2","In_LAMP5"
"FOXN3",21.9353343433956,1.56288711537429,0.297868193367881,5.24690836474794,1.54672780957726e-07,1.07026839519226e-05,"FOXN3","In_LAMP5"
"ERCC1",2.46110813221268,2.47688930652666,0.47993512832846,5.16088354514345,2.45787046411583e-07,1.50450032447706e-05,"ERCC1","In_LAMP5"
"GOLGB1",6.76850486732063,1.34501504263281,0.261797916591774,5.13760789292342,2.78257715068877e-07,1.67112133408346e-05,"GOLGB1","In_LAMP5"
"CAMK2A",8.9568998653232,1.97417087089672,0.385201480966117,5.12503447791877,2.97483304292488e-07,1.75349881030183e-05,"CAMK2A","In_LAMP5"
"OGA",12.444759469437,1.0995742852229,0.21582096331827,5.09484467271774,3.49027297124872e-07,1.94904190657626e-05,"OGA","In_LAMP5"
"RTF1",7.94859086347474,1.51309912408561,0.297940576222687,5.07852654132846,3.80373300702664e-07,2.08746244161479e-05,"RTF1","In_LAMP5"
