"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"STAT1",6.97502209125256,2.5962108374007,0.302443363429695,8.58412235586783,9.15325111716188e-18,2.49609157965004e-14,"STAT1","In_LAMP5_PAX6"
"NEAT1",8.39698889766147,2.24818432170056,0.297644566657807,7.55325167512711,4.2452352104831e-14,2.89418910474685e-11,"NEAT1","In_LAMP5_PAX6"
"FAM135B",10.4695460839713,1.62194099880218,0.215992260653509,7.50925516448978,5.94647199446741e-14,3.24320582578252e-11,"FAM135B","In_LAMP5_PAX6"
"TCF25",10.7113207260249,1.71344605825464,0.243863634368643,7.02624670829133,2.12163188856747e-12,5.25971832738499e-10,"TCF25","In_LAMP5_PAX6"
"NEMF",11.5716651289051,1.37694037968599,0.203360091920043,6.7709468789352,1.2794224845633e-11,2.32599007693607e-09,"NEMF","In_LAMP5_PAX6"
"ENSG00000289084",3.12637458227557,3.30587615563987,0.492378232851016,6.71409890826786,1.89231924662588e-11,2.86686365863821e-09,"ENSG00000289084","In_LAMP5_PAX6"
"DISP3",4.26252922334641,2.37069416432174,0.354444012880463,6.68848697726842,2.25489708157831e-11,3.07455217073203e-09,"DISP3","In_LAMP5_PAX6"
"GALNT17",14.961637958698,1.30866935754797,0.196507004818747,6.65965754633048,2.74466349939645e-11,3.56414160135911e-09,"GALNT17","In_LAMP5_PAX6"
"PER1",4.26046085495709,2.76461993002569,0.417979944213616,6.61424063115522,3.73463825935365e-11,4.42798197098147e-09,"PER1","In_LAMP5_PAX6"
"DGKD",15.7345921728001,1.15870515929296,0.180383239549948,6.4235743973991,1.33111041026158e-10,1.3444215143642e-08,"DGKD","In_LAMP5_PAX6"
"MYO9A",19.2353035892061,1.03406189527799,0.161757027294623,6.39268607103266,1.62996689274907e-10,1.58747132733096e-08,"MYO9A","In_LAMP5_PAX6"
"ASH1L",15.1257284081991,1.16185617560135,0.185513239709402,6.26292860510305,3.77813627991745e-10,3.21968051104215e-08,"ASH1L","In_LAMP5_PAX6"
"PPFIBP1",12.3322863871588,1.26522183682088,0.208207751277337,6.07672783101904,1.22659687323578e-09,8.80244650872096e-08,"PPFIBP1","In_LAMP5_PAX6"
"LINC01619",4.1151560246709,2.8187990791172,0.473185755360012,5.95706664282949,2.56805541399288e-09,1.66067815396922e-07,"LINC01619","In_LAMP5_PAX6"
"TPST1",12.6544465850757,1.11468808054115,0.187911603218273,5.93198110947067,2.99301067179044e-09,1.81376446710501e-07,"TPST1","In_LAMP5_PAX6"
"ROCK2",6.96634098854442,1.59512110229141,0.26920135690131,5.92538284595716,3.1157064502421e-09,1.84707206300222e-07,"ROCK2","In_LAMP5_PAX6"
"ARHGAP44",12.6927605952628,1.18553160109156,0.200723153419681,5.90630219231758,3.49871936721943e-09,2.03000164136327e-07,"ARHGAP44","In_LAMP5_PAX6"
"NKTR",18.2643032776959,1.06582893953519,0.182812948269926,5.83016109975688,5.53738904933082e-09,2.96087449755395e-07,"NKTR","In_LAMP5_PAX6"
"CCPG1",13.1024250929122,1.08204970385043,0.185979838811275,5.81810217046402,5.95195194296334e-09,3.12134095162712e-07,"CCPG1","In_LAMP5_PAX6"
"OGA",20.19634435041,1.53912649896597,0.267086243162613,5.76265733772327,8.27997933814855e-09,4.2602837085153e-07,"OGA","In_LAMP5_PAX6"
"RFX2",4.40138662670199,4.24109022087378,0.738054670998365,5.74630903038235,9.12125390902493e-09,4.52248352907472e-07,"RFX2","In_LAMP5_PAX6"
"CWF19L2",8.27142475564257,1.67434564032689,0.294843564562719,5.67875932042165,1.35675223941504e-08,6.37907475324968e-07,"CWF19L2","In_LAMP5_PAX6"
"CELF5",13.0116451956089,1.05739866572169,0.187764922593151,5.63150268494433,1.78646194440302e-08,7.986363479323e-07,"CELF5","In_LAMP5_PAX6"
"DYNC2I1",8.40810476287263,1.74651742527392,0.311493744832568,5.60691010412648,2.0597057062171e-08,8.77627728258444e-07,"DYNC2I1","In_LAMP5_PAX6"
"GLYR1",5.25934927165889,1.70083167431086,0.304371414838617,5.58801382584719,2.29681362091524e-08,9.63601652959362e-07,"GLYR1","In_LAMP5_PAX6"
"TOX2",12.6768165601721,1.05201847277984,0.190363443049004,5.52636817200785,3.26927702951054e-08,1.33064454619033e-06,"TOX2","In_LAMP5_PAX6"
"FBXO21",7.79778864938233,1.38328209135617,0.251042798262782,5.51014448902137,3.58539263270489e-08,1.43784789843915e-06,"FBXO21","In_LAMP5_PAX6"
"KCNB1",5.94471153682634,1.5604172794798,0.285093833768844,5.47334629743342,4.41615924684584e-08,1.69617834734487e-06,"KCNB1","In_LAMP5_PAX6"
"ZIM2",6.52789245402243,2.32780750038561,0.425629112534477,5.46909840476913,4.52330575728568e-08,1.71320205557195e-06,"ZIM2","In_LAMP5_PAX6"
"HMBOX1",7.66683955476563,1.38457543738134,0.253944830477068,5.45226864740752,4.97312498334517e-08,1.85776874377839e-06,"HMBOX1","In_LAMP5_PAX6"
"XIST",5.925093665536,6.5584926024594,1.20834457611562,5.42766751479328,5.70952717964312e-08,2.10403792147119e-06,"XIST","In_LAMP5_PAX6"
"ZDHHC14",12.4822078791975,1.08135435196828,0.199841031158823,5.41107271964023,6.2648323165044e-08,2.277893030281e-06,"ZDHHC14","In_LAMP5_PAX6"
"KIF1B",24.3460464564645,1.34196946136378,0.249118011955521,5.38688250933609,7.16902635359056e-08,2.57235985082125e-06,"KIF1B","In_LAMP5_PAX6"
"KHDRBS1",5.74832297658291,1.48409960755925,0.276804334300848,5.3615475758636,8.25119843975291e-08,2.88474591605208e-06,"KHDRBS1","In_LAMP5_PAX6"
"TRIP12",11.3265967808681,1.05828749446173,0.198230370326187,5.33867485956023,9.36283791130044e-08,3.16203491026045e-06,"TRIP12","In_LAMP5_PAX6"
"SYN3",23.1758353988371,1.34076623254549,0.251168838697948,5.33810738424391,9.39218290176371e-08,3.16203491026045e-06,"SYN3","In_LAMP5_PAX6"
"KDM6A",6.78923136574469,1.50401960074267,0.282435609378055,5.32517696353741,1.00854802925634e-07,3.30491646273878e-06,"KDM6A","In_LAMP5_PAX6"
"LINC01505",6.50466628960531,1.37536361483649,0.260040668140344,5.28903276811383,1.22964863012598e-07,3.85431243029144e-06,"LINC01505","In_LAMP5_PAX6"
"PPAT",3.02973314944813,2.49616089119156,0.475983091505435,5.24422177119092,1.56943337090819e-07,4.78145899241498e-06,"PPAT","In_LAMP5_PAX6"
"TMEM259",7.83701273849596,1.51400141025626,0.288754494976529,5.24321330609701,1.57803927142409e-07,4.78145899241498e-06,"TMEM259","In_LAMP5_PAX6"
"SPG7",9.03776375983018,1.26112358557145,0.240738972947812,5.23855182286934,1.61841532679456e-07,4.84991054524041e-06,"SPG7","In_LAMP5_PAX6"
"GAPVD1",7.31316621527039,1.36874365415324,0.263610434984556,5.19229693708229,2.07715368140718e-07,5.85143077554013e-06,"GAPVD1","In_LAMP5_PAX6"
"AKAP8L",6.26904454456882,1.42503261886925,0.275274981056372,5.17676039210199,2.25771868073923e-07,6.28244779834272e-06,"AKAP8L","In_LAMP5_PAX6"
"ST8SIA5",7.83388032227912,1.34297815766704,0.259617077576668,5.17291917081395,2.30464727262736e-07,6.34825566914627e-06,"ST8SIA5","In_LAMP5_PAX6"
"ARHGEF7",17.5652131597205,1.13122900622982,0.219637053145184,5.15044702171475,2.59866331329398e-07,7.08655485535269e-06,"ARHGEF7","In_LAMP5_PAX6"
"CHD5",13.1045251470177,1.2687792796933,0.246500882659475,5.14715917446037,2.64460909935847e-07,7.14044456826787e-06,"CHD5","In_LAMP5_PAX6"
"SIK3",31.4046641392015,1.718448149231,0.334492059334657,5.13748563313938,2.78438747104524e-07,7.44414179758861e-06,"SIK3","In_LAMP5_PAX6"
"ENSG00000286619",5.19751635407567,2.33782163589559,0.456318612983536,5.12322217279341,3.00358085872843e-07,7.80072857309756e-06,"ENSG00000286619","In_LAMP5_PAX6"
"CTNNA1",4.24742801536631,2.00489821640574,0.39160458288986,5.11970059596984,3.06021108239408e-07,7.87282605819684e-06,"CTNNA1","In_LAMP5_PAX6"
"SNX9",7.54273954040198,1.81937376133363,0.357551919395257,5.08841838805064,3.61062101681745e-07,9.03317753473504e-06,"SNX9","In_LAMP5_PAX6"
"SIPA1L1",50.5802311054584,1.13377470978413,0.223390002750517,5.0753153490505,3.8685387415754e-07,9.50405869214064e-06,"SIPA1L1","In_LAMP5_PAX6"
"LMNA",2.84027375588104,2.61573226621507,0.51866602142597,5.0431918771614,4.57829738831392e-07,1.10486875910903e-05,"LMNA","In_LAMP5_PAX6"
"FOXP1",11.9115265939161,1.00312497210404,0.199083888855145,5.03870492922667,4.68692407350764e-07,1.12116157442591e-05,"FOXP1","In_LAMP5_PAX6"
"GAB2",7.42956722534154,1.29182546953813,0.258789298890825,4.99180404705648,5.98179262033101e-07,1.394217818431e-05,"GAB2","In_LAMP5_PAX6"
"RIN2",5.27283478223448,1.51141375622717,0.303246864005732,4.98410349990825,6.22497538045651e-07,1.42651326575671e-05,"RIN2","In_LAMP5_PAX6"
