"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"COL4A2",9.18477226185442,2.77558042878257,0.280714409646253,9.88755950319851,4.71379111136706e-23,5.43146580807269e-20,"COL4A2","In_PVALB"
"ZIM2",4.40959868984459,4.06099761397985,0.521092210246272,7.79324183729515,6.53114464396357e-15,2.15014611885915e-12,"ZIM2","In_PVALB"
"LINC-PINT",52.0628715807221,1.6198224193558,0.213252697266216,7.59578865881202,3.05923465614447e-14,7.83334029453881e-12,"LINC-PINT","In_PVALB"
"RAPGEF2",22.265549393087,1.59668041656337,0.2134871515118,7.47904688997226,7.48635612077357e-14,1.81603238740239e-11,"RAPGEF2","In_PVALB"
"SLC8A3",10.7793480323414,2.09139762420776,0.287384330644838,7.27735440382237,3.40430089112667e-13,7.13201036691037e-11,"SLC8A3","In_PVALB"
"CTNNA1",6.71115888175002,2.34646771117386,0.326330483915687,7.19046435079632,6.45713357498203e-13,1.19585280528865e-10,"CTNNA1","In_PVALB"
"LINGO3",2.72159626343089,4.79140925170482,0.666413461560834,7.18984463561504,6.48650903280892e-13,1.19585280528865e-10,"LINGO3","In_PVALB"
"PPP1R13B",8.29263995007948,1.90883058555463,0.269194831802985,7.090888680031,1.33253503439355e-12,2.36217460519995e-10,"PPP1R13B","In_PVALB"
"ENSG00000226526",3.54266178993978,3.44944137525561,0.487669309087871,7.07332061086106,1.51269438030999e-12,2.58222533290694e-10,"ENSG00000226526","In_PVALB"
"PITPNC1",16.351601079215,1.54027994909698,0.219342209214385,7.02226878544619,2.18294066305122e-12,3.4693701779321e-10,"PITPNC1","In_PVALB"
"DIP2C",16.0360420786697,1.32975314807377,0.189643758042084,7.01184769697867,2.35191153465872e-12,3.61332008774735e-10,"DIP2C","In_PVALB"
"FOXN3",19.2885382308125,2.87261814743508,0.413102269052142,6.95376995635068,3.55651391178024e-12,4.82116841746915e-10,"FOXN3","In_PVALB"
"LRRC8B",12.7435635070088,1.96321233736757,0.283697842410665,6.92008201643542,4.51382237963406e-12,5.94405924220954e-10,"LRRC8B","In_PVALB"
"CAMK2A",16.8771006875257,2.88686043855326,0.418310048927699,6.90124572898375,5.15484741130938e-12,6.5996365885347e-10,"CAMK2A","In_PVALB"
"RPS27",17.2723827344869,1.37782764285987,0.201274425290592,6.8455177098164,7.61997914252346e-12,9.49202266699747e-10,"RPS27","In_PVALB"
"PLXNA2",2.8941380852136,3.49488838714881,0.527207855238002,6.6290521896171,3.37849126528161e-11,3.70749196230546e-09,"PLXNA2","In_PVALB"
"ETV6",9.31121140005608,1.76018981843486,0.268490011137079,6.55588567701381,5.53125952585231e-11,5.92873840805891e-09,"ETV6","In_PVALB"
"ENSG00000286736",4.07912572109012,2.99860903092518,0.45810262435433,6.54571458775543,5.92115685631111e-11,6.20241180698588e-09,"ENSG00000286736","In_PVALB"
"FILIP1",4.14783900775495,3.07077661345024,0.469685599633554,6.5379407327924,6.23716295640536e-11,6.38824090357162e-09,"FILIP1","In_PVALB"
"HOMER1",12.270332345475,1.4947590197347,0.231614380839961,6.45365375981354,1.09185112332594e-10,1.09398735378462e-08,"HOMER1","In_PVALB"
"AGPAT4",9.15284601577244,1.86101689593932,0.28927835988888,6.4333083769356,1.24855974359371e-10,1.22438550174966e-08,"AGPAT4","In_PVALB"
"TMEM67",4.02689746462911,2.95726155567673,0.460250870730222,6.42532528180731,1.31587826694125e-10,1.26351727756921e-08,"TMEM67","In_PVALB"
"CFAP210",1.82450509570373,4.62234105841634,0.723494922540843,6.38890600943423,1.67076707667892e-10,1.57154397069656e-08,"CFAP210","In_PVALB"
"COL12A1",5.61362274232998,2.78609842788392,0.439020312222395,6.34617203422826,2.2073838760145e-10,1.91959099708507e-08,"COL12A1","In_PVALB"
"MACF1",34.7256463759963,1.24333054397777,0.197948263155289,6.28108842259646,3.36210841833414e-10,2.81744685456401e-08,"MACF1","In_PVALB"
"RFX3",17.9170274791374,1.74912842620944,0.279478458527797,6.25854470295596,3.88586515636526e-10,3.19820580458705e-08,"RFX3","In_PVALB"
"ATXN1",35.9379968885083,1.31216601029848,0.210329664604854,6.23861599724246,4.41459205916716e-10,3.56962364924586e-08,"ATXN1","In_PVALB"
"RNF213",3.01509071031558,3.25422420723049,0.523090549806377,6.22114891663605,4.93527457811638e-10,3.92184147078248e-08,"RNF213","In_PVALB"
"MAPK10-AS1",11.9831087707971,2.32317337252724,0.373823094017672,6.21463309705903,5.14447126920835e-10,4.01879119996293e-08,"MAPK10-AS1","In_PVALB"
