"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"HOMER1",19.8927875209816,3.1741914120541,0.22181584285277,14.3100302089827,1.89431026784301e-46,3.38229098323369e-43,"HOMER1","In_SST"
"CAMK2A",27.2691313610324,2.43489059339214,0.176467310340468,13.7979696562178,2.62131888114263e-43,3.1202432415201e-40,"CAMK2A","In_SST"
"SAMD4A",24.1175169700854,2.77843635613321,0.205474177010045,13.5220707368857,1.1586777643335e-41,1.03440957410873e-38,"SAMD4A","In_SST"
"FOXN3",19.7196305086319,3.02620607388877,0.224809611714114,13.4611952345576,2.64601110971278e-41,1.88978113455687e-38,"FOXN3","In_SST"
"SIK3",32.078074617962,2.07642533824496,0.157662354772663,13.1700769104902,1.30464700690297e-39,7.76482410275087e-37,"SIK3","In_SST"
"MAP4K5",17.3241396111276,2.55788942917946,0.222314365718466,11.5057316287815,1.23438104717375e-30,4.89774968828606e-28,"MAP4K5","In_SST"
"LINC-PINT",61.0707130183568,1.21015431840337,0.110215854912368,10.9798569304348,4.77679722114155e-28,1.42149523972471e-25,"LINC-PINT","In_SST"
"LINC00632",39.6489901335014,1.44568518428698,0.144557433265744,10.0007668345171,1.51221476984879e-23,3.37507433945626e-21,"LINC00632","In_SST"
"SIK2",15.0296539073276,2.21803505902773,0.225115568114576,9.85287280486452,6.66122421797698e-23,1.39924892249387e-20,"SIK2","In_SST"
"ARFGEF3",26.3031242850319,1.72632902570987,0.183321572821742,9.41694422068108,4.6440674962673e-21,8.29198251458527e-19,"ARFGEF3","In_SST"
"LINC00513",15.5123006522551,2.54171304250303,0.278389684487,9.13005468283335,6.84647038545394e-20,1.08157963761331e-17,"LINC00513","In_SST"
"KIF1B",28.9393180716423,1.39577201138196,0.173028030788552,8.0667392735207,7.22005070473253e-16,8.05712533331245e-14,"KIF1B","In_SST"
"LINGO3",2.63068931573905,5.34745745805596,0.673976069577331,7.93419484672431,2.1186525622112e-15,2.22520832342829e-13,"LINGO3","In_SST"
"TET3",8.40599638363655,2.30621267283883,0.291318565845379,7.91646308619713,2.44362242825802e-15,2.49319305465983e-13,"TET3","In_SST"
"RFX3",19.23194341819,1.59131295455282,0.204550636988824,7.77955511641727,7.27800323926498e-15,7.02425663984196e-13,"RFX3","In_SST"
"PAM",87.672565347961,1.09196951860795,0.14058096856347,7.76754869287261,8.00195818408789e-15,7.51973491457312e-13,"PAM","In_SST"
"IPO9-AS1",6.01826773152989,2.94813182673358,0.384053602238718,7.67635509613341,1.63679010238241e-14,1.49871216810451e-12,"IPO9-AS1","In_SST"
"MACF1",40.3538496716716,1.03980090588703,0.140086637181685,7.42255597540306,1.1488141121105e-13,1.00058907179185e-11,"MACF1","In_SST"
"SMCR5",8.14793268680935,2.30797154791991,0.311085873880589,7.41908180892143,1.17935053369271e-13,1.00272875138493e-11,"SMCR5","In_SST"
"BACH2",23.1668947147908,1.31567158002371,0.177534806066843,7.41078106976021,1.25557711732653e-13,1.04271299673792e-11,"BACH2","In_SST"
"ENSG00000286736",5.84697137130111,2.81397153553535,0.38835918889964,7.24579620095595,4.2990613915095e-13,3.26637196363413e-11,"ENSG00000286736","In_SST"
"LRRC49",11.9087268352543,1.70379993681808,0.2353625891771,7.23904314094728,4.51861293210329e-13,3.36165974594601e-11,"LRRC49","In_SST"
"C1orf112",2.68563681259639,4.83286276015916,0.673857708149223,7.17193363185355,7.39457909266121e-13,5.28120838797863e-11,"C1orf112","In_SST"
"MAP1B",28.405136025591,1.12019592423457,0.156775910926593,7.14520437236738,8.98620895928265e-13,6.29210827325458e-11,"MAP1B","In_SST"
"ARIH1",8.55481375738172,2.03912059924376,0.287934176702626,7.08189844844203,1.4219284688388e-12,9.76482031196797e-11,"ARIH1","In_SST"
"TRIT1",5.85000704721764,2.51127483737686,0.360531274334429,6.96548404022059,3.27276524968741e-12,2.1642675382655e-10,"TRIT1","In_SST"
"EGR1",1.92701788875691,4.89849615324141,0.710190934524597,6.89743548545923,5.29496761468177e-12,3.32421444780013e-10,"EGR1","In_SST"
"HLCS",9.92384925260119,1.73530635065748,0.251598051716788,6.89713747311059,5.30608298864765e-12,3.32421444780013e-10,"HLCS","In_SST"
"MAPK10-AS1",11.0400906810732,1.73881884696222,0.26051139629845,6.67463639467876,2.47845879743422e-11,1.36162713317502e-09,"MAPK10-AS1","In_SST"
"KCNMB2-AS1",12.2009444230693,1.5055488505077,0.225924438394655,6.66394862461823,2.66566681929529e-11,1.44228730480356e-09,"KCNMB2-AS1","In_SST"
