"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"RTF1",13.9353676582229,1.35166815351262,0.164226684536175,8.23050259664034,1.86429563468075e-16,1.17015622670129e-13,"RTF1","In_VIP"
"CTNNA1",10.4725767565903,2.23932051768635,0.310407253265508,7.2141372153148,5.4277004267019e-13,1.35828671214706e-10,"CTNNA1","In_VIP"
"CPSF4",6.64797551328881,2.092369789579,0.2929601528191,7.14216513558081,9.18721291881579e-13,1.99609868378425e-10,"CPSF4","In_VIP"
"ERCC1",3.51492858037348,2.58595760602475,0.364877795340926,7.0871882012128,1.36864204626852e-12,2.77472789293559e-10,"ERCC1","In_VIP"
"SRGAP3",19.062040530542,1.13074192914414,0.166560445492999,6.78877824682372,1.13087104708291e-11,1.93584561968828e-09,"SRGAP3","In_VIP"
"EPHA1-AS1",1.36166869398065,4.30596443956572,0.638272156152817,6.74628275424061,1.5168089489915e-11,2.44812964367228e-09,"EPHA1-AS1","In_VIP"
"ENSG00000286619",3.76991755930998,3.52045409611972,0.523860850464211,6.72020841603286,1.81464817849401e-11,2.77052636765207e-09,"ENSG00000286619","In_VIP"
"RAP1GAP",11.3680782093804,1.50063924999174,0.224049637578248,6.69779815853374,2.11583226518665e-11,3.06470165795881e-09,"RAP1GAP","In_VIP"
"FAM135B",8.36039731885419,1.65888354501518,0.249588568831764,6.64647244374945,3.00200621402289e-11,4.23958327575383e-09,"FAM135B","In_VIP"
"SPG7",11.0754769169082,1.29747459318343,0.197862446232378,6.55745755644618,5.4732881341445e-11,7.5411230901908e-09,"SPG7","In_VIP"
"DNAH17",1.94766141904202,4.29226347931403,0.667503205727106,6.43032639017591,1.2733023541896e-10,1.67276395321326e-08,"DNAH17","In_VIP"
"ZIM2",4.99891818695846,2.51106471841164,0.392576928600955,6.39636345253512,1.59120996424738e-10,1.9540750191377e-08,"ZIM2","In_VIP"
"TRIM33",12.6913122371185,1.07732642619004,0.169304382386164,6.36325186038468,1.97526392662421e-10,2.32463873364586e-08,"TRIM33","In_VIP"
"GULP1",8.22145591181371,1.71984829609296,0.277536530110861,6.19683576574937,5.76095577176635e-10,5.61097226805312e-08,"GULP1","In_VIP"
"ZNF451",10.2586433624193,1.20027224551682,0.194417058104021,6.17369821980652,6.67108196502614e-10,6.35658096222631e-08,"ZNF451","In_VIP"
"CACNA1E",18.9961317509298,1.20351687019526,0.19748862393309,6.09410732743277,1.1004981017209e-09,9.71361527597085e-08,"CACNA1E","In_VIP"
"ENSG00000236540",1.10090858285605,4.45211164119233,0.74416554915065,5.98268980104458,2.19482519396594e-09,1.79689384358168e-07,"ENSG00000236540","In_VIP"
"UNC13B",1.68161107485556,3.17983537738996,0.532783816721095,5.96834077461209,2.3967838147504e-09,1.8296529418277e-07,"UNC13B","In_VIP"
"OGA",20.859956310246,1.00097540692319,0.167662185765324,5.97019180177131,2.36974833346428e-09,1.8296529418277e-07,"OGA","In_VIP"
"RAB11FIP3",7.45630716018766,1.78519912156235,0.298681362680459,5.9769351041572,2.27374721837314e-09,1.8296529418277e-07,"RAB11FIP3","In_VIP"
"SRSF10",8.25099187214569,1.36214954740281,0.230126761754506,5.91912708029988,3.23654817904767e-09,2.40569219255793e-07,"SRSF10","In_VIP"
"GIT1",4.84726120473825,1.61380191784257,0.273943464305476,5.89100353948585,3.83857332112334e-09,2.71051258637822e-07,"GIT1","In_VIP"
"PPP1R13B",9.63150352046754,1.09827658224049,0.186944033367032,5.87489508201752,4.23111235160756e-09,2.95080909558408e-07,"PPP1R13B","In_VIP"
"MAPK8IP3",12.2471686271225,1.02197762704186,0.176095469078541,5.8035430007915,6.49280915196975e-09,4.29171792644564e-07,"MAPK8IP3","In_VIP"
"CEACAM19",2.05437546308582,2.65930992479575,0.461539811326298,5.76182131971206,8.32110651991676e-09,5.28156525067526e-07,"CEACAM19","In_VIP"
"RASA3",2.18670511448518,2.829037134557,0.500084455680886,5.65711871748773,1.53935290527841e-08,9.05812975199763e-07,"RASA3","In_VIP"
"CPT1B",2.60123106768522,2.75714943913857,0.487621567793226,5.65428115006539,1.56499860897482e-08,9.11410014649354e-07,"CPT1B","In_VIP"
"ANKRD44",8.10923847471338,1.14727195126486,0.20304938534127,5.65021139727467,1.60250641372845e-08,9.23730482770614e-07,"ANKRD44","In_VIP"
"IRF9",1.99634357506186,2.68691533759074,0.478403911120508,5.61641590951358,1.94959062183087e-08,1.10132374227226e-06,"IRF9","In_VIP"
"TFAP2E",3.59747071369529,1.9024675131354,0.34025773562694,5.59125425798189,2.2543518162503e-08,1.2188030418666e-06,"TFAP2E","In_VIP"
"PHEX",1.58299259229384,4.15198265109781,0.742717281786576,5.59025991843139,2.26729969145139e-08,1.2188030418666e-06,"PHEX","In_VIP"
"GTF2IRD1",7.15224771534592,1.2479541765998,0.22532315973648,5.53850823883045,3.05058898863374e-08,1.56661610879927e-06,"GTF2IRD1","In_VIP"
"DSCAML1",8.01973797649938,1.18953250515368,0.218907472061499,5.43395112990703,5.51196827534681e-08,2.68423351615811e-06,"DSCAML1","In_VIP"
"IL6R",1.54418494963483,2.85392778144215,0.527285561144838,5.41248991390116,6.21543568208648e-08,2.95050387967282e-06,"IL6R","In_VIP"
"CAMKK1",4.13525171155817,1.5983507410576,0.296414081536591,5.39229017991271,6.95653070615337e-08,3.24772247595541e-06,"CAMKK1","In_VIP"
"DPF1",3.65305970583323,1.95167768795884,0.365017687710376,5.34680305549304,8.95213322634933e-08,4.14513119636454e-06,"DPF1","In_VIP"
"TCF25",15.1301522543603,1.21648101077523,0.230927504686697,5.26780477027042,1.38064823309897e-07,6.0931889599813e-06,"TCF25","In_VIP"
"GAS7",11.7414266575296,1.1704275004663,0.223655318356751,5.23317535690953,1.66622526928903e-07,7.1851195009265e-06,"GAS7","In_VIP"
"TMEM67",4.10416550378949,2.2924792906053,0.443822119502564,5.165311033111,2.40039427157856e-07,1.00443164741832e-05,"TMEM67","In_VIP"
"VPS53",7.64390764174544,1.07876636753407,0.20984007074127,5.14089784531277,2.73428694178928e-07,1.10328478101197e-05,"VPS53","In_VIP"
"LINGO3",2.2191972155691,3.53203651058708,0.686972227963719,5.14145458406161,2.7261955641167e-07,1.10328478101197e-05,"LINGO3","In_VIP"
"BRSK2",5.10103629329837,1.36616168730464,0.266823195448362,5.12010091554813,3.0537220041916e-07,1.22343798593464e-05,"BRSK2","In_VIP"
"STAT1",5.64134389845444,2.30359249439031,0.4527750042473,5.08772010994696,3.62393670145447e-07,1.4088520826198e-05,"STAT1","In_VIP"
"EIF4E3",4.68929087217578,1.35007623382015,0.265980699702877,5.07584285374203,3.85782041052036e-07,1.48250527204282e-05,"EIF4E3","In_VIP"
"MLLT6",2.73049271700967,2.01038363181229,0.397597131285315,5.05633334253019,4.27394022049299e-07,1.60956588703766e-05,"MLLT6","In_VIP"
"SHISA8",8.12703631173836,1.14502930026266,0.227490842357809,5.03329843256595,4.82111704088453e-07,1.7570638815456e-05,"SHISA8","In_VIP"
"ENSG00000286736",2.66738182721837,3.10677296026188,0.61742618790687,5.03181274314606,4.85863717068129e-07,1.75938726776786e-05,"ENSG00000286736","In_VIP"
"DAPK1",8.63014069739874,1.10556219170472,0.220176035093502,5.02126487669386,5.13323132079293e-07,1.83529264121261e-05,"DAPK1","In_VIP"
"USP54",7.44421608533924,1.12558021458424,0.224424383454446,5.01540963267349,5.2920593622797e-07,1.880178826259e-05,"USP54","In_VIP"
"RGL1",12.1292542062825,1.08491393375652,0.216849169874743,5.00308087129498,5.64212572204669e-07,1.99202301274011e-05,"RGL1","In_VIP"
"SLC22A3",7.72517300878966,1.10792967935494,0.221719624664235,4.99698518357477,5.82335408471732e-07,2.04323771581169e-05,"SLC22A3","In_VIP"
"ARAP3",0.936076543402368,3.7144707720606,0.743626343707327,4.99507690050653,5.88123274574788e-07,2.05080764078579e-05,"ARAP3","In_VIP"
"TEF",6.05588111299403,2.17437912759532,0.435558662403294,4.99216136719148,5.97073371971755e-07,2.06924385169843e-05,"TEF","In_VIP"
"JAM3",6.41270672605576,1.32681380451451,0.266936058593055,4.97053043904139,6.67699775647979e-07,2.28596123190026e-05,"JAM3","In_VIP"
"UBR4",4.37531855270632,1.39144707623532,0.281758396174772,4.93844050479413,7.87497960306644e-07,2.63229347797173e-05,"UBR4","In_VIP"
"AATK",7.115037112756,1.15724563399083,0.23508186576962,4.92273459801843,8.53431604801576e-07,2.81931879270415e-05,"AATK","In_VIP"
"ENSG00000287621",2.46811250160098,2.04649903150884,0.416815181259336,4.9098476339698,9.11471848201837e-07,2.95914050028286e-05,"ENSG00000287621","In_VIP"
"NAA25",8.6235570789613,1.11604493005791,0.228337619524704,4.88769626477237,1.02022768597171e-06,3.20181455447455e-05,"NAA25","In_VIP"
"TGFB1",2.30021986924543,2.36897138358908,0.48836317274612,4.85083953048321,1.2293998361306e-06,3.71383939802234e-05,"TGFB1","In_VIP"
"FBXL18",2.32134985690139,2.13076760341383,0.440236560989389,4.84005144557994,1.29805521579446e-06,3.90037974150154e-05,"FBXL18","In_VIP"
"ZNFX1",2.39412197793121,1.99155150326048,0.412716075505559,4.82547596630667,1.39669307743326e-06,4.17456042032829e-05,"ZNFX1","In_VIP"
"MTRR",2.51114931485979,1.87878773348782,0.389981235559278,4.8176362403525,1.45268897485582e-06,4.31907369418975e-05,"MTRR","In_VIP"
"OSBPL5",4.25077703923629,1.40020433938291,0.292072678797019,4.79402710705443,1.6346617180641e-06,4.78456168152544e-05,"OSBPL5","In_VIP"
"LMNA",2.63043644841149,2.02840709998555,0.424656396001446,4.77658436110932,1.78297772435289e-06,5.08688947720682e-05,"LMNA","In_VIP"
"NIM1K",6.56963272918056,1.47706297720137,0.309329001451102,4.77505494238262,1.79658197652888e-06,5.09400281436141e-05,"NIM1K","In_VIP"
"CDK17",5.67013326240492,1.24674025571286,0.261198914192283,4.7731448638223,1.81371233002031e-06,5.09400281436141e-05,"CDK17","In_VIP"
"RNF213",2.50400073332113,1.95705590690013,0.410497879833537,4.76751769751829,1.86509616561998e-06,5.19011243329422e-05,"RNF213","In_VIP"
"SLFNL1",1.99303170831989,2.47450267087063,0.520659419063804,4.75263210511014,2.00785495462133e-06,5.55998658757642e-05,"SLFNL1","In_VIP"
"LINC01619",8.31912357696471,1.56449254711931,0.33014866050733,4.73875176326688,2.15038738876792e-06,5.89686328114077e-05,"LINC01619","In_VIP"
"ENSG00000226526",2.02596996929112,3.07205865050963,0.652304350950542,4.70954799861906,2.4826674510037e-06,6.49286501422218e-05,"ENSG00000226526","In_VIP"
"SRRT",2.04162690902742,2.0533864684345,0.4375995904827,4.69238663173675,2.70036179764361e-06,6.96545378762044e-05,"SRRT","In_VIP"
"TAF1",5.91384220981311,1.25278344591564,0.267577464385907,4.68194677302436,2.84163274127666e-06,7.25069159365671e-05,"TAF1","In_VIP"
"SPEN",6.00701205402093,1.32684722649772,0.28408429041715,4.67061105191481,3.00305079323404e-06,7.48542321617916e-05,"SPEN","In_VIP"
"DHDDS",1.61253341505037,2.30084199148911,0.492656513313281,4.67027620525135,3.0079502037045e-06,7.48542321617916e-05,"DHDDS","In_VIP"
"FANCI",1.32955996407381,2.79447052373047,0.598005068647519,4.67298802341358,2.96849083118374e-06,7.48542321617916e-05,"FANCI","In_VIP"
"KCNH3",1.70137909795912,2.26179740117776,0.485014922000875,4.66335631870246,3.11093414093055e-06,7.70774866759504e-05,"KCNH3","In_VIP"
"LYRM4",5.23053884580142,1.32763713985284,0.284958371745999,4.6590564499584,3.17662088834565e-06,7.83612724815046e-05,"LYRM4","In_VIP"
"ENSG00000254363",1.09369226794668,3.58886044632704,0.770800581393877,4.65601678690631,3.22385659798549e-06,7.91807214000871e-05,"ENSG00000254363","In_VIP"
"DGCR5",4.95716591738624,1.30469356052586,0.280845809281869,4.64558671486677,3.3911129080698e-06,8.11711729562979e-05,"DGCR5","In_VIP"
"NPIPB13",2.93702096530321,1.76216044625218,0.379995975633561,4.63731344342309,3.52966943572252e-06,8.37777421949433e-05,"NPIPB13","In_VIP"
"AMBRA1",7.1561069574361,1.25476037924637,0.271525372190241,4.62115333504538,3.81612584260289e-06,8.85036622173016e-05,"AMBRA1","In_VIP"
"ITPR2",2.74338968636288,1.62176598577632,0.351603238570347,4.61248875968998,3.9787606717393e-06,9.09960284803857e-05,"ITPR2","In_VIP"
"HRH3",9.82470174973236,1.48220207623926,0.323115961614148,4.58721404177873,4.4920008118382e-06,0.000100205013253072,"HRH3","In_VIP"
"SYN3",20.131154811039,1.01833611618205,0.224191048495377,4.54226929672909,5.56518855456905e-06,0.000120451149979926,"SYN3","In_VIP"
"GPATCH2",5.73439708849799,1.55454554273374,0.342962036988635,4.53270442519926,5.82332738434841e-06,0.000125557161809863,"GPATCH2","In_VIP"
"CEP95",2.86530410756112,1.62930295304979,0.360577161397721,4.51859720325616,6.22506933088363e-06,0.000132028314590239,"CEP95","In_VIP"
