"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"FKBP5",25.5264351521925,2.11244824783312,0.219428967468294,9.62702542059927,6.14835132114305e-22,6.62945981202249e-19,"FKBP5","OPCs"
"CACNG5",11.8958819485251,1.85694532248058,0.193347079762652,9.60420671861254,7.67466140885993e-22,7.35573659031397e-19,"CACNG5","OPCs"
"LPL",9.58616746561472,2.38272669453451,0.270949349883528,8.79399303064861,1.44336533058873e-18,8.89319238689886e-16,"LPL","OPCs"
"UBALD2",5.00834458727868,3.33238030370776,0.413302292350478,8.06281592283527,7.45567496280963e-16,3.57292512384422e-13,"UBALD2","OPCs"
"CSPG4",24.5109836573364,1.75129126073091,0.221891121434361,7.89257023629479,2.96025627812032e-15,1.11022481108982e-12,"CSPG4","OPCs"
"DOCK5",29.2133420033083,2.43946975916433,0.31149916244113,7.83138464979134,4.82525932817897e-15,1.73427862353633e-12,"DOCK5","OPCs"
"TLE1",10.1477106272119,1.46068528259354,0.192399465303966,7.59194044685028,3.15149866285599e-14,9.70886695206991e-12,"TLE1","OPCs"
"ALK",66.218983097549,2.31667699911105,0.330120646786747,7.01766769713011,2.256023106153e-12,4.18210623174316e-10,"ALK","OPCs"
"ANKRD10",16.6062694335829,1.1137842995196,0.158743058357716,7.01627089110108,2.27868065026581e-12,4.18210623174316e-10,"ANKRD10","OPCs"
"PYGL",9.13302438674962,1.2690934068986,0.18122245448299,7.00295893529972,2.50612306719405e-12,4.32356351552317e-10,"PYGL","OPCs"
"CBFB",16.5907766141145,1.08235577824401,0.154923136903811,6.98640499976463,2.82019211788631e-12,4.67826484786295e-10,"CBFB","OPCs"
"GNA12",12.6742581181612,1.13754610616382,0.164384319945069,6.9200402236901,4.51515423675883e-12,7.08140371750576e-10,"GNA12","OPCs"
"CIT",13.3442003120075,1.15984373540977,0.171374533917952,6.76788848899256,1.30675406606875e-11,1.84787878260804e-09,"CIT","OPCs"
"LINC02930",44.0265799807528,1.4859043683473,0.220694604251748,6.73285318136877,1.66367918844085e-11,2.27792010785568e-09,"LINC02930","OPCs"
"GFAP",12.9894119818589,2.05655931616072,0.309662524114636,6.64129223269972,3.10944835108704e-11,4.06395476916316e-09,"GFAP","OPCs"
"SAMD4B",9.74173641606615,1.16762758613477,0.177415070399598,6.58133259764734,4.66250268152071e-11,5.8288040769272e-09,"SAMD4B","OPCs"
"LMNA",5.96851960038888,2.22484205451571,0.34247955870361,6.49627692507377,8.23320463297794e-11,9.72871550192709e-09,"LMNA","OPCs"
"ITPKB",4.4471620197019,1.7697166193578,0.272892669011359,6.48502807264542,8.87152652610866e-11,1.03413226775964e-08,"ITPKB","OPCs"
"PIEZO1",7.29290098271793,1.51083927580981,0.23360516691413,6.46749083407549,9.96435828878328e-11,1.14603406132059e-08,"PIEZO1","OPCs"
"GADD45B",4.05896040499924,4.11176560690428,0.6372167254044,6.45269567319472,1.09877871396853e-10,1.24711384035428e-08,"GADD45B","OPCs"
"LARP7",7.64246421431996,1.36188314969698,0.212531805405878,6.40790279410724,1.47534917684159e-10,1.65277428564098e-08,"LARP7","OPCs"
"KCTD3",11.6040021170539,1.17691910843622,0.184057215834619,6.39431115536225,1.61272725218053e-10,1.78351093298837e-08,"KCTD3","OPCs"
"BCL6",16.8992713856036,1.27615848783358,0.201664879300668,6.32811470325937,2.48174638260771e-10,2.64290670325606e-08,"BCL6","OPCs"
"SAMHD1",10.038103763897,1.58860766192069,0.252337804390105,6.29555950112319,3.06293039051195e-10,3.22205335958001e-08,"SAMHD1","OPCs"
"SORBS1",37.6896306602615,1.11511783647199,0.177548605365019,6.28063416313205,3.37194751476888e-10,3.50438786293932e-08,"SORBS1","OPCs"
"BEST3",16.18425463,1.18843099818261,0.189281030876963,6.27865873656995,3.415062491072e-10,3.50694393428418e-08,"BEST3","OPCs"
"CLASRP",8.52636539166808,1.22527877303217,0.195590093084359,6.26452369703458,3.73966690935959e-10,3.75097287908556e-08,"CLASRP","OPCs"
"ZNF197",8.69831105266817,1.37689758685113,0.220073338891405,6.25653972347174,3.93612882495975e-10,3.90264910851757e-08,"ZNF197","OPCs"
"ZFAND6",15.9646508104825,1.00158561646031,0.160284133474461,6.24881324650828,4.1358307181749e-10,4.05405406533826e-08,"ZFAND6","OPCs"
"CEBPD",8.41448223181418,1.69417931241755,0.276525838571565,6.12665825793743,8.97439398576627e-10,8.06386692929374e-08,"CEBPD","OPCs"
"STAT3",10.6124473385713,1.55495823303659,0.25515374864379,6.0942010113573,1.0998538795911e-09,9.39340551025032e-08,"STAT3","OPCs"
"WIPI2",6.05735187019349,1.45029044424361,0.23901061156289,6.06789144113797,1.29600454745794e-09,1.07493607945886e-07,"WIPI2","OPCs"
"IL6R",3.57471350673793,3.43306435008812,0.567822650411432,6.04601515561346,1.48472135977837e-09,1.21312430426863e-07,"IL6R","OPCs"
"LIFR",29.5285864794658,1.1601166632855,0.191901901397753,6.04536304661694,1.49073934908966e-09,1.21312430426863e-07,"LIFR","OPCs"
"NEAT1",29.3882554071204,1.78838990838479,0.299028039101631,5.98067630633451,2.22213063960376e-09,1.71143740153768e-07,"NEAT1","OPCs"
"FBXW5",6.35205436012258,1.54435880991427,0.258748840746279,5.9685632038391,2.39351927537589e-09,1.76465788627285e-07,"FBXW5","OPCs"
"MT1X",18.8814620929672,1.59570467470995,0.267294113467585,5.96984592742801,2.37477738947961e-09,1.76465788627285e-07,"MT1X","OPCs"
"RC3H2",6.43460831210828,1.2814077782959,0.216470028412063,5.91956211072634,3.2279991712595e-09,2.30121659927971e-07,"RC3H2","OPCs"
"UPF2",11.475066942733,1.31281440340819,0.224878573659663,5.83788122649263,5.28688230674688e-09,3.48127074641211e-07,"UPF2","OPCs"
"MIR4458HG",8.00554878881592,1.36327308368636,0.233788633433217,5.8312205502317,5.50233999498782e-09,3.56866051103496e-07,"MIR4458HG","OPCs"
"OSMR-DT",5.47055906517057,1.4161752947679,0.243442870838444,5.81727979911853,5.98129770040134e-09,3.79372602673985e-07,"OSMR-DT","OPCs"
"SFMBT1",10.6015085199946,1.1046892266618,0.192155529462642,5.74893280329238,8.98084992108159e-09,5.53348652994641e-07,"SFMBT1","OPCs"
"MGLL",16.4176810531422,1.47970702220906,0.257357662713532,5.74961322933734,8.94478326247399e-09,5.53348652994641e-07,"MGLL","OPCs"
"IFI16",10.4879239605268,1.15469215831553,0.201552446050377,5.72899104398326,1.01029727956002e-08,6.13720023484842e-07,"IFI16","OPCs"
"HMGA1",4.30851605755164,2.14407527333314,0.376507068880311,5.69464812363118,1.23626617924541e-08,7.30413154943213e-07,"HMGA1","OPCs"
"SPP1",11.1612270594771,1.49399140012175,0.262581281824495,5.68963404299437,1.27311918969984e-08,7.47069804785771e-07,"SPP1","OPCs"
"CENPV",8.23390637180412,1.18082405914287,0.207766930539034,5.68340715280977,1.32037420550208e-08,7.69564047071686e-07,"CENPV","OPCs"
"ZFPM2",136.281723414851,1.12814200732529,0.198882005491745,5.67241870140995,1.40795342895326e-08,8.09667085210057e-07,"ZFPM2","OPCs"
"TMED10",16.3627964834571,1.14394330010839,0.204492925145213,5.59404829920673,2.21835199066899e-08,1.2188219281217e-06,"TMED10","OPCs"
"PTPN7",6.95726806149335,3.68017939344582,0.659002838459641,5.58446668006454,2.34418453533076e-08,1.2638084876102e-06,"PTPN7","OPCs"
"NMT1",20.9898116186027,1.10381561212862,0.197760962091034,5.58156473581732,2.38364300517386e-08,1.27709966227514e-06,"NMT1","OPCs"
"MIEN1",4.27619099661506,1.54002693487704,0.276923747302575,5.56119491332162,2.6793374458607e-08,1.4179119514107e-06,"MIEN1","OPCs"
"ARFGAP1",8.44494718122468,1.11175362548341,0.201775160956863,5.50986365324269,3.59111757149573e-08,1.84386786736442e-06,"ARFGAP1","OPCs"
"PRMT3",9.49208460260105,1.18047387914692,0.214838592949864,5.49470122168599,3.91372447083293e-08,1.97425656639794e-06,"PRMT3","OPCs"
"PRRC2B",13.4828022379913,1.13809677934406,0.208190301732642,5.46661765640556,4.58703996008159e-08,2.2610175254665e-06,"PRRC2B","OPCs"
"DENND4B",5.22315473467366,1.29645733137733,0.237794199521119,5.45201411131218,4.9802502990453e-08,2.42237305388327e-06,"DENND4B","OPCs"
"COPS2",5.47793080908485,1.47584044000868,0.270728906410001,5.45135892424292,4.99863672143777e-08,2.42237305388327e-06,"COPS2","OPCs"
"ATOX1",5.8915172830125,1.27465081735979,0.234596220376178,5.43338172846891,5.52959391721965e-08,2.63526392983075e-06,"ATOX1","OPCs"
"HAGH",7.68690615753209,1.19294879354874,0.219609378442242,5.43213956530775,5.56823443641274e-08,2.63909836530199e-06,"HAGH","OPCs"
"TRIM47",4.11847180684249,1.80498131256366,0.333940540448427,5.40509789599032,6.47730058267404e-08,3.00393520570679e-06,"TRIM47","OPCs"
"FADS3",7.89190650787428,1.11977007645583,0.207382974286878,5.39952751814057,6.68166350137794e-08,3.06574624270671e-06,"FADS3","OPCs"
"KYAT3",7.58063004005357,1.1103352240589,0.206222037690465,5.3841734690135,7.27782909611319e-08,3.30413440963539e-06,"KYAT3","OPCs"
"CRISPLD2",12.5996680482181,2.21553160159318,0.411627787002367,5.38236647658688,7.35129043148136e-08,3.32001210795593e-06,"CRISPLD2","OPCs"
"RNF157",15.6196615477259,1.12240146326479,0.208590069435892,5.38089596642927,7.41160200364121e-08,3.32981660851089e-06,"RNF157","OPCs"
"PITPNM2",5.52688818700723,1.384023331386,0.258804432053513,5.34775745687318,8.90506884843283e-08,3.86005647671264e-06,"PITPNM2","OPCs"
"DNAJB1",8.31438344417017,1.53926850032945,0.292345355672611,5.26524013623542,1.40006230273653e-07,5.92006736441436e-06,"DNAJB1","OPCs"
"PLPP4",51.441784506292,1.12432198320034,0.216859134136655,5.18457286881834,2.1651048327883e-07,8.76816633222155e-06,"PLPP4","OPCs"
"UBE2J2",6.15645913720622,1.28380192438317,0.248131712302162,5.17387282936177,2.29290914165758e-07,9.0313398428942e-06,"UBE2J2","OPCs"
"CASC3",5.60298981743832,1.25058665913442,0.24227844687286,5.16177429431306,2.44620124383139e-07,9.54793299967855e-06,"CASC3","OPCs"
"MYO9B",13.9857056949316,1.59302330832077,0.308798313065919,5.15878241854486,2.48560960621397e-07,9.65804885729806e-06,"MYO9B","OPCs"
"FADS1",5.46520576325507,1.29234087599663,0.250760587704477,5.15368418867987,2.55417956100985e-07,9.87997887590624e-06,"FADS1","OPCs"
