"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"EHBP1",8.80298427924398,-2.60258589810443,0.283455517306796,-9.18163782039755,4.24583748983534e-20,8.13502463052451e-17,"EHBP1","Vascular"
"PTMA",20.6140647445749,1.97844593724617,0.217631124555898,9.09082256172418,9.82925704671876e-20,9.41642825075657e-17,"PTMA","Vascular"
"MAPK10",9.16325291629185,-2.29604619724452,0.258969753424589,-8.86607863227982,7.57669785304933e-19,4.83898436214751e-16,"MAPK10","Vascular"
"LRMDA",4.76546391727879,-3.99908745538736,0.486079606669995,-8.22722739343883,1.91596527150664e-16,9.1774736505168e-14,"LRMDA","Vascular"
"THRB",2.34626867982415,-4.36895994701863,0.555031115798736,-7.871558589524,3.50250045222223e-15,1.34215817329156e-12,"THRB","Vascular"
"AGBL4",4.30930505595553,-4.78156710182094,0.633689379098763,-7.54560082515714,4.50207048100059e-14,1.43766117359952e-11,"AGBL4","Vascular"
"NLGN4Y",3.70047872501965,-4.03847725151972,0.542075070018381,-7.45003316862142,9.33167679345914e-14,2.55421324803825e-11,"NLGN4Y","Vascular"
"ROBO2",5.49007146495844,-5.77564744578924,0.793268512797965,-7.2808227638051,3.31790350156805e-13,7.94637888625548e-11,"ROBO2","Vascular"
"CNTN5",2.40242369977602,-4.24170891630344,0.611388169479558,-6.93783283362218,3.98160451615365e-12,8.47639361438934e-10,"CNTN5","Vascular"
"PRKCB",3.35280791227234,-3.10046027329437,0.461605252534118,-6.71669192729823,1.85896410069479e-11,3.56177521693122e-09,"PRKCB","Vascular"
"HSP90AA1",17.6422899758287,2.01344971240044,0.30052353123727,6.69980718019307,2.08694729739693e-11,3.63508274710228e-09,"HSP90AA1","Vascular"
"NRXN1",9.30574550546899,-5.97969952152855,0.896648210963057,-6.66894713937585,2.57645022716894e-11,3.797291257889e-09,"NRXN1","Vascular"
"GABRB2",2.65687141549561,-4.54563425276075,0.680832792591386,-6.67657948063747,2.44583446953946e-11,3.797291257889e-09,"GABRB2","Vascular"
"PATJ",3.46560496846315,-3.36171053439956,0.508822014213645,-6.60684962617996,3.92584440161303e-11,5.13905911686578e-09,"PATJ","Vascular"
"SLC4A4",2.56152940786715,-4.30692786543099,0.6524619833288,-6.60104032951843,4.08282456677376e-11,5.13905911686578e-09,"SLC4A4","Vascular"
"PDZRN4",3.26362086386444,-4.80533958392172,0.728783171375569,-6.59364784020973,4.29148986794637e-11,5.13905911686578e-09,"PDZRN4","Vascular"
"CRYAB",14.4643513630451,2.01394760198552,0.309602767047778,6.50494057656381,7.77240979046955e-11,8.75996303443509e-09,"CRYAB","Vascular"
"BMP5",2.64713272221948,-4.50636909241109,0.694955274852973,-6.48440159456948,8.90846451775257e-11,9.48256556445218e-09,"BMP5","Vascular"
"LINGO2",2.39583357332072,-4.59827972452251,0.71106507702874,-6.46674949040797,1.00133442149775e-10,1.00976671136299e-08,"LINGO2","Vascular"
"ENSG00000287292",2.60244816526748,-3.15605201775433,0.494221815200298,-6.38590187783446,1.70390235464902e-10,1.63233845575376e-08,"ENSG00000287292","Vascular"
"CELF2",16.6997269436126,-3.61812113437548,0.572636579428062,-6.31835489445886,2.64362356954168e-10,2.41199179011517e-08,"CELF2","Vascular"
"KCNMA1",6.81359674410906,-4.51966014548724,0.72251886377603,-6.25542165344525,3.96443325652604e-10,3.35610147928933e-08,"KCNMA1","Vascular"
"ADAMTS1",2.84952478433398,5.21805977582379,0.834500915848673,6.25291078382714,4.02872307012811e-10,3.35610147928933e-08,"ADAMTS1","Vascular"
"NHSL2",2.06792244611353,-3.95089185161586,0.634025669252076,-6.23143832059118,4.6217196095173e-10,3.68967282159798e-08,"NHSL2","Vascular"
"FGF14",5.69496367273494,-5.81110541396177,0.933524934186203,-6.22490648204012,4.81843333148914e-10,3.69284730525328e-08,"FGF14","Vascular"
"KCNIP4",74.9340830640706,-6.72330443278265,1.08787370441262,-6.18022515436457,6.40102441651966e-10,4.71706260848141e-08,"KCNIP4","Vascular"
"FOXP1",19.3100124743238,-1.22318644104747,0.204269511084442,-5.98810088962232,2.12305361664453e-09,1.5065817516633e-07,"FOXP1","Vascular"
"EFHD1",3.50010731208034,2.64069215039231,0.445721863726877,5.92452909604282,3.13193556639632e-09,2.14313876614834e-07,"EFHD1","Vascular"
"AHCYL2",4.93535833595446,-2.29411397716001,0.388320772891737,-5.90778072487923,3.4674712770986e-09,2.29092240238653e-07,"AHCYL2","Vascular"
"UTY",3.07275738398244,-3.61249706991204,0.617560497806241,-5.84962458373667,4.92683742774168e-09,3.14660683718436e-07,"UTY","Vascular"
