"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"UBA6-DT",39.1867860245508,-1.70223364606915,0.140640551637276,-12.1034340825067,1.01283739394647e-33,1.07826668959542e-29,"UBA6-DT","Inhibitory_Neurons"
"KCNB2",38.5142340633062,-1.30408603391232,0.109748746385739,-11.8824686099719,1.45991195960576e-32,7.77111136098145e-29,"KCNB2","Inhibitory_Neurons"
"GABRA1",50.5680572696835,-1.2771760577089,0.11681565173011,-10.933261414829,7.99232331573301e-28,2.12715685048234e-24,"GABRA1","Inhibitory_Neurons"
"PER1",12.5574444985573,2.20634035509992,0.208990443756004,10.5571351275555,4.70811946260906e-26,1.00245279597872e-22,"PER1","Inhibitory_Neurons"
"FBXO38-DT",16.7457506446174,-1.93241399679402,0.185124302916587,-10.4384673775907,1.65460394893423e-25,2.93581894005896e-22,"FBXO38-DT","Inhibitory_Neurons"
"INPP4B",173.786439243802,-1.10980471741142,0.114608168228836,-9.68346963887856,3.54477350894936e-22,4.19307319736388e-19,"INPP4B","Inhibitory_Neurons"
"IL1RAPL2",57.7022838154593,-1.96186162703947,0.205184078971881,-9.56147103064625,1.16094657251997e-21,1.23594372110476e-18,"IL1RAPL2","Inhibitory_Neurons"
"PUS7L",36.3686980098459,-1.19042584195452,0.125097598268305,-9.51597679278656,1.80013667155373e-21,1.74220500048737e-18,"PUS7L","Inhibitory_Neurons"
"CHRNA7",25.4338267850586,-1.87650493262978,0.198624672154045,-9.44749165488588,3.47047312943598e-21,2.84205053353657e-18,"CHRNA7","Inhibitory_Neurons"
"SRSF10",27.041134559659,1.15910058769982,0.127661150914045,9.07950914903039,1.09065589980174e-19,8.29365907806377e-17,"SRSF10","Inhibitory_Neurons"
"DLX6-AS1",102.64353432883,-2.12513875322229,0.239766419843855,-8.86337108676966,7.76306491923748e-19,5.16534932063764e-16,"DLX6-AS1","Inhibitory_Neurons"
"ZNF804B",69.9107678324047,-1.16077955160832,0.131747372620833,-8.81064668324752,1.24425957844075e-18,7.79199263063543e-16,"ZNF804B","Inhibitory_Neurons"
"ENSG00000262801",17.4808587747065,-1.67657034205056,0.191961397943951,-8.73389316814667,2.46053524621746e-18,1.37867674901216e-15,"ENSG00000262801","Inhibitory_Neurons"
"DPH6-DT",7.40499730906633,-4.47228575401261,0.51852796540291,-8.62496538742616,6.41120419512081e-18,3.41268399306281e-15,"DPH6-DT","Inhibitory_Neurons"
"KCTD8",52.937612807852,-1.09988780842617,0.129955229655438,-8.46359020212118,2.59269709400274e-17,1.31437396489301e-14,"KCTD8","Inhibitory_Neurons"
"SCN9A",14.1815885638544,-1.77966177790008,0.210796198036253,-8.44257057043324,3.10433886919134e-17,1.50221780006413e-14,"SCN9A","Inhibitory_Neurons"
"CTNNA1",23.6748104330134,2.13631966188087,0.256061560417672,8.3429924366478,7.24338005193945e-17,3.35274017534554e-14,"CTNNA1","Inhibitory_Neurons"
"C1QTNF7-AS1",19.1244309301793,-1.78831123760725,0.214880289899999,-8.32236050332719,8.62285763070683e-17,3.7920141263574e-14,"C1QTNF7-AS1","Inhibitory_Neurons"
"ZNF33B",12.3779118960393,-1.73242718017162,0.208260780334475,-8.31854743552425,8.90478613178047e-17,3.7920141263574e-14,"ZNF33B","Inhibitory_Neurons"
