"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"SGCZ",17.0445874465741,-1.76694732354458,0.298669983278413,-5.91605257464883,3.29759843077193e-09,1.96866626317085e-06,"SGCZ","Cajal_Retzius"
"LINGO2",12.8931013427718,-3.69273691351975,0.702536465979037,-5.25629215328154,1.4698872399564e-07,4.38761341126987e-05,"LINGO2","Cajal_Retzius"
"GARNL3",2.52914658960684,-3.80887645727209,0.782562380640864,-4.86718573687746,1.13198632968137e-06,0.000199179509924395,"GARNL3","Cajal_Retzius"
"ZNF385D-AS2",2.11225559114342,-3.62528136805875,0.787977985153913,-4.60073940688919,4.20993844918905e-06,0.000502666650833172,"ZNF385D-AS2","Cajal_Retzius"
"N4BP2L2",6.76744877784603,-2.5585819363644,0.562602457480261,-4.54776174960837,5.42194651173524e-06,0.000588527648637444,"N4BP2L2","Cajal_Retzius"
"FGGY",2.00561060193067,-3.56969516857568,0.79761984504483,-4.47543424446147,7.62561657719994e-06,0.000700383553321287,"FGGY","Cajal_Retzius"
"DENND4C",1.91623309174807,-3.4285138654127,0.796198757292945,-4.30610301009456,1.6615570612566e-05,0.00141707080795742,"DENND4C","Cajal_Retzius"
"ZMYM4",2.61807773376751,-3.38310872128231,0.797302190524058,-4.24319506642599,2.20359732036258e-05,0.00175406346700862,"ZMYM4","Cajal_Retzius"
"LINC01266",1.78234422286787,-3.33253856731926,0.796406963310019,-4.18446688796968,2.85836105326503e-05,0.00189604616533247,"LINC01266","Cajal_Retzius"
"FHIP1A",1.8790015756418,-3.35395455889698,0.800700807588906,-4.18877379304326,2.80465791102487e-05,0.00189604616533247,"FHIP1A","Cajal_Retzius"
"NR3C1",5.48071158039589,-2.26211144051839,0.550502935622003,-4.10917234794119,3.97079658358037e-05,0.00237056556039748,"NR3C1","Cajal_Retzius"
"DAB1",7.55956841727137,-1.76803430937923,0.436375685739668,-4.0516334139524,5.0861310813042e-05,0.00289182881479867,"DAB1","Cajal_Retzius"
"RASA1",2.2582016159071,-3.18237137423862,0.7940478044265,-4.00778310386121,6.1291369179094e-05,0.00318182151303644,"RASA1","Cajal_Retzius"
"NKTR",3.43297312298806,-3.02738289059284,0.764953457903978,-3.95760403369907,7.57053184179532e-05,0.00376633959129317,"NKTR","Cajal_Retzius"
"RAD21",1.53873097514183,-3.13149682918763,0.808475826264655,-3.87333390493056,0.000107356581023307,0.00512735030967312,"RAD21","Cajal_Retzius"
"ASTN2",7.76855404421766,-1.55952088450387,0.411679659865742,-3.78819027642139,0.000151748615131992,0.00696876332567688,"ASTN2","Cajal_Retzius"
"UNC80",9.12506093608874,-1.36457546119868,0.364563783864121,-3.7430362575655,0.000181809982785426,0.00760432509029349,"UNC80","Cajal_Retzius"
"FRS2",2.56196812527764,-3.35896027425234,0.894355234100206,-3.75573390324228,0.000172834255174852,0.00760432509029349,"FRS2","Cajal_Retzius"
"DIRC3-AS1",4.8009117697271,-2.18533340812566,0.588851648121807,-3.71117821457402,0.000206296795148563,0.00794575398088336,"DIRC3-AS1","Cajal_Retzius"
"PTK2",4.55192310861884,-2.36319425795453,0.653504658911233,-3.61618578495174,0.000298975835577332,0.0101993470765524,"PTK2","Cajal_Retzius"
"ATP6V1A",1.31222713095563,-2.98302696645742,0.839359531314354,-3.55393232002298,0.000379516866167705,0.0122471118433578,"ATP6V1A","Cajal_Retzius"
"NPEPPS",2.21799272006122,-2.77509365732487,0.785710624170273,-3.53195384147367,0.000412501351797524,0.0129612266854275,"NPEPPS","Cajal_Retzius"
"LANCL1",2.19594584702962,-2.7458569497415,0.784152479607284,-3.50168751760712,0.000462321505569639,0.0141541507089782,"LANCL1","Cajal_Retzius"
"HDAC9",4.1461347669526,-2.04420969759652,0.601327838873966,-3.39949286469834,0.000675109413092371,0.0187460613774951,"HDAC9","Cajal_Retzius"
"PDE10A",11.0911149704245,-1.13505826118493,0.339831806922261,-3.34005892934144,0.000837606144177827,0.0201824014396498,"PDE10A","Cajal_Retzius"
"RFX3",7.01241233500121,-1.37425508755041,0.410043238621018,-3.35148822883181,0.000803784560170087,0.0201824014396498,"RFX3","Cajal_Retzius"
"PPA1",2.49013486246244,-2.58614186261281,0.778619167005294,-3.32144644288628,0.000895521673668086,0.0201824014396498,"PPA1","Cajal_Retzius"
"SPATS2",1.19939016507553,-2.85674979772645,0.855401384948979,-3.33966000989914,0.000838810130003098,0.0201824014396498,"SPATS2","Cajal_Retzius"
