"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"IL1RAPL1",16.5332671477757,-3.01920531416527,0.251399629844112,-12.0095853603183,3.16427587582155e-33,1.37962428185819e-29,"IL1RAPL1","Microglia"
"PPP2R2B",13.7769366060572,-2.33578790456827,0.25171683430172,-9.27942666626929,1.70392952890336e-20,2.47637758200621e-17,"PPP2R2B","Microglia"
"NTM",10.3234255515956,-3.55865080385104,0.395379594958444,-9.00059297249537,2.24501803968452e-19,2.44706966325613e-16,"NTM","Microglia"
"DPP10",16.8669718081833,-4.46256625746365,0.56360911342161,-7.9178390682363,2.41673881294215e-15,2.10739624488556e-12,"DPP10","Microglia"
"SPARCL1",6.34936526470311,-3.86507155540452,0.493143697288885,-7.83761726379795,4.59176075290852e-15,3.33667948044686e-12,"SPARCL1","Microglia"
"LSAMP",31.2984182998364,-3.80303753588829,0.488370075811171,-7.78720426220123,6.85081507789288e-15,3.73369421745162e-12,"LSAMP","Microglia"
"NFIA",15.8329152614475,-1.17669180452875,0.152282246933708,-7.72704519549797,1.1007157582108e-14,5.33235633977677e-12,"NFIA","Microglia"
"CLU",8.79247213388033,-2.52353257774193,0.329077830048645,-7.66849768448059,1.74022502944995e-14,7.58738112840177e-12,"CLU","Microglia"
"CALM2",14.4993615333553,-1.64065227077131,0.223912534649669,-7.32720154920428,2.35008261985178e-13,6.83090681503585e-11,"CALM2","Microglia"
"TTLL7",6.83589658393771,-2.64862289773258,0.370456632269126,-7.14961662721274,8.70205877425679e-13,2.23182213269174e-10,"TTLL7","Microglia"
"NRG3",12.5664816262724,-3.9757316791425,0.561864201559049,-7.07596545234726,1.48411835239922e-12,3.59486445358922e-10,"NRG3","Microglia"
"PDE4D",14.995272409797,-2.77445747385669,0.393495437988234,-7.05079959259822,1.77892553575234e-12,4.08216596625273e-10,"PDE4D","Microglia"
"NKAIN3",4.06389409477453,-4.35399946051645,0.621601394346492,-7.00448792444221,2.47890801175978e-12,5.40401946563633e-10,"NKAIN3","Microglia"
"NPAS3",15.3983717274931,-2.19716964351336,0.314299045804044,-6.99069778558355,2.73522391445439e-12,5.42755089418822e-10,"NPAS3","Microglia"
"NKAIN2",8.68584139027687,-3.2803477573434,0.47787245490537,-6.86448386733859,6.67320811417384e-12,1.16380749511192e-09,"NKAIN2","Microglia"
"ERBB4",6.94726007006819,-2.33864530620057,0.344889843273595,-6.78084713658953,1.19473238239134e-11,1.92927155082454e-09,"ERBB4","Microglia"
"NRXN1",13.0991699465734,-4.79746015258189,0.709027037055632,-6.76625841026351,1.32155420261633e-11,2.05784868693114e-09,"NRXN1","Microglia"
"DLG2",27.4834095934889,-2.29433158995821,0.341692835052943,-6.7146025745688,1.88579483442269e-11,2.83519499244239e-09,"DLG2","Microglia"
"MIR100HG",4.25528459418915,-2.49362102695332,0.371995484486479,-6.70336369914716,2.03675676782726e-11,2.87222510576866e-09,"MIR100HG","Microglia"
"HS3ST4",22.5072326750507,-1.71097562057029,0.255432918308876,-6.6983364238956,2.10805512349994e-11,2.87222510576866e-09,"HS3ST4","Microglia"
"GPM6A",12.4023652131397,-2.96611591486309,0.444605989961008,-6.67133592852227,2.5348524150089e-11,3.34907773619358e-09,"GPM6A","Microglia"
"ADGRB3",27.8416347399136,-2.600923630809,0.394030503539628,-6.60081797587893,4.08895353073666e-11,5.09366782686053e-09,"ADGRB3","Microglia"
"SSBP2",21.3298668960912,-1.08968490771115,0.16605336513653,-6.56225730092977,5.29992594972402e-11,6.41879920577687e-09,"SSBP2","Microglia"
"NAV2",15.0625382533328,-1.73561625687509,0.267623223536528,-6.4852976282837,8.85567928003136e-11,1.01607267528781e-08,"NAV2","Microglia"
"LINC02712",10.6526989838289,-3.01252290021311,0.46755073614772,-6.443199993725,1.16980381050772e-10,1.30640693207671e-08,"LINC02712","Microglia"
"NALF1",8.15084606839731,-5.11477446908717,0.80121255365798,-6.38379222309409,1.72755453555795e-10,1.83710677439821e-08,"NALF1","Microglia"
"NEBL",3.13442258013304,-3.54540070896967,0.561482039971523,-6.31436173657394,2.71278730022547e-10,2.8161315783293e-08,"NEBL","Microglia"
"KCNMB2-AS1",5.37320551840333,-2.67422777703441,0.427329991400931,-6.25799225621256,3.89965179128879e-10,3.86420041136798e-08,"KCNMB2-AS1","Microglia"
"AIG1",9.18531649355281,-1.43606028683496,0.230951671469053,-6.21801209621205,5.03492755024657e-10,4.75101556686285e-08,"AIG1","Microglia"
"RPL32",24.7243632079198,-1.55204940112843,0.25104666058609,-6.18231446498845,6.31685326185543e-10,5.73780837951868e-08,"RPL32","Microglia"
"ITM2B",25.5668637199115,-1.41326557018275,0.229467311972855,-6.15889713455106,7.32532865575175e-10,6.38768658781553e-08,"ITM2B","Microglia"
"NCAM2",10.7130799465802,-2.12494151442674,0.346433519961809,-6.13376417692201,8.58237124603124e-10,7.19598819859543e-08,"NCAM2","Microglia"
"NTRK2",4.57993520947342,-3.0635480676049,0.504457472937529,-6.0729560606277,1.25576824835085e-09,1.01431711791849e-07,"NTRK2","Microglia"
"AKAP6",4.71443611219009,-2.18156134661278,0.359229360413463,-6.07289266139567,1.25626432035777e-09,1.01431711791849e-07,"AKAP6","Microglia"
"ENSG00000249738",19.8586737001949,-3.07176106273891,0.506348021755987,-6.06650155773535,1.30726459163387e-09,1.03630429445885e-07,"IL12B-AS1","Microglia"
"PPP1R9A-AS1",2.21784871660485,-4.07174588036257,0.673627789149315,-6.04450402128531,1.4987031627993e-09,1.16684746246517e-07,"PPP1R9A-AS1","Microglia"
