"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"ENSG00000286619",5.42135112061365,2.48732431404969,0.302153466271928,8.23199000408348,1.84128622857275e-16,1.810692549698e-13,"ENSG00000286619","Excitatory_Neurons"
"PURA",15.6088143562093,1.02810700192059,0.133007087187195,7.72971593967489,1.07786826383247e-14,7.25235151833383e-12,"PURA","Excitatory_Neurons"
"TACC1",21.1986182587411,1.06360691744861,0.140389958613489,7.57608968585034,3.56125667764453e-14,2.16795739842894e-11,"TACC1","Excitatory_Neurons"
"PHACTR4",10.6911475958178,1.23497025244166,0.164295020928392,7.51678441296115,5.61398758484066e-14,3.12040075150448e-11,"PHACTR4","Excitatory_Neurons"
"NEAT1",33.4311282222686,3.40586846957374,0.479267375166142,7.10640583117737,1.19103856954549e-12,4.75819908533424e-10,"NEAT1","Excitatory_Neurons"
"PABPC1",12.9004116248118,1.40664753308918,0.199075245648658,7.06590881506043,1.59568175924095e-12,5.99976341474598e-10,"PABPC1","Excitatory_Neurons"
"STX12",9.4093887478774,1.26473634030291,0.181328035561967,6.974852710356,3.0619143294485e-12,1.00367981506845e-09,"STX12","Excitatory_Neurons"
"DHX57",8.09886368008091,1.23571568632987,0.177703567591728,6.95380347776086,3.55566848695162e-12,1.10867477895584e-09,"DHX57","Excitatory_Neurons"
"CRY2",8.02557715626214,1.22066340896226,0.176223001965791,6.92681088930278,4.30433351957494e-12,1.27968836544758e-09,"CRY2","Excitatory_Neurons"
"CHRNE",2.32898242730609,2.77003216848614,0.4025503332009,6.88120699456408,5.9347540232556e-12,1.68599767629555e-09,"CHRNE","Excitatory_Neurons"
"PITPNA",8.84219895020573,1.29249604708484,0.188335659183367,6.86272611723752,6.7558679310528e-12,1.87754381805606e-09,"PITPNA","Excitatory_Neurons"
"SLK",6.70674512445372,1.43846110436152,0.212561848773212,6.76725909500463,1.31244924518671e-11,2.9435703772749e-09,"SLK","Excitatory_Neurons"
"PER1",7.67367565021656,2.19781675002708,0.330257581437067,6.6548563108335,2.83576958934049e-11,6.04207973835481e-09,"PER1","Excitatory_Neurons"
"MAPK14",15.8870718793559,1.12635884392195,0.171276439020626,6.57626262177433,4.82420175190036e-11,9.34433260549912e-09,"MAPK14","Excitatory_Neurons"
"TMPRSS9",1.63505798724923,2.80544295156039,0.431714321584775,6.49837823601016,8.11904693432663e-11,1.441581889006e-08,"TMPRSS9","Excitatory_Neurons"
"HMCES",5.15631009361124,1.70297991550798,0.262691256790217,6.4828191707498,9.00243727178487e-11,1.53449544109997e-08,"HMCES","Excitatory_Neurons"
"ATP11B",14.0362909491821,1.110198851296,0.171212924753155,6.48431684054592,8.91347326279513e-11,1.53449544109997e-08,"ATP11B","Excitatory_Neurons"
"PSMC1",6.9741297120081,1.29733457309837,0.200665140226808,6.46517163684742,1.0118389476122e-10,1.658378090548e-08,"PSMC1","Excitatory_Neurons"
