"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"PER1",12.5574444985573,2.20634035509992,0.208990443756004,10.5571351275555,4.70811946260906e-26,1.00245279597872e-22,"PER1","Inhibitory_Neurons"
"SRSF10",27.041134559659,1.15910058769982,0.127661150914045,9.07950914903039,1.09065589980174e-19,8.29365907806377e-17,"SRSF10","Inhibitory_Neurons"
"CTNNA1",23.6748104330134,2.13631966188087,0.256061560417672,8.3429924366478,7.24338005193945e-17,3.35274017534554e-14,"CTNNA1","Inhibitory_Neurons"
"CHRNE",3.04063146835528,4.39342081732796,0.543828702341193,8.0786850683206,6.54688597790535e-16,2.40338441795795e-13,"CHRNE","Inhibitory_Neurons"
"IP6K1",16.2097421430423,1.43185289434291,0.18227794051041,7.85532736618306,3.98729333254126e-15,1.24849190641866e-12,"IP6K1","Inhibitory_Neurons"
"PPP1R13B",29.2632527678809,1.15113740961416,0.146503536756702,7.85740354873375,3.92177776786491e-15,1.24849190641866e-12,"PPP1R13B","Inhibitory_Neurons"
"AHDC1",16.0915939767329,1.29847291452669,0.167479769184645,7.75301351827837,8.97370611328943e-15,2.44959167389947e-12,"AHDC1","Inhibitory_Neurons"
"RTF1",42.6483434715012,1.25325534136821,0.162753471420683,7.70032940267558,1.35715917533234e-14,3.61207914514703e-12,"RTF1","Inhibitory_Neurons"
"SPG7",30.5724605976343,1.20020047423512,0.15729804008533,7.63010444112368,2.34563604527954e-14,5.80735845070837e-12,"SPG7","Inhibitory_Neurons"
"NLRC5",3.50622232653001,3.89731860021847,0.516336017030215,7.54802777972859,4.41898683923991e-14,1.0106184503315e-11,"NLRC5","Inhibitory_Neurons"
"COL4A2",13.8503649191558,1.64708733711873,0.22100052251126,7.45286625752122,9.13338604680086e-14,1.98436791539269e-11,"COL4A2","Inhibitory_Neurons"
"FBXL18",7.21241021727067,1.83319423919376,0.250797940143478,7.30944695217597,2.68244125662662e-13,5.1922308396449e-11,"FBXL18","Inhibitory_Neurons"
