"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"NEAT1",142.599587925313,1.56403921799915,0.149633763119458,10.4524486011257,1.42790220044732e-25,3.11282679697516e-22,"NEAT1","Microglia"
"PIM1",4.06667842957863,4.10287435513814,0.525591964331773,7.80619688574282,5.89394824168386e-15,3.67108776196309e-12,"PIM1","Microglia"
"FCGR3A",7.38381765417829,1.75174872881909,0.230891736659484,7.58688359385744,3.27691227832622e-14,1.29884886668203e-11,"FCGR3A","Microglia"
"CPM",12.4344143864529,2.41508696244565,0.322106920050454,7.49778043286793,6.49075047169449e-14,2.35830600471566e-11,"CPM","Microglia"
"FLOT1",7.14724374747336,1.58552556994213,0.212524450216901,7.46043840284708,8.62350633887153e-14,2.89219135672922e-11,"FLOT1","Microglia"
"DPYD",44.2880173488074,2.1142986883571,0.304589381295404,6.94147208732323,3.880349091172e-12,7.35579219022171e-10,"DPYD","Microglia"
"SNHG15",2.6010960306273,3.26709090947598,0.471968831357796,6.92225988753741,4.44494807300994e-12,8.0749889993014e-10,"SNHG15","Microglia"
"MGAT1",6.59025324205405,1.59590436896309,0.232763265371058,6.85634121182734,7.06465242920893e-12,1.18468786889811e-09,"MGAT1","Microglia"
"HSPA5",11.603432473782,3.82829189201944,0.571301730435187,6.70099824326325,2.07000530563294e-11,2.87222510576866e-09,"HSPA5","Microglia"
"GNL3",2.64562148170043,2.68753951289794,0.405423570464708,6.62896710671609,3.38043892992049e-11,4.33491580425099e-09,"GNL3","Microglia"
"MYO1E",10.0068616788962,1.97626119285397,0.303844923603045,6.5041770960631,7.81198231894155e-11,9.20547105691491e-09,"MYO1E","Microglia"
"ENSG00000227227",1.86227608485623,3.98347130391447,0.618597785454243,6.43951756307916,1.19853846979515e-10,1.30640693207671e-08,"ENSG00000227227","Microglia"
"SELENOO",5.63461361065213,1.98446342292986,0.315747781886289,6.28496393885841,3.27929802760991e-10,3.3250556745068e-08,"SELENOO","Microglia"
"FCGR1A",9.59217174038347,1.26255866000898,0.202214462080716,6.24366154140358,4.27444409182991e-10,4.14146138675075e-08,"FCGR1A","Microglia"
"PARVB",3.66616934880724,2.38979938591772,0.384500459323576,6.21533558145008,5.12150760648059e-10,4.75101556686285e-08,"PARVB","Microglia"
"TYMP",19.0392278748347,2.50414056175936,0.405627330704217,6.17350058096894,6.67943045676906e-10,5.94332995745165e-08,"TYMP","Microglia"
"CIAO1",5.07885559937905,1.55998320755007,0.259071017109537,6.02145012188105,1.72861294017047e-09,1.23553318346611e-07,"CIAO1","Microglia"
"CALR",7.05148789930647,2.57791767006671,0.436213619982138,5.90975969565615,3.42607155288221e-09,2.22950327918902e-07,"CALR","Microglia"
"IFI30",5.14544059120732,1.65566394748551,0.282133215335393,5.86837655934023,4.40082859966077e-09,2.66494620757236e-07,"IFI30","Microglia"
"HSP90B1",8.89258925793112,2.07848154694195,0.354397627081668,5.86482918651985,4.49595291800574e-09,2.68525407157603e-07,"HSP90B1","Microglia"
"GAS7",9.06817154742502,1.6394905512431,0.280290590385911,5.8492529092247,4.93785808093622e-09,2.83277121485288e-07,"GAS7","Microglia"
"GBE1",6.02626665597595,1.372572198171,0.234884973511073,5.84359304749777,5.10867415935494e-09,2.89270380971267e-07,"GBE1","Microglia"
"TBC1D8",5.05451350340925,2.01949451913395,0.34825337333401,5.79892306512435,6.67421412521214e-09,3.5238979077891e-07,"TBC1D8","Microglia"
"BCL2L1",4.58825501032563,1.70061516895622,0.295728524899435,5.75059565029963,8.89295737123094e-09,4.31688662606918e-07,"BCL2L1","Microglia"
"SPP1",128.820611058653,1.41421546243601,0.246329255862456,5.74115915498756,9.40306633417175e-09,4.45623578445531e-07,"SPP1","Microglia"
"OSCAR",2.04545851704828,2.54298990728557,0.444871210519327,5.71623842396314,1.08907904440172e-08,4.8286548264239e-07,"OSCAR","Microglia"
"IQGAP2",6.26661457855541,1.95357668537079,0.343551529886082,5.68641532761789,1.29733662507919e-08,5.65638768534529e-07,"IQGAP2","Microglia"
"ITGAV",10.5635268368193,1.37426552684328,0.242698597514663,5.66243703472678,1.49238144892677e-08,6.30522234359127e-07,"ITGAV","Microglia"
