"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"LMNA",16.100853341479,2.71054310475551,0.237583137424616,11.4088193890257,3.77822490879292e-30,1.00028504460293e-26,"LMNA","OPCs"
"SAMD4B",19.5022336496471,1.36793647285659,0.13782338242835,9.92528588948062,3.23175266717041e-23,3.42242607453346e-20,"SAMD4B","OPCs"
"UBALD2",9.8111559798163,2.59030969045939,0.270737109957304,9.56761963983396,1.09395275789914e-21,9.29193808604421e-19,"UBALD2","OPCs"
"PHLDA3",9.14629039967683,2.39099020170885,0.262698116800456,9.10166479619279,8.89576221785727e-20,5.58804459527024e-17,"PHLDA3","OPCs"
"L3MBTL1",21.3985903340207,1.15584918573516,0.132254663983614,8.73957220804227,2.33994785800732e-18,9.91201912651902e-16,"L3MBTL1","OPCs"
"SPP1",83.5717940477384,2.03399991702663,0.237993798476226,8.5464408318598,1.26942462931044e-17,4.33651833045084e-15,"SPP1","OPCs"
"CDH19",53.8657766902685,2.1627313990234,0.253765617365731,8.52255487356445,1.56071666478054e-17,5.16499671250809e-15,"CDH19","OPCs"
"CLASRP",15.3044043924319,1.23007707133753,0.144844640450515,8.49238927661787,2.02431636261928e-17,6.30515008239358e-15,"CLASRP","OPCs"
"CD22",19.1383946352771,1.60929945607321,0.189772703610514,8.48014190373821,2.24919450275257e-17,6.80541993832849e-15,"CD22","OPCs"
"FKBP5",43.3371623223571,2.22828085323283,0.267214803828806,8.33891244536136,7.49769000988697e-17,1.89048898106436e-14,"FKBP5","OPCs"
"CBFB",28.4847656643612,1.03642843404464,0.124721303937408,8.30995508646038,9.57383020513689e-17,2.2672006809774e-14,"CBFB","OPCs"
"TRIM47",6.85188120882351,2.15801753968414,0.259713873694764,8.30921162964291,9.63399722794931e-17,2.2672006809774e-14,"TRIM47","OPCs"
"CHST3",7.27857740641604,1.85732964383152,0.224405221653164,8.27667747723878,1.26659675814756e-16,2.85388503591121e-14,"CHST3","OPCs"
"CRYAB",139.343728171374,1.78119285629727,0.216826098772677,8.21484529020969,2.12437965606793e-16,4.59126133831823e-14,"CRYAB","OPCs"
"ISG20",3.1879770738335,3.73124651304169,0.458506726147871,8.13782285025486,4.02449110758755e-16,8.04138883572681e-14,"ISG20","OPCs"
"PACS2",21.956397707489,1.28581027965143,0.158392991649279,8.11784831047656,4.7452137100298e-16,9.13669330713011e-14,"PACS2","OPCs"
"NEAT1",215.130550003435,3.22152910406569,0.399428231616647,8.06535154269608,7.30254267229072e-16,1.33334356723377e-13,"NEAT1","OPCs"
"MYRF",45.6129670920268,1.70906970314557,0.213164416440276,8.01761256257521,1.07820263628911e-15,1.90302765305027e-13,"MYRF","OPCs"
"MTCH1",25.8066842229893,1.10490350100635,0.139610309215647,7.91419707623222,2.48853840880695e-15,4.11775339832276e-13,"MTCH1","OPCs"
"RPGR",5.42248177169169,2.00864332452264,0.254971051327622,7.87792698058753,3.32857130222976e-15,5.42301078317125e-13,"RPGR","OPCs"
"GADD45B",8.71695548124135,3.95548149565291,0.502696416911837,7.86852932024504,3.58834463667821e-15,5.75766207612458e-13,"GADD45B","OPCs"
"DGUOK",8.10086318642454,1.60278679341424,0.203795325078611,7.86468871548451,3.70016387059454e-15,5.84846796859644e-13,"DGUOK","OPCs"
"ITPKB",42.1113224630183,2.57533578882013,0.328051447521641,7.85040214965136,4.14705324591882e-15,6.36889948301797e-13,"ITPKB","OPCs"
"TMSB10",21.1492338938202,1.11580223103305,0.142134583211112,7.85032189791386,4.14970787845364e-15,6.36889948301797e-13,"TMSB10","OPCs"
"ARHGAP23",13.9641986406157,1.4563443156026,0.186193293744913,7.82167975178421,5.21230745887348e-15,7.77441351964369e-13,"ARHGAP23","OPCs"
"NPTX2",6.25948132826065,4.00932471403146,0.514264627332505,7.79622883033558,6.37846757893986e-15,9.25314680287303e-13,"NPTX2","OPCs"
"ZNF24",16.6077504685504,1.09169891901061,0.141440808130767,7.71841545193444,1.1778474981706e-14,1.61992272800347e-12,"ZNF24","OPCs"
"ARHGAP1",14.4501635668823,1.11732162347812,0.14668859900638,7.61696294767613,2.59713846007268e-14,3.31369834845418e-12,"ARHGAP1","OPCs"
"PHF19",5.16299515047867,1.98934177118164,0.269927447452172,7.36991287828975,1.70739579419159e-13,1.86799551348644e-11,"PHF19","OPCs"
"DENND4B",9.76947687433716,1.31661090403848,0.179612933351637,7.3302678124013,2.29693256615171e-13,2.43245158755466e-11,"DENND4B","OPCs"
"CCP110",35.0423016989126,1.69266801026214,0.230872717002722,7.33160692279716,2.2740928041832e-13,2.43245158755466e-11,"CCP110","OPCs"
"SFRP1",6.09422896471952,1.76747295653573,0.242113516649395,7.3001829100488,2.87376786611088e-13,2.89840016210612e-11,"SFRP1","OPCs"
"HTATIP2",7.23635729307378,1.69242605339102,0.232334406850498,7.28444002906574,3.23009121004529e-13,3.16728388096108e-11,"HTATIP2","OPCs"
"LARP7",15.8824275038468,1.10687824043528,0.15294953760506,7.23688516988793,4.59106539956798e-13,4.41994387103863e-11,"LARP7","OPCs"
"MIDN",18.1208032643453,1.23733723902267,0.172146227521,7.1877104531479,6.58867992620043e-13,5.96360003576603e-11,"MIDN","OPCs"
"NES",3.28247164653504,2.94560831663913,0.41042415213593,7.17698581165263,7.12650801013837e-13,6.3957389684208e-11,"NES","OPCs"
"HAPLN2",23.7711215346332,1.50217883757109,0.209718565908719,7.16283191744178,7.90272244161428e-13,7.03275887871388e-11,"HAPLN2","OPCs"
"MYO9B",28.8265850925738,1.47913021652178,0.20800267561613,7.11111148998642,1.15112100647642e-12,9.75229716686821e-11,"MYO9B","OPCs"
"CAPN3",22.7763159553058,1.40543647970297,0.197782181158368,7.10598129453136,1.19470595760812e-12,1.00412191198968e-10,"CAPN3","OPCs"
"NUP214",15.2869430746617,1.07222027450186,0.151550724969722,7.07499271096245,1.49456616416905e-12,1.21749659065771e-10,"NUP214","OPCs"
"SEMA4C",7.60949758117176,1.46069493610277,0.207027276327399,7.05556756585438,1.71897631054016e-12,1.36871873147521e-10,"SEMA4C","OPCs"
"DAZAP2",11.6108754426998,1.19676216354204,0.169697848700333,7.05231193387366,1.75969164186738e-12,1.39068167816236e-10,"DAZAP2","OPCs"
"MCAM",10.9895701262359,1.86492275993283,0.26451130292304,7.05044638669157,1.78344721598776e-12,1.39901526054151e-10,"MCAM","OPCs"
"HMG20B",4.46041179153931,2.0943502367216,0.297338036285783,7.04366741263014,1.87244782696265e-12,1.45803106525989e-10,"HMG20B","OPCs"
"ERBIN",176.304078150288,1.87150271972121,0.266018496556907,7.03523530861268,1.98925006117392e-12,1.52653319911825e-10,"ERBIN","OPCs"
"CLDN11",43.9186577227764,1.57459725810764,0.224818694707381,7.00385375049483,2.49016055322529e-12,1.87026952189049e-10,"CLDN11","OPCs"
"AZGP1",9.93313776108763,2.0885015476882,0.298273909725364,7.00195853405747,2.52408794758512e-12,1.88240080034693e-10,"AZGP1","OPCs"
"PDK4",15.755882241359,1.5297957554508,0.219287219712534,6.97621939598772,3.03229075674241e-12,2.19944925437686e-10,"PDK4","OPCs"
"SQSTM1",18.4736245445586,1.04557671678193,0.150075304795396,6.96701378156396,3.2373896921089e-12,2.31648357023197e-10,"SQSTM1","OPCs"
"MPHOSPH8",49.2133351662345,1.02689892556267,0.149565328373175,6.86588888435758,6.60784938636551e-12,4.37357031260067e-10,"MPHOSPH8","OPCs"
"ABCA6",7.35839920119166,3.57430194534707,0.521476468166148,6.85419604439036,7.17146783969148e-12,4.68801508779832e-10,"ABCA6","OPCs"
"SF3B2",16.0826956253765,1.1344632136413,0.166074020210603,6.83106973747402,8.42837455369457e-12,5.44246869046497e-10,"SF3B2","OPCs"
"ADAMTS8",3.22664363852078,2.61578140049963,0.385084937813636,6.79273880549841,1.10024476381448e-11,6.97700122682358e-10,"ADAMTS8","OPCs"
"MRPL39",7.30207085399486,1.4657581914193,0.218103648032117,6.72046618497394,1.81144069585857e-11,1.08379417904758e-09,"MRPL39","OPCs"
"TAGLN2",2.1849677455565,2.9962694460729,0.44764861657497,6.69335129190799,2.18116675375675e-11,1.28325310679355e-09,"TAGLN2","OPCs"
"SNX30",12.5037293572531,1.37440986173711,0.205366664208908,6.6924681619165,2.1943750206546e-11,1.28389124136642e-09,"SNX30","OPCs"
"SLC35D2",13.517536450195,1.64112744389433,0.245480371147269,6.68537136482406,2.30339773285159e-11,1.34027373576365e-09,"SLC35D2","OPCs"
"NADSYN1",5.98048704785933,1.66942475351845,0.252070343371373,6.62285269734766,3.52332086538776e-11,1.99529240451638e-09,"NADSYN1","OPCs"
"FBXO32",8.00147812354924,1.32866025376177,0.200914353467522,6.61306786115978,3.76435778752459e-11,2.0963560052337e-09,"FBXO32","OPCs"
"ATF4",13.2441510487399,1.24637441732572,0.188467454327469,6.61320768497305,3.76080235409567e-11,2.0963560052337e-09,"ATF4","OPCs"
"ABCA2",67.4451117750223,1.07513336713836,0.163109522943093,6.59148128042446,4.35459737866274e-11,2.37707145567208e-09,"ABCA2","OPCs"
"PAK2",19.2941942565481,1.02593545751209,0.156031780304286,6.57516985008672,4.85976604265071e-11,2.61243260871426e-09,"PAK2","OPCs"
