"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"AZGP1",20.0141212344547,2.73795810925719,0.203139343070789,13.4782266589446,2.1009592912206e-41,2.40959021110091e-37,"AZGP1","Oligodendrocytes"
"NPTX2",10.1665490699291,3.81643956712299,0.449331297981391,8.49359834106424,2.00335806746581e-17,7.65883789192177e-15,"NPTX2","Oligodendrocytes"
"NMT1",18.2646602431832,1.1568637271093,0.14055234897715,8.23083879798671,1.85907010936101e-16,5.92268752340595e-14,"NMT1","Oligodendrocytes"
"PRKX",13.7479360105856,2.46165351564115,0.305868135795083,8.04808748463534,8.40978276302222e-16,2.29647139307385e-13,"PRKX","Oligodendrocytes"
"FNTB",21.219620631039,1.16479851597337,0.147392029531479,7.90272391034957,2.7287354972974e-15,6.80344943880519e-13,"FNTB","Oligodendrocytes"
"LMNA",23.1594864777533,1.20699518448336,0.153949955310994,7.84017885581789,4.49905142231826e-15,1.097864271544e-12,"LMNA","Oligodendrocytes"
"ZNF652",79.9459528689528,1.29924410534758,0.171565296694768,7.5728840877364,3.65027987486169e-14,8.05097305476705e-12,"ZNF652","Oligodendrocytes"
"GOLGB1",34.2871928639776,1.39448764959823,0.185260502235834,7.52717191613277,5.1851082851634e-14,1.08123648950071e-11,"GOLGB1","Oligodendrocytes"
"ENSG00000290122",4.85809477413837,5.11868647232451,0.691381574261375,7.40356217591273,1.32579042246949e-13,2.3393062085081e-11,"ENSG00000290122","Oligodendrocytes"
"NFKBIA",31.5428759690855,1.38240304217501,0.186865960998691,7.39783230068688,1.38425507609455e-13,2.40545779814066e-11,"NFKBIA","Oligodendrocytes"
"MYOT",11.6524444494608,1.43552602608753,0.19425557370472,7.38988333106785,1.46957702719741e-13,2.4786145477834e-11,"MYOT","Oligodendrocytes"
"GADD45B",5.46649469836383,2.71241553091723,0.371517577616142,7.30090766719992,2.8583285600237e-13,4.68316717927312e-11,"GADD45B","Oligodendrocytes"
"IRAK2",10.3944339654391,1.76341715210877,0.242340742512897,7.2766020844181,3.42333087042202e-13,5.52988475392537e-11,"IRAK2","Oligodendrocytes"
"VSIR",5.64067128021939,3.13440543065999,0.441760175859393,7.09526481096303,1.29104035394474e-12,1.87429643283446e-10,"VSIR","Oligodendrocytes"
"SAMHD1",7.32755328058441,2.85818219810007,0.410554546218769,6.9617599522989,3.36047767091069e-12,4.3796952735994e-10,"SAMHD1","Oligodendrocytes"
"GIT1",26.8392041528669,1.13840414377525,0.165872228786015,6.86313888772698,6.73636733040276e-12,8.21908477791375e-10,"GIT1","Oligodendrocytes"
"CCNQ",13.4753147700986,1.5300345087711,0.22381183688112,6.83625374820454,8.12909037416762e-12,9.61160180426067e-10,"CCNQ","Oligodendrocytes"
"L3MBTL1",30.4757306172026,1.39805679668288,0.206676792513691,6.76445952000282,1.33807763794539e-11,1.46156308853292e-09,"L3MBTL1","Oligodendrocytes"
"PLIN3",10.6647641407054,1.34228593564153,0.200824691386079,6.68386903212529,2.3271480102928e-11,2.40450995766199e-09,"PLIN3","Oligodendrocytes"
"PPFIBP2",31.7427779059517,1.43264840061516,0.214710630056255,6.67246144375711,2.51548151684089e-11,2.53070679970598e-09,"PPFIBP2","Oligodendrocytes"
