"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_MRNA_METABOLIC_PROCESS","GOBP_MRNA_METABOLIC_PROCESS",124,0.340993121667742,2.36024972680729,2.6411300885537e-07,0.000391252898821996,0.000322811305617576,903,"tags=60%, list=35%, signal=41%","HSPA1A/SF3A2/HSPA1B/SMN1/ESS2/KHSRP/CDK11A/RBMXL1/CPSF4/CSTF2/DUS3L/PABPC1/METTL3/EDC4/PPIE/DCPS/PUF60/PIAS4/BARD1/CWC25/RBM23/SRPK1/RBM8A/STAT3/SAMD4B/CLNS1A/CWC15/MAPK14/PRPF3/HNRNPF/U2AF1/SNRPF/DNAJB11/SMU1/DDX41/QKI/DHX40/ANGEL2/NUDT21/TAF6/GSPT1/RBM14/DHX38/ATF4/NR1H2/UBL5/PAN2/SART1/WDR33/SAP30BP/CELF1/SMG6/CNOT6/DCP1A/SRSF4/MBNL2/TAF2/CPSF6/AHCYL1/TAF4B/RC3H2/SNRNP200/ZC3H12C/NONO/SND1/AGO4/DDX42/POLR2A/UPF3B/PRPF8/HNRNPH3/AGO2/KHDC4/SECISBP2"
"GOBP_CELLULAR_RESPONSE_TO_STRESS","GOBP_CELLULAR_RESPONSE_TO_STRESS",277,0.253347508574655,2.03229532422512,4.83326619915992e-07,0.000391252898821996,0.000322811305617576,907,"tags=50%, list=35%, signal=36%","INHBA/HSPA1A/RGCC/BOK/GFAP/SPP1/CRY1/HSPA1B/CRYAB/RELB/TGFB1/CTNNA1/VPS72/CD74/ARG2/PDGFD/FANCI/GPR37/MAG/MORC2/RADX/FANCG/PCGF2/HMCES/TRIM39/STOX1/JUND/ACER2/SLC9A1/DDIT3/SAR1A/EIF4G1/REXO4/RTN4RL2/METTL3/PLK5/MT3/ATAD5/KLF10/EEF2/ELAPOR1/APOD/SIRT1/PIAS4/TELO2/BARD1/XBP1/RNFT1/GRINA/PSME4/SGK1/NCK1/LMNA/ASH2L/CRY2/SKIL/DNAJC2/RTCA/DBF4/SIRT6/STAT3/MCL1/PDCD10/SMC1A/STX4/KCMF1/GPS2/RAD1/BLVRB/TDP1/MAPK14/UBXN1/XRCC6/BCL2/RAD21/TOPBP1/QARS1/MIOS/LRRC8C/TAF6/NPRL3/DNAJB2/ATXN3/ATF4/B2M/NR1H2/BRD4/RHBDD2/PSMB3/DGCR8/SLF1/WDR33/REV1/MAPK8IP2/FZR1/RACK1/PIDD1/SIK2/PRKAR2B/OS9/WRNIP1/PTPN11/CLU/ITPR1/TAF2/LPCAT3/RPAP2/RAD23A/EIF2AK2/SMC5/USP16/FNIP2/GRB2/CSNK2A1/ATG13/CSNK2A2/PLEC/SMARCA5/NONO/EIF2AK3/RNF111/RSL1D1/RNF126/MBTD1/FAF2/UBR4/CD2AP/BCL2L1/PPP1CA/NPLOC4/CCDC47/RNASEH2B/RIF1/FOXN3/DNAJC10/WDR48/EGLN1/FBXO31/AMFR"
"GOBP_MACROMOLECULE_CATABOLIC_PROCESS","GOBP_MACROMOLECULE_CATABOLIC_PROCESS",235,0.268688607080222,2.09669317567608,8.12397288319906e-07,0.000438423736596642,0.000361730582062442,907,"tags=52%, list=35%, signal=37%","NEAT1/HSPA1A/GFAP/PYGL/HSPA1B/TGFB1/TF/CEMIP/ANKRD9/ADCY10/RPGR/KHSRP/FBXO46/TRIM39/CTSD/RNF19B/SLC9A1/DDIT3/UBE2D4/REXO4/DFFA/CSTF2/PABPC1/METTL3/EDC4/PYGB/ADAM9/MAN2B1/DCPS/PSMC1/CDC34/SIRT1/PIAS4/KBTBD3/BARD1/ZC3H18/XBP1/RNFT1/PSME4/CAPN1/ADRM1/RBM8A/LPCAT1/USP5/SIRT6/SAMD4B/EEF1A2/KCMF1/AXIN1/CHMP2A/MAPK14/UBXN1/ABCA2/PSMC4/UBE2G1/SNRPF/KLHL18/QKI/TRIM26/PGM1/CTSB/ANGEL2/RFFL/GSPT1/DNAJB2/FBXO21/CLN8/ATXN3/CLPX/RHBDD2/PSMB3/PAN2/FZR1/RACK1/CELF1/SIK2/SMG6/OS9/MANBA/RB1CC1/CNOT6/PSMC3/CLU/DCP1A/RIOK3/KLHL4/MIDN/FBXL15/RAD23A/PTPN23/ZSWIM8/TRPC4AP/VPS37B/RC3H2/PABPC4/ZC3H12C/CSNK2A1/OXA1L/CSNK2A2/CUL5/SMURF2/RNF111/KIF16B/SND1/RNF126/FAF2/AGO4/UBR4/ZCCHC17/CD2AP/PPP1CA/UPF3B/NPLOC4/CCDC47/RNASEH2B/VGLL4/DNAJC10/PPP2R3A/AGO2/INTS8/SECISBP2/FBXO31/AMFR"
"GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION","GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION",163,0.287180337945543,2.09607136316569,4.86363590372436e-06,0.00196855663203244,0.0016241984110069,903,"tags=54%, list=35%, signal=37%","INHBA/NEAT1/HSPA1A/RGCC/ANXA1/HSPA1B/CRYAB/RELB/TGFB1/ARG2/ERBIN/MORC2/PCGF2/KHSRP/ENG/FN1/NDRG2/STOX1/SHMT1/DDIT3/EIF4G1/CSTF2/PABPC1/METTL3/EDC4/CSK/ZBTB20/DCPS/ZNFX1/APOD/SIRT1/PIAS4/LMNA/RPS26/RBM8A/SIRT6/STAT3/SAMD4B/H2AZ2/PDCD10/AXIN1/RGS2/MAPK14/SNRPF/RPS6KA5/QKI/ANGEL2/PURA/GSPT1/ATF4/NR1H2/DDX3Y/PAN2/BAHD1/DGCR8/RACK1/CELF1/SMG6/SPEN/CNOT6/PTPN11/DCP1A/SRSF4/ZSWIM8/EIF2AK2/CBX6/RC3H2/SNRNP200/ZC3H12C/CSNK2A1/CSNK2A2/RABGEF1/SMARCA5/EIF2AK3/TWSG1/SND1/SARS1/AGO4/CD2AP/UPF3B/MECP2/NPLOC4/RNASEH2B/RIF1/PRPF8/H2AZ1/AGO2/SECISBP2"
"GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION","GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION",18,0.636408792638828,2.51034121504157,1.33383031722048e-05,0.00328317429740367,0.00270885093683902,600,"tags=72%, list=23%, signal=56%","CRY1/RELB/PER1/PER2/AHR/SIRT1/CRY2/GFPT1/SIRT6/USP2/RAI1/NAMPT/ATF4"
"GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS","GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS",55,0.40952537376616,2.34326585735956,1.75312446059315e-05,0.00328317429740367,0.00270885093683902,1117,"tags=78%, list=44%, signal=45%","KHSRP/CDK11A/CSTF2/PABPC1/METTL3/EDC4/DCPS/PUF60/PIAS4/BARD1/RBM23/SRPK1/RBM8A/SAMD4B/CLNS1A/MAPK14/SNRPF/SMU1/QKI/ANGEL2/RBM14/PAN2/SAP30BP/CELF1/CNOT6/DCP1A/SRSF4/AHCYL1/RC3H2/SNRNP200/ZC3H12C/AGO4/UPF3B/PRPF8/AGO2/SECISBP2/CNOT10/SMG1/TARDBP/NUP98/KHDRBS1/EFTUD2/TUT4"
"GOBP_APOPTOTIC_SIGNALING_PATHWAY","GOBP_APOPTOTIC_SIGNALING_PATHWAY",86,0.350239657340757,2.19523918185284,1.63948621334606e-05,0.00328317429740367,0.00270885093683902,860,"tags=60%, list=34%, signal=42%","INHBA/HSPA1A/BOK/HSPA1B/HSPB1/TGFB1/CTNNA1/CD74/ADCY10/PCGF2/P2RX4/TRIM39/HIP1/PDE3A/DDIT3/ITGAV/ATAD5/SIRT1/PIAS4/XBP1/GRINA/NCK1/LMNA/SKIL/ACVR1C/STAT3/MCL1/PDCD10/STX4/BCL2/QARS1/RFFL/TAF6/ATF4/MAPK8IP1/MAPK8IP2/RACK1/PIDD1/RB1CC1/PPP1R13B/SORT1/CLU/ITPR1/FNIP2/CSNK2A1/CSNK2A2/NONO/CUL5/EIF2AK3/SGK3/BCL2L1/PPP1CA"
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM","GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",93,0.333974922431716,2.13289257952903,1.82511233333126e-05,0.00328317429740367,0.00270885093683902,827,"tags=52%, list=32%, signal=36%","HSPA1A/ANXA1/HSPA1B/RELB/IFITM3/TGFB1/CD74/TF/ARG2/C1QTNF4/ERBIN/TRIM39/RNF19B/ADAM15/PVR/CD55/METTL3/ZNFX1/PSMC1/NCK1/ADRM1/SRPK1/GPS2/STAT5B/CHUK/XRCC6/PSMC4/DDX21/DDX41/TRIM26/RBM14/B2M/NR1H2/IPO7/PSMB3/RB1CC1/WRNIP1/PSMC3/PTPN11/CLU/RIOK3/RFTN1/EIF2AK2/TMEM43/GRB2/SMARCA5/NONO/ANKHD1"
"GOBP_REGULATION_OF_RESPONSE_TO_STRESS","GOBP_REGULATION_OF_RESPONSE_TO_STRESS",168,0.270683594832509,1.98312588347785,1.68016020716438e-05,0.00328317429740367,0.00270885093683902,727,"tags=42%, list=28%, signal=32%","NEAT1/HSPA1A/C1QTNF12/BOK/SPP1/ANXA1/CRY1/HSPA1B/TGFB1/VPS72/CD74/ARG2/KANK1/C1QTNF4/ERBIN/RADX/SH2B3/STOX1/DDIT3/EIF4G1/PVR/METTL3/ATAD5/AHR/ZNFX1/SIRT1/PIAS4/TELO2/BARD1/PDGFA/XBP1/RNFT1/GRINA/NCK1/LMNA/SKIL/DNAJC2/RTCA/SIRT6/STAT3/PDCD10/GPS2/STAT5B/TDP1/CHUK/MAPK14/UBXN1/XRCC6/BCL2/QARS1/DDX41/TAF6/RBM14/ATXN3/B2M/NR1H2/BRD4/DAGLB/SLF1/MAPK8IP2/RACK1/CELF1/SIK2/PRKAR2B/PTPN11/CLU/RIOK3/RFTN1/TAF2/LPCAT3"
"GOBP_NUCLEAR_TRANSPORT","GOBP_NUCLEAR_TRANSPORT",67,0.38342762547057,2.29935459861962,2.11031283944853e-05,0.00341659648706716,0.00281893367711598,1094,"tags=79%, list=43%, signal=47%","NEAT1/RGPD2/TGFB1/FCHSD1/RANBP3/ANP32B/DDX19B/NUP107/RANGAP1/APOD/BARD1/XBP1/LMNA/CRY2/RBM8A/SIRT6/STAT3/AXIN1/MAPK14/CAMK1/LTV1/NUP58/IPO9/IPO7/NUP54/SEC13/SMG6/CHTOP/PTPN11/CPSF6/XPOT/AHCYL1/HSPA9/RANBP2/NXF1/APPL1/BACH2/CSE1L/KPNA1/DDX19A/SMG1/TARDBP/EIF4E/NUP98/NMD3/TNPO1/AKAP8L/NUP214/AHCTF1/KHDRBS1/XPO4/XPO7/KPNB1"
"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",57,0.405420388495787,2.36045851013874,2.43574033094927e-05,0.00349170474103973,0.00288090329727864,920,"tags=68%, list=36%, signal=45%","SF3A2/SMN1/ESS2/KHSRP/CDK11A/RBMXL1/PABPC1/METTL3/PPIE/DCPS/PUF60/CWC25/RBM23/SRPK1/RBM8A/CLNS1A/CWC15/PRPF3/HNRNPF/U2AF1/SNRPF/SMU1/DDX41/QKI/DHX40/RBM14/DHX38/UBL5/SART1/SAP30BP/CELF1/SRSF4/SNRNP200/DDX42/UPF3B/PRPF8/HNRNPH3/KHDC4/AQR"
"GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS",93,0.329585971534993,2.10486304745705,2.58804551528578e-05,0.00349170474103973,0.00288090329727864,922,"tags=59%, list=36%, signal=39%","NEAT1/HSPA1A/HSPA1B/TF/ADCY10/RPGR/KHSRP/PIP4K2A/PABPC1/METTL3/EDC4/ADAM9/ZBTB20/DCPS/ELAPOR1/SIRT1/BARD1/ZC3H18/XBP1/RNFT1/LPCAT1/USP5/SIRT6/SAMD4B/AXIN1/ABCA2/QKI/NPRL3/DNAJB2/ATXN3/DAGLB/PAN2/FZR1/RACK1/CELF1/SIK2/RB1CC1/CNOT6/PSMC3/CLU/DCP1A/RAD23A/ZSWIM8/INSR/RC3H2/ZC3H12C/CSNK2A1/ATG13/AGO4/UBR4/VGLL4/PPP2R3A/AGO2/MTDH/TMEM59"
