"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",20,-0.821090731710392,-2.68003195368142,1e-10,1.42777777777778e-08,1.20584795321637e-08,186,"tags=80%, list=13%, signal=70%","GABRB3/NLGN1/GRIA2/GRIN2A/GRIA1/GRM5/GABRB1/GRIA4/HCN1/GRIN1/CELF4/KCND2/RIMS2/RIMS1/SYT1/NRXN1"
"GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING",101,-0.592413751575621,-2.61320228495762,1e-10,1.42777777777778e-08,1.20584795321637e-08,253,"tags=50%, list=18%, signal=44%","CX3CR1/NALCN/S100B/DMD/PTPRD/SLC1A2/NRXN3/DLG2/GABRB3/FGF12/CNP/NLGN1/CHRM3/CADPS2/SLC24A2/SNAP25/GRIA2/IL1B/GRIN2A/GRIA1/CALM3/GRM5/IL1RAPL1/GABRB1/GRM3/NTRK2/PLCB1/PTPRN2/GRIA4/PPFIA2/DLGAP1/HCN1/SLC4A10/NRGN/GRIN1/CELF4/TENM2/SHISA9/NRG3/CACNA1B/CNTN4/DLGAP2/KCND2/RIMS2/RIMS1/SYT1/SGCZ/SNTG1/CADPS/NRXN1"
"GOBP_CELL_PROJECTION_MORPHOGENESIS","GOBP_CELL_PROJECTION_MORPHOGENESIS",90,-0.584958131973305,-2.55194033512066,1e-10,1.42777777777778e-08,1.20584795321637e-08,260,"tags=50%, list=19%, signal=43%","RPS6KA5/UCHL1/RPL24/S100B/STMN1/PTPRD/CTNND2/NRXN3/NCAM1/NRCAM/GABRB3/APBB2/CNP/CXCL12/NLGN1/CCK/CNTN5/ADGRB3/TNIK/UNC5C/GAP43/CNTNAP2/SPTBN4/GPM6A/GRM5/IL1RAPL1/NTRK2/CTNNA2/CNTN1/CHN1/MAP2/NR4A2/SEMA6D/PPFIA2/UNC5D/ROBO2/CNTN4/EFNA5/RIMS2/NELL2/NEGR1/RIMS1/SYT1/NRXN1/KALRN"
"GOBP_NEURON_DEVELOPMENT","GOBP_NEURON_DEVELOPMENT",151,-0.545008604176391,-2.52025920266768,1e-10,1.42777777777778e-08,1.20584795321637e-08,267,"tags=45%, list=19%, signal=41%","TENM3/APOD/MYLIP/RPS6KA5/UCHL1/RPL24/S100B/CAPS2/AGBL4/DMD/STMN1/MAGI2/PTPRK/PTPRD/CTNND2/NCAM2/PBX1/NRXN3/NCAM1/NRCAM/GABRB3/APBB2/CNP/CXCL12/NLGN1/CCK/CNTN5/SNAP25/ADGRB3/TNIK/UNC5C/GAP43/PTPRT/CNTNAP2/SPTBN4/OPCML/GPM6A/GRM5/IL1RAPL1/GABRB1/NTRK2/CTNNA2/FUT9/CNTN1/CHN1/MAP2/NR4A2/ADGRV1/LRRC7/SEMA6D/NTM/CSMD3/PPFIA2/HCN1/SLC4A10/UNC5D/ENC1/TENM2/ROBO2/CNTN4/EFNA5/RIMS2/NELL2/NEGR1/RIMS1/SYT1/NRXN1/KALRN"
"GOBP_NERVOUS_SYSTEM_PROCESS","GOBP_NERVOUS_SYSTEM_PROCESS",86,-0.569106712644059,-2.46709362303574,1e-10,1.42777777777778e-08,1.20584795321637e-08,285,"tags=50%, list=21%, signal=42%","TMOD2/TAFA2/ATP8A1/UCHL1/NALCN/S100B/DMD/NRXN3/NRCAM/GABRB3/FGF12/CXCL12/NLGN1/SLC24A2/CNTN5/SNAP25/ADGRB3/CAMK2N1/CNTNAP2/SPTBN4/GRIN2A/UNC79/GRIA1/GRM5/NTRK2/PLCB1/CTNNA2/KCNMB2/ADGRV1/HCN1/SLC4A10/NRGN/GRIN1/CELF4/ASIC2/KCND2/CSMD1/RIMS2/RIMS1/SYT1/NRXN1/KCTD16/NALF1"
"GOBP_CELL_CELL_SIGNALING","GOBP_CELL_CELL_SIGNALING",133,-0.541086119727145,-2.45838231839233,1e-10,1.42777777777778e-08,1.20584795321637e-08,253,"tags=44%, list=18%, signal=39%","CX3CR1/NALCN/S100B/DMD/GAL3ST4/PTPRD/SLC1A2/NRXN3/DLG2/GABRB3/FGF12/CNP/CXCL12/NLGN1/CHRM3/CADPS2/SLC24A2/WLS/SNAP25/GRIA2/IL1B/CACNA2D1/GRIN2A/GRIA1/CALM3/GRM5/IL1RAPL1/GABRB1/GRM3/NTRK2/PLCB1/CCL8/RYR2/PTPRN2/GRIA4/PPFIA2/DLGAP1/HCN1/SLC4A10/NRGN/GRIN1/CELF4/TENM2/SHISA9/NRG3/CACNA1B/CNTN4/DLGAP2/KCND2/EFNA5/RIMS2/RIMS1/SYT1/SGCZ/SNTG1/FGF14/CADPS/NRXN1"
"GOBP_SYNAPSE_ORGANIZATION","GOBP_SYNAPSE_ORGANIZATION",89,-0.560633292720158,-2.44169419328246,1e-10,1.42777777777778e-08,1.20584795321637e-08,274,"tags=47%, list=20%, signal=40%","DAAM1/RPS6KA5/CX3CR1/CAPS2/PTPRD/CTNND2/NRXN3/NRCAM/GABRB3/ERBB4/ADGRL3/APBB2/NLGN1/LINGO2/CNTN5/ADGRB3/GAP43/CDH10/SPTBN4/OPCML/GPM6A/GRIA1/GRM5/IL1RAPL1/NTRK2/CTNNA2/CACNA2D3/NTM/PPFIA2/LSAMP/ROBO2/FRMPD4/LRRTM4/SPARCL1/ASIC2/NRG3/CNTN4/EFNA5/RIMS2/NEGR1/RIMS1/NRXN1"
"GOBP_GENERATION_OF_NEURONS","GOBP_GENERATION_OF_NEURONS",193,-0.481154450685189,-2.26439646013619,1e-10,1.42777777777778e-08,1.20584795321637e-08,267,"tags=39%, list=19%, signal=37%","TENM3/APOD/MYLIP/RPS6KA5/UCHL1/CX3CR1/RPL24/S100B/CAPS2/SH3GL3/AGBL4/DMD/STMN1/SATB2/MAGI2/PTPRK/PTPRD/CTNND2/NCAM2/PBX1/NRXN3/NCAM1/NRCAM/GABRB3/ERBB4/ADGRL3/APBB2/CNP/CXCL12/NLGN1/CCK/CNTN5/SNAP25/ADGRB3/TNIK/UNC5C/GAP43/PTPRT/CNTNAP2/SPTBN4/OPCML/GPM6A/GRM5/IL1RAPL1/MDGA2/GABRB1/NTRK2/CTNNA2/FUT9/CNTN1/CHN1/MAP2/NR4A2/ADGRV1/LRRC7/SEMA6D/NTM/CSMD3/PPFIA2/HCN1/SLC4A10/UNC5D/ENC1/TENM2/ROBO2/NRG3/CNTN4/EFNA5/RIMS2/NELL2/NEGR1/RIMS1/SYT1/TAFA1/NRXN1/KALRN"
"GOBP_NEUROGENESIS","GOBP_NEUROGENESIS",216,-0.459708973924589,-2.17832031175463,1e-10,1.42777777777778e-08,1.20584795321637e-08,267,"tags=38%, list=19%, signal=36%","TENM3/APOD/MYLIP/RPS6KA5/UCHL1/CX3CR1/RPL24/S100B/CAPS2/SH3GL3/AGBL4/DMD/STMN1/SATB2/MAGI2/PTPRK/PTPRD/CTNND2/NCAM2/PBX1/NRXN3/NCAM1/NRCAM/GABRB3/ERBB4/ADGRL3/FGF12/APBB2/CNP/CXCL12/NLGN1/CCK/CLU/CNTN5/SNAP25/ADGRB3/TNIK/IL1B/UNC5C/GAP43/PTPRT/CNTNAP2/SPTBN4/OPCML/GRIN2A/GPM6A/GRM5/IL1RAPL1/MDGA2/GABRB1/NTRK2/CTNNA2/FUT9/CNTN1/CHN1/MAP2/NR4A2/ADGRV1/LRRC7/SEMA6D/NTM/CSMD3/PPFIA2/HCN1/SLC4A10/UNC5D/ENC1/TENM2/ROBO2/NRG3/CNTN4/EFNA5/RIMS2/NELL2/NEGR1/RIMS1/SYT1/FGF14/TAFA1/NRXN1/KALRN"
"GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY",72,-0.589227339201317,-2.48610589409109,1.3432332324065e-10,1.72605470364236e-08,1.45776153959064e-08,222,"tags=46%, list=16%, signal=41%","PTPRK/PTPRD/DLC1/NRXN3/NRCAM/GABRB3/ERBB4/ADGRL3/NLGN1/LINGO2/CNTN5/ADGRB3/IL1B/GAP43/CDH10/CNTNAP2/OPCML/GPM6A/GRIA1/LIMCH1/IL1RAPL1/SORBS1/NTRK2/NTM/LSAMP/ROBO2/LRRTM4/ASIC2/NRG3/EFNA5/NEGR1/CDH12/NRXN1"
