"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING",232,-0.384040974800915,-2.10023780909389,3.11351989229815e-08,6.82172208402525e-05,5.59778102741605e-05,1229,"tags=52%, list=32%, signal=37%","GABRB1/GRIN2D/TBC1D24/SGCZ/FARP1/GRM5/VPS13A/ELOVL4/PLCB1/GRIA4/DTNBP1/PDE7B/DCC/DSCAM/NLGN4X/IGSF21/ACHE/SERPINE2/KCNQ3/PRKCB/DISC1/RELN/NRG3/STXBP1/DLGAP1/CAMK2B/NETO1/NXPH1/AKAP7/FGF12/NGF/ARHGAP44/S100B/SLC7A10/KCND3/GABRB3/CALM3/LAMP5/MCTP1/HOMER1/PLCL2/NRXN1/KCNB1/TMEM108/AMPH/CACNB4/NTRK2/IQSEC2/LY6H/FRRS1L/CYP46A1/LYPD1/PFN2/BCHE/TSHZ3/RIMS1/CNRIP1/RIMBP2/SLC8A3/PDZD11/ERC2/CACNB2/YWHAH/KCNK2/DLG3/GRM8/PCLO/CDH8/RIT2/GABBR2/GABRA2/CADPS/SLC4A10/SYN3/CAMK2A/SNCAIP/NRN1/SYT1/EPHA7/SHANK1/LRFN2/GRIA1/SLC12A5/UTRN/SYN2/PRKAR2B/ADARB1/SHANK2/GABRG2/SV2B/CBLN2/MEF2C/APOE/GABRA1/STX1A/CACNA1E/CPLX2/CELF4/GRIN2B/LRRC4/GRIN2A/NRGN/JPH3/NPTX1/CNTN4/RPH3A/HCN1/CUX2/GABRB2/CACNG3/CLSTN2/GRIN3A/GRM1/CACNA1B/GRM4/EPHA4/TENM2/GABRG3/HTR2C/DLGAP2"
"GOBP_SYNAPSE_ORGANIZATION","GOBP_SYNAPSE_ORGANIZATION",192,-0.395793069460126,-2.10806411385575,9.23152297554203e-08,0.000101131334197063,8.298653285382e-05,1258,"tags=54%, list=33%, signal=38%","CDKL5/MARK1/SPARCL1/WASF3/ARMCX5-GPRASP2/FARP1/GRM5/ARHGEF9/WASF1/RAP2A/DTNBP1/DSCAM/NLGN4X/TLN2/IGSF21/ACHE/CACNA2D3/LRFN5/DISC1/RELN/OPCML/NRG3/CAMK2B/NEGR1/ARHGAP44/SRGAP3/SDK1/GABRB3/TENM4/HOMER1/CNKSR2/NRXN1/ARHGAP39/TMEM108/DAB1/GPM6A/FLRT1/CACNB4/NTRK2/CTNNA2/IQSEC2/DAAM1/SYBU/FRRS1L/CRTAC1/PFN2/LRRN1/RIMS1/SLC8A3/PDZD11/ERC2/LNX1/CACNB2/PTPRO/PCLO/CAP2/CDH8/KY/GABRA2/SMAD3/SYN3/NRN1/PAK3/WNT7B/CDH6/EPHA7/SHANK1/LRFN2/PRICKLE1/GRIA1/PPFIA4/SLC12A5/SYN2/ADD2/SHANK2/GABRG2/CBLN2/MEF2C/APOE/FLRT3/SLIT1/GABRA1/ASIC2/CNTN5/FGF13/GRIN2B/LRRC4/NPTX1/CNTN4/CDH9/CUX2/PDZRN3/SH3GL2/EFNA5/GABRB2/CLSTN2/CNTN6/ADGRL2/EPHA4/ROBO2/LINGO2/GABRG3/FRMPD4"
"GOBP_CELL_CELL_SIGNALING","GOBP_CELL_CELL_SIGNALING",308,-0.346912732348659,-1.93478392298485,1.8746484857345e-07,0.000136911827741476,0.000112347354864369,1229,"tags=48%, list=32%, signal=36%","GABRB1/GRIN2D/TBC1D24/SGCZ/ECE2/FARP1/GRM5/VPS13A/THY1/ELOVL4/PLCB1/GRIA4/DTNBP1/PDE7B/DCC/DSCAM/NLGN4X/TM7SF3/IGSF21/ACHE/SERPINE2/KCNQ3/PRKCB/DISC1/RELN/CPE/NRG3/STXBP1/DLGAP1/CAMK2B/NETO1/MYRIP/NXPH1/AKAP7/FGF12/NGF/ARHGAP44/VIPR2/S100B/SLC7A10/KCND3/GABRB3/CALM3/LAMP5/MCTP1/HOMER1/PLCL2/NRXN1/RAPGEF4/KCNB1/TMEM108/AMPH/CACNB4/NTRK2/IQSEC2/LY6H/FRRS1L/SLC16A10/CYP46A1/LYPD1/PFN2/BCHE/KCNN2/TSHZ3/CACNA1C/TEK/HES1/RIMS1/CNRIP1/RIMBP2/SLC8A3/PDZD11/SOX4/ERC2/CACNB2/EPHA5/YWHAH/KCNK2/DLG3/GRM8/PCLO/CDH8/RIT2/GABBR2/PIANP/GABRA2/CADPS/SLC4A10/SYN3/CAMK2A/SNCAIP/NRN1/SYT1/EPHA7/EDNRB/SHANK1/LRFN2/TRHDE/GPLD1/GRIA1/SLC12A5/UTRN/SYN2/CXCL14/PRKAR2B/KCNA2/ADARB1/SHANK2/GABRG2/SV2B/DAB2/CBLN2/MEF2C/APOE/GABRA1/STX1A/CACNA1E/CPLX2/RYR2/CELF4/FGF13/GRIN2B/LRRC4/GRIN2A/NRGN/JPH3/NPTX1/CNTN4/RPH3A/HCN1/SOX11/CUX2/VSNL1/EFNA5/GABRB2/SCN3B/MLXIPL/CACNG3/CLSTN2/GRIN3A/KCNJ3/GRM1/CACNA1B/GRM4/EPHA4/TENM2/GABRG3/HTR2C/DLGAP2"
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",163,-0.404195452649012,-2.11414896121899,3.50984685564531e-07,0.000192251861517972,0.000157758379722163,1229,"tags=55%, list=32%, signal=39%","GABRB1/GRIN2D/TBC1D24/GRM5/VPS13A/ELOVL4/PLCB1/GRIA4/DTNBP1/DCC/NLGN4X/IGSF21/ACHE/SERPINE2/KCNQ3/PRKCB/DISC1/RELN/NRG3/STXBP1/DLGAP1/CAMK2B/NETO1/NXPH1/AKAP7/NGF/ARHGAP44/S100B/SLC7A10/GABRB3/CALM3/LAMP5/MCTP1/HOMER1/PLCL2/NRXN1/KCNB1/TMEM108/CACNB4/NTRK2/IQSEC2/FRRS1L/CYP46A1/PFN2/BCHE/TSHZ3/RIMS1/CNRIP1/SLC8A3/YWHAH/KCNK2/GRM8/SLC4A10/SYN3/CAMK2A/SNCAIP/NRN1/SYT1/EPHA7/SHANK1/LRFN2/GRIA1/PRKAR2B/SHANK2/GABRG2/SV2B/CBLN2/MEF2C/APOE/STX1A/CPLX2/CELF4/GRIN2B/LRRC4/GRIN2A/NRGN/JPH3/CNTN4/HCN1/CUX2/GABRB2/CACNG3/CLSTN2/GRIN3A/GRM1/CACNA1B/GRM4/EPHA4/DLGAP2"
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_MEMBRANE_POTENTIAL",120,-0.437985233715205,-2.19634425463096,5.69198206624508e-07,0.000249422654142859,0.000204671691982034,1229,"tags=58%, list=32%, signal=41%","GABRB1/GRIN2D/TBC1D24/GRM5/ELOVL4/NALF1/GRIA4/BNIP3/NLGN4X/KCNQ3/RGS7/SCN8A/RELN/SLC8A1/NETO1/AKAP7/FGF12/GNA14/KCND3/GABRB3/CALM3/NRXN1/KCNB1/TMEM108/CACNB4/NTRK2/KCNH1/PID1/KCNH5/UNC80/KCNN2/CACNA1C/RIMS1/SLC8A3/CACNB2/YWHAH/KCNK2/GABRA2/SMAD3/RGS7BP/MLLT11/SYT1/SHANK1/GRIA1/SLC24A4/KCNA2/GABRG2/KCNH3/SLC4A4/MEF2C/GABRA1/STX1A/ASIC2/RYR2/CELF4/FGF13/GRIN2B/GRIN2A/HCN1/CUX2/GABRB2/SCN3B/GRIN3A/KCNJ3/KCNB2/GRM1/SCN7A/KCNH7/GABRG3/KCNC2"
"GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION",46,0.495315705539142,2.47851612949601,1.92866879302684e-06,0.000704285554253634,0.000577923912015761,602,"tags=48%, list=16%, signal=41%","TEX14/KIF25/SMC4/UHRF1/SEH1L/ANLN/NDE1/SMC1A/CAV2/DUSP1/MAD2L2/TGFB1/NCAPD2/GEN1/EML3/DAPK3/L3MBTL1/CEP85/CDKN1C/NFE2L1/CCSAP/KIF20B"
"GOBP_PROTEIN_FOLDING","GOBP_PROTEIN_FOLDING",48,0.467915711186898,2.39256293570675,3.80255200112123e-06,0.0010745886650279,0.000881787907404768,1609,"tags=79%, list=42%, signal=47%","FKBP5/HSPB1/CCT6B/DNAJB2/CRYAB/HYPK/DNAJB1/DNAJB4/AHSA1/FKBP4/SDF2L1/HSPBP1/QSOX2/HSPA4/CHORDC1/HSP90AB1/HSPA2/PTGES3/P4HB/HSP90AA1/NUDC/SDHAF4/DNAJA1/HSPA5/TBCE/DNAJC2/DNAJC21/PFDN2/HSPE1/QSOX1/TUBA1A/COX14/CCT6A/HSPA9/CCT5/CCDC47/TSC1/TCP1"
"GOBP_REGULATION_OF_CELL_CYCLE","GOBP_REGULATION_OF_CELL_CYCLE",208,0.263293556242129,1.90469205853941,3.92364642639124e-06,0.0010745886650279,0.000881787907404768,935,"tags=37%, list=24%, signal=29%","GADD45B/TEX14/KIF25/CCNQ/PIM3/FAP/SMC4/SFRP1/CDKN2A/CCP110/ADAMTS1/ANLN/FBXO31/CDK11A/BCL2L1/FEN1/NUPR1/FAM107A/ZBTB17/CDK11B/TTL/DOT1L/PES1/IQGAP1/UHRF2/STAT3/CAV2/TCF3/DUSP1/RFC4/MAD2L2/CDK18/TGFB1/FGFR2/NCAPD2/EVI2B/GIT1/GEN1/EML3/DAPK3/DCAF11/L3MBTL1/NSUN2/SASS6/CDK2AP2/CEP85/DUSP3/CDKN1C/NFE2L1/CCSAP/KIF20B/NR4A1/WDR5/NUP214/DDR2/BIN1/CHORDC1/ANAPC2/JADE2/HSP90AB1/BCL7C/BCL6/RAD23A/HSPA2/KLHL21/CPSF3/KAT5/CRY1/E4F1/DDRGK1/ATAD5/RPTOR/MADD/BRSK1/RCC2/NHERF1"
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",49,-0.534638357107496,-2.28388090827559,6.49848162284839e-06,0.00158201924840676,0.00129817621190936,1229,"tags=69%, list=32%, signal=48%","GABRB1/GRIN2D/TBC1D24/GRM5/ELOVL4/GRIA4/NLGN4X/RGS7/RELN/NETO1/GABRB3/NRXN1/TMEM108/RIMS1/SLC8A3/GABRA2/RGS7BP/SYT1/SHANK1/GRIA1/KCNA2/GABRG2/MEF2C/GABRA1/STX1A/CELF4/GRIN2B/GRIN2A/HCN1/CUX2/GABRB2/GRIN3A/GRM1/GABRG3"
"GOBP_CYTOKINE_PRODUCTION","GOBP_CYTOKINE_PRODUCTION",117,0.325283365034145,2.10161782655787,8.05101422604863e-06,0.00176397721692726,0.00144748761032538,975,"tags=42%, list=25%, signal=32%","IL6R/SERPINB1/RELA/ICOSLG/TRIM56/HSPB1/KLF15/ERBIN/CD55/ZFP36/NFKBIA/LPL/EGR1/FRMD8/ARRB1/MAP2K3/ZBTB17/PER1/PBLD/OTUD5/ARID5A/ARG2/IQGAP1/STAT3/HAVCR2/SEMA7A/ZBTB26/NDRG2/ATF4/TGFB1/GIT1/ZBTB37/CD81/NFKBIL1/ARHGEF2/MPHOSPH8/IRF3/BCL6/TMED10/RIGI/KAT5/NPLOC4/HSP90AA1/OTUD7B/IFI16/RNF125/PATZ1/RPS6KA5/MAPKAPK2"
