"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_MEMBRANE_POTENTIAL",35,-0.66060384986834,-2.55629618427235,7.2816621570855e-09,3.61276133923369e-06,2.90587553077024e-06,114,"tags=63%, list=20%, signal=54%","UNC79/GRIA2/KCNK2/RYR2/KCNJ13/ASIC2/NRCAM/NALF1/GRM1/GABRB1/GRIA1/CELF4/KCND2/SLC4A4/RIMS2/GRM5/KCNMA1/GABRB2/KCNMB2/SLC8A1/SYT1/NRXN1"
"GOBP_CELL_CELL_SIGNALING","GOBP_CELL_CELL_SIGNALING",71,-0.55283793216114,-2.39395847812652,1.20025293662249e-08,3.61276133923369e-06,2.90587553077024e-06,108,"tags=46%, list=19%, signal=43%","GRIA2/DLGAP1/PRKCB/KCNK2/RYR2/BMP6/EPHA4/PCLO/CADPS2/DLGAP2/GRM1/GABRB1/NNAT/GRIA1/TENM2/SNTG1/CELF4/IL18/DSCAM/KCND2/NPTX1/ERC2/RIMS2/GRM5/CLSTN2/CHRM3/GABRB2/NRG3/CADPS/SNAP25/SYT1/FGF14/NRXN1"
"GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING",60,-0.552960280996406,-2.35269740365119,3.4197221018982e-08,6.86224235114238e-06,5.51955146271288e-06,108,"tags=47%, list=19%, signal=42%","GRIA2/DLGAP1/PRKCB/KCNK2/EPHA4/PCLO/CADPS2/DLGAP2/GRM1/GABRB1/GRIA1/TENM2/SNTG1/CELF4/DSCAM/KCND2/NPTX1/ERC2/RIMS2/GRM5/CLSTN2/CHRM3/GABRB2/NRG3/CADPS/SNAP25/SYT1/NRXN1"
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",14,-0.779993494097071,-2.39557246508348,5.35064228446149e-07,8.05271663811455e-05,6.47709329171655e-05,56,"tags=71%, list=10%, signal=66%","GRM1/GABRB1/GRIA1/CELF4/KCND2/RIMS2/GRM5/GABRB2/SYT1/NRXN1"
"GOBP_SYNAPSE_ORGANIZATION","GOBP_SYNAPSE_ORGANIZATION",55,-0.528048469283677,-2.22259968602187,2.02190221347594e-06,0.000243437026502503,0.000195805266989249,158,"tags=56%, list=27%, signal=45%","ITSN1/EPHA7/GPM6A/CACNA2D3/LRRTM4/PDZRN3/OPCML/ARHGAP44/TLN2/CTNNA2/LSAMP/EPHA4/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/ERC2/RIMS2/GRM5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_SYNAPSE_ASSEMBLY","GOBP_SYNAPSE_ASSEMBLY",31,-0.611704799869505,-2.28449584863879,6.20477133282863e-06,0.000571836863061767,0.000459949216660977,151,"tags=68%, list=26%, signal=53%","EPHA7/GPM6A/LRRTM4/OPCML/LSAMP/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_CELL_JUNCTION_ORGANIZATION","GOBP_CELL_JUNCTION_ORGANIZATION",64,-0.499892258973469,-2.13990547405593,6.64926584955542e-06,0.000571836863061767,0.000459949216660977,158,"tags=53%, list=27%, signal=44%","ITSN1/EXT1/EPHA7/GPM6A/CACNA2D3/LRRTM4/PDZRN3/OPCML/ARHGAP44/TLN2/CTNNA2/LSAMP/BMP6/PATJ/EPHA4/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/ERC2/RIMS2/GRM5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_NERVOUS_SYSTEM_PROCESS","GOBP_NERVOUS_SYSTEM_PROCESS",57,-0.495956922250959,-2.09855857056549,2.79224922412694e-05,0.00210116754115552,0.0016900455830242,103,"tags=44%, list=18%, signal=40%","UNC79/KCNK2/CTNNA2/EYS/EYA1/ASIC2/NRCAM/NALF1/ITGA8/GRM1/GRIA1/NLGN4Y/CELF4/KCND2/CNTN5/THRB/RIMS2/GRM5/CLSTN2/KCNMB2/SNAP25/CSMD1/SYT1/NRXN1/KCTD16"
"GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE","GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE",18,-0.663141702580686,-2.18304920386436,4.63990141239622e-05,0.00253929150023866,0.00204244464086341,104,"tags=56%, list=18%, signal=47%","PRKCB/PCLO/CADPS2/ERC2/RIMS2/CADPS/SNAP25/SYT1/NRG1/NRXN1"
"GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY",40,-0.545944723147932,-2.17282349019464,3.92638561913847e-05,0.00253929150023866,0.00204244464086341,151,"tags=57%, list=26%, signal=46%","EPHA7/GPM6A/LRRTM4/OPCML/TLN2/LSAMP/PATJ/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS","GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS",10,-0.780807071097042,-2.16014024263324,4.23347966192599e-05,0.00253929150023866,0.00204244464086341,104,"tags=80%, list=18%, signal=67%","PRKCB/PCLO/CADPS2/ERC2/RIMS2/CADPS/SNAP25/SYT1"
"GOBP_NEUROTRANSMITTER_SECRETION","GOBP_NEUROTRANSMITTER_SECRETION",14,-0.698201296603217,-2.14436634906098,7.31655718252647e-05,0.00367047285323411,0.00295229500347559,104,"tags=64%, list=18%, signal=54%","PRKCB/PCLO/CADPS2/ERC2/RIMS2/CADPS/SNAP25/SYT1/NRXN1"
