"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_MEMBRANE_POTENTIAL",35,-0.66060384986834,-2.53407535205395,1.26740610495831e-08,3.8148923759245e-06,3.14183302860717e-06,114,"tags=63%, list=20%, signal=54%","UNC79/GRIA2/KCNK2/RYR2/KCNJ13/ASIC2/NRCAM/NALF1/GRM1/GABRB1/GRIA1/CELF4/KCND2/SLC4A4/RIMS2/GRM5/KCNMA1/GABRB2/KCNMB2/SLC8A1/SYT1/NRXN1"
"GOBP_CELL_CELL_SIGNALING","GOBP_CELL_CELL_SIGNALING",71,-0.55283793216114,-2.38997932675646,7.10471693041983e-09,3.8148923759245e-06,3.14183302860717e-06,108,"tags=46%, list=19%, signal=43%","GRIA2/DLGAP1/PRKCB/KCNK2/RYR2/BMP6/EPHA4/PCLO/CADPS2/DLGAP2/GRM1/GABRB1/NNAT/GRIA1/TENM2/SNTG1/CELF4/IL18/DSCAM/KCND2/NPTX1/ERC2/RIMS2/GRM5/CLSTN2/CHRM3/GABRB2/NRG3/CADPS/SNAP25/SYT1/FGF14/NRXN1"
"GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING",60,-0.552960280996406,-2.32818804843219,1.04856265139173e-07,2.10411572045941e-05,1.73288775019476e-05,108,"tags=47%, list=19%, signal=42%","GRIA2/DLGAP1/PRKCB/KCNK2/EPHA4/PCLO/CADPS2/DLGAP2/GRM1/GABRB1/GRIA1/TENM2/SNTG1/CELF4/DSCAM/KCND2/NPTX1/ERC2/RIMS2/GRM5/CLSTN2/CHRM3/GABRB2/NRG3/CADPS/SNAP25/SYT1/NRXN1"
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",14,-0.779993494097071,-2.38974739314691,5.88751526292403e-07,8.86071047070067e-05,7.29742023378216e-05,56,"tags=71%, list=10%, signal=66%","GRM1/GABRB1/GRIA1/CELF4/KCND2/RIMS2/GRM5/GABRB2/SYT1/NRXN1"
"GOBP_SYNAPSE_ORGANIZATION","GOBP_SYNAPSE_ORGANIZATION",55,-0.528048469283677,-2.19517686767378,3.20133523768624e-06,0.00032120063551452,0.000264531385429863,158,"tags=56%, list=27%, signal=45%","ITSN1/EPHA7/GPM6A/CACNA2D3/LRRTM4/PDZRN3/OPCML/ARHGAP44/TLN2/CTNNA2/LSAMP/EPHA4/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/ERC2/RIMS2/GRM5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_CELL_JUNCTION_ORGANIZATION","GOBP_CELL_JUNCTION_ORGANIZATION",64,-0.499892258973469,-2.12976833565623,2.7535540016354e-06,0.00032120063551452,0.000264531385429863,158,"tags=53%, list=27%, signal=44%","ITSN1/EXT1/EPHA7/GPM6A/CACNA2D3/LRRTM4/PDZRN3/OPCML/ARHGAP44/TLN2/CTNNA2/LSAMP/BMP6/PATJ/EPHA4/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/ERC2/RIMS2/GRM5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_SYNAPSE_ASSEMBLY","GOBP_SYNAPSE_ASSEMBLY",31,-0.611704799869505,-2.28661806630423,3.85487064249214e-06,0.000331518875254324,0.000273029183851699,151,"tags=68%, list=26%, signal=53%","EPHA7/GPM6A/LRRTM4/OPCML/LSAMP/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS","GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS",10,-0.780807071097042,-2.1489445768281,1.64243085664749e-05,0.00123592921962724,0.00101787491247496,104,"tags=80%, list=18%, signal=67%","PRKCB/PCLO/CADPS2/ERC2/RIMS2/CADPS/SNAP25/SYT1"
"GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY",40,-0.545944723147932,-2.1586048556242,2.79211117934593e-05,0.00168085092996625,0.00138429933207572,151,"tags=57%, list=26%, signal=46%","EPHA7/GPM6A/LRRTM4/OPCML/TLN2/LSAMP/PATJ/LRFN5/PCLO/ASIC2/NRCAM/SRGAP3/GRIA1/NLGN4Y/DSCAM/NPTX1/CNTN5/CLSTN2/GABRB2/NRG3/LINGO2/ROBO2/NRXN1"
"GOBP_NERVOUS_SYSTEM_PROCESS","GOBP_NERVOUS_SYSTEM_PROCESS",57,-0.495956922250959,-2.07314478778371,2.75177098133992e-05,0.00168085092996625,0.00138429933207572,103,"tags=44%, list=18%, signal=40%","UNC79/KCNK2/CTNNA2/EYS/EYA1/ASIC2/NRCAM/NALF1/ITGA8/GRM1/GRIA1/NLGN4Y/CELF4/KCND2/CNTN5/THRB/RIMS2/GRM5/CLSTN2/KCNMB2/SNAP25/CSMD1/SYT1/NRXN1/KCTD16"
