"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",35,0.473841169968817,2.00589139671612,0.00103862951582406,0.0446610691804345,0.0393585921785959,531,"tags=40%, list=18%, signal=33%","GADD45B/STAT5A/MAFF/TRIP10/RELB/LDLR/TGIF1/DUSP1/NFKBIA/DNAJB4/TNIP2/PER1/TIPARP/BCL6"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",29,0.471614227086183,1.89043490692848,0.00229147563719383,0.0492667261996672,0.0434174331257777,1574,"tags=100%, list=53%, signal=47%","HELLS/MXD3/CIT/CTPS1/CENPE/NUP107/DONSON/SHMT1/LIG1/ANP32E/H2AX/TBRG4/SNRPB/ORC2/TIPIN/MRE11/DDX39A/CSE1L/DNMT1/DEK/POLA2/CCP110/LBR/XPO1/CBX5/NUP153/SYNCRIP/STMN1/PNN"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",40,0.41296505057499,1.79708202576396,0.00467712933260599,0.0670388537673525,0.0590795284118651,1578,"tags=92%, list=53%, signal=44%","PABPC4/RFC4/CTPS1/CSTF2/HSP90AB1/STARD7/PTGES3/HDGF/CCT5/FBL/ORC2/SSBP1/CBX3/PABPC1/EIF4E/TCP1/GOT2/BUB3/HSPD1/IARS1/GNL3/EIF4H/CCT4/DEK/PSMD3/PSMC6/CCT3/HDAC2/G3BP1/XPO1/DDX21/ABCE1/VDAC3/SRSF7/CCT2/SYNCRIP/PSMA6"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",34,0.400726984089225,1.68211953205763,0.0200755315556221,0.197688014543195,0.174217099719829,626,"tags=44%, list=21%, signal=35%","MAFF/NOCT/DUSP1/SLC6A6/JMJD6/DPYSL4/CHST3/DDIT4/SIAH2/RRAGD/TIPARP/ISG20/BCL2/ERRFI1/TGFB3"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",22,0.452831692870344,1.67777862455622,0.0234070790769431,0.197688014543195,0.174217099719829,777,"tags=45%, list=26%, signal=34%","HSPB1/GADD45B/EBP/DNAJA1/LMNA/ISG20/DAP3/IGF2R/BCL2L1/ADD1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",21,0.440156227539307,1.61426910650213,0.0275843741223063,0.197688014543195,0.174217099719829,623,"tags=43%, list=21%, signal=34%","BAG3/DNAJA4/WIPI1/DDIT4/TSPYL2/ERN1/GOSR2/H2AX/EXOSC9"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",13,0.511369671428219,1.60424187947997,0.0364557159408343,0.223942255065125,0.19735425170978,1187,"tags=85%, list=40%, signal=51%","NIP7/WDR74/IMP4/TBRG4/CBX3/TCOF1/PES1/HSPD1/MPHOSPH10/GNL3/SUPV3L1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",26,0.393618979953788,1.52871887880204,0.0531732418524871,0.239522546419098,0.211084741030295,669,"tags=42%, list=23%, signal=33%","SAMHD1/ARL4A/IRF9/NFKBIA/TOR1B/MVP/SP110/RIPK1/ISG20/LATS2/STAT3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",11,0.51864104033106,1.52546331582968,0.0604982206405694,0.239522546419098,0.211084741030295,530,"tags=45%, list=18%, signal=37%","TENT5A/IRF9/SELL/SP110/ISG20"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",14,0.469649281495277,1.51891610234055,0.0532646048109966,0.239522546419098,0.211084741030295,1103,"tags=79%, list=37%, signal=49%","PDGFC/IL17RB/IRF9/PTPN11/STAT3/TYK2/TGFB1/IL10RB/PTPN2/IL6ST/STAT2"
