"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",51,-0.709244578017315,-2.8336239582237,1e-10,2.48e-08,2.21052631578947e-08,221,"tags=67%, list=16%, signal=58%","PTPRD/SLC1A2/NRXN3/DLG2/GABRB3/ERBB4/KCNH8/NLGN1/SNAP25/GRIA2/GRIN2A/KCNQ5/GRIA1/GRM5/IL1RAPL1/GABRB1/PLCB1/KCNMB2/CACNA2D3/GRIA4/LRRC7/PPFIA2/DLGAP1/HCN1/NRGN/GRIN1/LRRTM4/CACNA1B/DLGAP2/KCND2/RIMS1/SYT1/NRXN1/NRG1"
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES",17,-0.821027223420319,-2.60079343446468,9.19444641784443e-10,7.60074237208473e-08,6.77485525525379e-08,221,"tags=94%, list=16%, signal=80%","PTPRD/NRXN3/DLG2/NLGN1/GRIN2A/GRIA1/GRM5/IL1RAPL1/GRIA4/PPFIA2/DLGAP1/GRIN1/LRRTM4/DLGAP2/SYT1/NRXN1"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",33,-0.703795590309381,-2.55812397367543,8.95003538054032e-10,7.60074237208473e-08,6.77485525525379e-08,207,"tags=61%, list=15%, signal=53%","SLC1A2/DLG2/GABRB3/ERBB4/SNAP25/GRIA2/GRIN2A/GRIA1/GABRB1/PLCB1/CACNA2D3/GRIA4/LRRC7/PPFIA2/NRGN/GRIN1/CACNA1B/RIMS1/SYT1/NRG1"
"REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEUREXINS_AND_NEUROLIGINS",11,-0.859124087591241,-2.35369386538662,5.01181429744416e-08,3.10732486441538e-06,2.76968684858756e-06,205,"tags=100%, list=15%, signal=86%","DLG2/NLGN1/GRIN2A/GRM5/DLGAP1/GRIN1/LRRTM4/DLGAP2/SYT1/NRXN1"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",22,-0.709264502474396,-2.38820295487512,1.53023471164074e-06,7.58996416973809e-05,6.76524819883277e-05,190,"tags=59%, list=14%, signal=52%","DLG2/GABRB3/ERBB4/GRIA2/GRIN2A/GRIA1/GABRB1/PLCB1/GRIA4/LRRC7/NRGN/GRIN1/NRG1"
"REACTOME_LONG_TERM_POTENTIATION","REACTOME_LONG_TERM_POTENTIATION",10,-0.829176693742423,-2.21036552075879,3.1737548432439e-06,0.000131181866854081,0.000116927810014249,190,"tags=90%, list=14%, signal=78%","DLG2/ERBB4/GRIA2/GRIN2A/GRIA1/LRRC7/NRGN/GRIN1/NRG1"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",16,-0.732729303051042,-2.25872891657553,5.96208922703518e-06,0.000211228304043532,0.000188276501906374,190,"tags=62%, list=14%, signal=55%","DLG2/ERBB4/GRIA2/GRIN2A/GRIA1/GRIA4/LRRC7/NRGN/GRIN1/NRG1"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",103,0.319854341148598,2.07655730226866,7.19215095805346e-06,0.000222956679699657,0.000198730486998846,257,"tags=37%, list=19%, signal=32%","PIM1/HSPA5/PSMA5/TRIM25/BCL6/IRF1/SEC13/HSP90B1/MX2/P4HB/CCR1/NUP58/PTPN7/BCL2L1/CANX/ICAM1/IFI30/HSP90AA1/TNFRSF12A/IRF9/EIF2S2/FPR1/LTBR/FKBP5/F13A1/CASP8/MAPKAPK2/FCGR1A/CSK/MAP3K14/NUP160/HMOX1/TGFB1/MAPK14/PRKCD/RPLP0/ALPK1/JUNB"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",14,0.6285047225961,2.39400812501233,0.00021849238872888,0.00602067915608469,0.00536647972316547,290,"tags=71%, list=21%, signal=57%","OSCAR/SIGLEC9/FCGR3A/ICAM1/LAIR1/FCGR1A/SIGLEC10/LILRB1/CD300A/CXADR"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",36,0.421852556412516,2.11996228190128,0.00033493277677474,0.00830633286401354,0.00740377717081003,280,"tags=47%, list=20%, signal=39%","PIM1/HSPA5/TRIM25/IRF1/SEC13/MX2/NUP58/ICAM1/IFI30/IRF9/EIF2S2/FKBP5/FCGR1A/NUP160/PRKCD/PTPN2/PTPN11"
