"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",124,-0.495662568736233,-2.45118040442252,1.49380851666281e-10,8.75371790764404e-08,6.1796499689314e-08,1229,"tags=65%, list=32%, signal=45%","GABRB1/GRIN2D/GNG2/GNG3/GRM5/ARHGEF9/PLCB1/EPB41L5/GRIA4/ADCY6/NLGN4X/ACHE/CACNA2D3/KCNQ3/PRKCB/STXBP1/DLGAP1/CAMK2B/EPB41L3/RPS6KA6/KCND3/GABRB3/HOMER1/NRXN1/KCNB1/GNB5/CACNB4/KCNH1/KCNH5/BCHE/KCNN2/ADCY2/RIMS1/CAMK4/CACNB2/PRKAG2/KCNK2/DLG3/TUBB2A/GABBR2/TUBB3/GABRA2/SYN3/CAMK2A/SYT1/EPB41/NCALD/SHANK1/LRFN2/GRIA1/PPFIA4/SYN2/PRKAR2B/KCNA2/SHANK2/GABRG2/KCNH3/GABRA1/STX1A/CACNA1E/GRIN2B/GRIN2A/NRGN/HCN1/KCNJ6/CAMKK1/GRIP1/KCNQ5/GABRB2/CACNG3/NRG1/GRIN3A/KCNJ3/KCNB2/GRM1/CACNA1B/KCNH7/GABRG3/KCNC2/DLGAP2"
"REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA",171,0.340921595149862,2.24358597205746,1.58903888817969e-09,4.6558839423665e-07,3.28680148976115e-07,1998,"tags=84%, list=52%, signal=42%","MTO1/HSPB1/ZFP36/LENG1/SEH1L/QTRT2/PELP1/RRP1/NOP2/PES1/TRUB2/IMP4/NSUN4/CHERP/UTP20/THUMPD1/NSUN2/SF3B2/POLR2D/CASC3/BMS1/NUP188/SUGP1/NUP43/DDX23/EDC4/NUP214/FYTTD1/DDX49/MFAP1/TRIT1/POLR2A/SMNDC1/SRRT/EFTUD2/USP39/ZC3H18/NUP107/POLDIP3/FAM50A/CPSF3/HNRNPM/PSMC4/PSMD3/PABPC1/PUS7/POLR2I/CLNS1A/HTATSF1/NUP205/PSMD13/NUP50/DDX39A/ELAC2/CNOT8/CSNK1D/MAPKAPK2/PSMD6/EIF4B/ADRM1/DIS3/PSMC6/NUP58/CNOT11/EIF4A1/NSRP1/NUP98/UPF2/DCAF13/RBMX2/PHF5A/DDX21/RTCB/DDX46/PSMC1/LSM8/PSMB4/EIF4A3/CCDC12/EXOSC9/RBM28/POM121C/DHX38/U2AF2/URM1/ERCC3/PRPF6/PSMD2/LSM2/UBC/HNRNPL/NUP88/POLR2F/TRMT112/SNRNP40/PTBP1/PSMD11/BCAS2/DCP1A/SMG5/PSMD12/CNOT1/SRSF4/RCL1/UPF3B/RPS29/TGS1/HBS1L/SRSF10/HNRNPF/MTERF4/SNRPA1/RPS27L/RPL28/SNRPD2/RPS5/PRORP/THOC1/NUP153/HEATR1/REXO2/HNRNPA2B1/CWF19L2/RPL18/RPS27/DHX9/RBM17/CWC15/RPS28/AQR/YTHDC1/RPS19/WTAP/SRSF11/RPS9/RPL5/LRPPRC/UBL5/U2SURP/RPS16/NSUN6/HNRNPA1/XRN1/CCNH"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",89,-0.464724672419984,-2.1726055293708,2.57902269374788e-06,0.000503769099512087,0.000355633655664182,628,"tags=40%, list=16%, signal=35%","BCHE/ADCY2/RIMS1/CAMK4/CACNB2/PRKAG2/DLG3/TUBB2A/GABBR2/TUBB3/GABRA2/SYN3/CAMK2A/SYT1/NCALD/GRIA1/PPFIA4/SYN2/PRKAR2B/GABRG2/GABRA1/STX1A/CACNA1E/GRIN2B/GRIN2A/NRGN/KCNJ6/CAMKK1/GRIP1/GABRB2/CACNG3/NRG1/GRIN3A/KCNJ3/CACNA1B/GABRG3"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",75,0.384549847777642,2.19258968541992,6.1880374786228e-06,0.00090654749061824,0.000639973349762832,1983,"tags=91%, list=52%, signal=45%","LENG1/SEH1L/CHERP/SF3B2/POLR2D/CASC3/NUP188/SUGP1/NUP43/DDX23/NUP214/FYTTD1/MFAP1/POLR2A/SMNDC1/SRRT/EFTUD2/USP39/NUP107/POLDIP3/FAM50A/CPSF3/HNRNPM/POLR2I/HTATSF1/NUP205/NUP50/DDX39A/NUP58/NSRP1/NUP98/RBMX2/PHF5A/DDX46/LSM8/EIF4A3/CCDC12/POM121C/DHX38/U2AF2/PRPF6/LSM2/UBC/HNRNPL/NUP88/POLR2F/SNRNP40/PTBP1/BCAS2/SRSF4/UPF3B/SRSF10/HNRNPF/SNRPA1/SNRPD2/THOC1/NUP153/HNRNPA2B1/CWF19L2/DHX9/RBM17/CWC15/AQR/WTAP/SRSF11/UBL5/U2SURP/HNRNPA1"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",67,-0.470335571671486,-2.0923861972231,3.5695997141994e-05,0.00418357086504169,0.00295337407932708,628,"tags=39%, list=16%, signal=33%","ADCY2/CAMK4/PRKAG2/DLG3/TUBB2A/GABBR2/TUBB3/GABRA2/CAMK2A/NCALD/GRIA1/PRKAR2B/GABRG2/GABRA1/GRIN2B/GRIN2A/NRGN/KCNJ6/CAMKK1/GRIP1/GABRB2/CACNG3/NRG1/GRIN3A/KCNJ3/GABRG3"
"REACTOME_MRNA_SPLICING","REACTOME_MRNA_SPLICING",53,0.418536441410583,2.218172840683,6.24365884469445e-05,0.00516704992953557,0.00364765694684297,1983,"tags=92%, list=52%, signal=45%","LENG1/CHERP/SF3B2/POLR2D/CASC3/SUGP1/DDX23/MFAP1/POLR2A/SMNDC1/SRRT/EFTUD2/USP39/FAM50A/HNRNPM/POLR2I/HTATSF1/NSRP1/RBMX2/PHF5A/DDX46/LSM8/EIF4A3/CCDC12/DHX38/U2AF2/PRPF6/LSM2/HNRNPL/POLR2F/SNRNP40/PTBP1/BCAS2/SRSF4/UPF3B/SRSF10/HNRNPF/SNRPA1/SNRPD2/HNRNPA2B1/CWF19L2/DHX9/RBM17/CWC15/AQR/SRSF11/UBL5/U2SURP/HNRNPA1"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",47,0.436442298643822,2.20320480919796,6.18089738095956e-05,0.00516704992953557,0.00364765694684297,1676,"tags=85%, list=44%, signal=49%","LMNA/RANGAP1/SEH1L/NDE1/TUBB4A/SMC1A/NUP188/NUP43/ANAPC2/NUP107/PSMC4/PSMD3/NUP205/PSMD13/NUDC/RCC2/IST1/PSMD6/ADRM1/PSMC6/NUP58/NUP98/CENPQ/UBE2I/PSMC1/PSMB4/DYNC1LI2/TUBA1A/PSMD2/STAG2/UBC/BUB3/PSMD11/CENPP/PSMD12/PPP1CC/KPNB1/DYNC1H1/AHCTF1/PPP2R5C"
"REACTOME_CELL_CYCLE","REACTOME_CELL_CYCLE",132,0.28392055730833,1.85791983068714,7.05399307786426e-05,0.00516704992953557,0.00364765694684297,1603,"tags=62%, list=42%, signal=37%","LMNA/STN1/ORC6/SMC4/CDKN2A/RANGAP1/H2BC4/CCP110/SEH1L/E2F6/SUN2/NDE1/CDK11A/FEN1/CDK11B/H2AC6/TUBB4A/SMC1A/RFC4/NCAPD2/PIAS4/POLR2D/CDKN1C/NUP188/NUP43/NUP214/POLE4/POLR2A/ANAPC2/HSP90AB1/HAUS5/NUP107/CEP135/HSPA2/KAT5/PSMC4/PSMD3/HSP90AA1/POLR2I/NUP205/PSMD13/NUP50/NUDC/RCC2/CSNK1D/IST1/PSMD6/ADRM1/PSMC6/NEDD1/NUP58/TUBGCP5/NUP98/BARD1/MAX/CENPQ/SHQ1/UBE2I/PSMC1/PSMB4/DYNC1LI2/TUBA1A/POM121C/POLA1/NUMA1/PSMD2/STAG2/UBC/NUP88/POLR2F/TERF2IP/BUB3/PSMD11/CENPP/RFC1/PSMD12/CNTRL/PPP1CC/POLD2/KPNB1/RBL2/DYNC1H1"
"REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",26,0.536973972153063,2.31095020212418,9.63387999989568e-05,0.00521928175205362,0.00368452978005582,876,"tags=58%, list=23%, signal=45%","CITED1/H2BC4/CTSD/FKBP4/H2AC6/SMC1A/POLR2D/CBFB/POLR2A/HSP90AB1/CXXC5/PTGES3/KAT5/HSP90AA1/POLR2I"
"REACTOME_M_PHASE","REACTOME_M_PHASE",80,0.342353493922222,1.98738339435299,9.79728656528837e-05,0.00521928175205362,0.00368452978005582,1785,"tags=79%, list=46%, signal=43%","LMNA/SMC4/RANGAP1/H2BC4/CCP110/SEH1L/NDE1/H2AC6/TUBB4A/SMC1A/NCAPD2/NUP188/NUP43/NUP214/ANAPC2/HAUS5/NUP107/CEP135/PSMC4/PSMD3/HSP90AA1/NUP205/PSMD13/NUP50/NUDC/RCC2/CSNK1D/IST1/PSMD6/ADRM1/PSMC6/NEDD1/NUP58/TUBGCP5/NUP98/CENPQ/UBE2I/PSMC1/PSMB4/DYNC1LI2/TUBA1A/POM121C/NUMA1/PSMD2/STAG2/UBC/NUP88/BUB3/PSMD11/CENPP/PSMD12/CNTRL/PPP1CC/KPNB1/DYNC1H1/AHCTF1/PPP2R5C/TUBGCP2/TUBGCP3/CDK5RAP2/NUP153/SSNA1/PPP2CB"
"REACTOME_CELL_CYCLE_MITOTIC","REACTOME_CELL_CYCLE_MITOTIC",108,0.306321271262264,1.92503861684911,8.66038633430938e-05,0.00521928175205362,0.00368452978005582,1785,"tags=73%, list=46%, signal=40%","LMNA/ORC6/SMC4/CDKN2A/RANGAP1/H2BC4/CCP110/SEH1L/E2F6/NDE1/CDK11A/FEN1/CDK11B/H2AC6/TUBB4A/SMC1A/RFC4/NCAPD2/CDKN1C/NUP188/NUP43/NUP214/POLE4/ANAPC2/HSP90AB1/HAUS5/NUP107/CEP135/PSMC4/PSMD3/HSP90AA1/NUP205/PSMD13/NUP50/NUDC/RCC2/CSNK1D/IST1/PSMD6/ADRM1/PSMC6/NEDD1/NUP58/TUBGCP5/NUP98/MAX/CENPQ/UBE2I/PSMC1/PSMB4/DYNC1LI2/TUBA1A/POM121C/POLA1/NUMA1/PSMD2/STAG2/UBC/NUP88/BUB3/PSMD11/CENPP/RFC1/PSMD12/CNTRL/PPP1CC/POLD2/KPNB1/RBL2/DYNC1H1/AHCTF1/PPP2R5C/TUBGCP2/TUBGCP3/CDK5RAP2/NUP153/LIN52/SSNA1/PPP2CB"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION",83,0.337307852324959,1.98195253050372,0.000115059250298058,0.00561872672288852,0.00396651626027517,2104,"tags=88%, list=55%, signal=41%","MRPL39/CARS1/WARS1/EIF2B4/PPA1/GARS1/MRPL24/YARS1/MRPS2/EIF3D/SRPRA/PSMC4/PSMD3/PABPC1/NPLOC4/PSMD13/EEF1D/EIF5B/PSMD6/EIF4B/EIF5/ADRM1/PSMC6/KARS1/ANKZF1/EIF4A1/QARS1/EIF4H/UFD1/MRPS33/EIF3B/PSMC1/RARS1/IARS1/PSMB4/MRPL4/HARS2/AARS1/PSMD2/EEF2/UBC/TRMT112/GADD45GIP1/PSMD11/PSMD12/SARS1/RPS29/HBS1L/ELOB/SRP54/TCF25/RPS27L/RPL28/MRPL48/RPS5/EIF3J/SSR3/RPL18/RPS27/HARS1/UBE2D3/RPS28/RPS19/AURKAIP1/RPS9/RPL5/RPS16/NEMF/RPS8/RPS24/PPA2/RPL26/RPL24"
"REACTOME_SYNTHESIS_OF_DNA","REACTOME_SYNTHESIS_OF_DNA",22,0.549537847835616,2.23773206133989,0.000180335133148962,0.00690181258823404,0.0048723052760481,1569,"tags=91%, list=41%, signal=54%","ORC6/FEN1/RFC4/POLE4/ANAPC2/PSMC4/PSMD3/PSMD13/PSMD6/ADRM1/PSMC6/PSMC1/PSMB4/POLA1/PSMD2/UBC/PSMD11/RFC1/PSMD12/POLD2"
"REACTOME_S_PHASE","REACTOME_S_PHASE",30,0.486147611070188,2.17815603077686,0.000196782637149518,0.00690181258823404,0.0048723052760481,1602,"tags=80%, list=42%, signal=47%","ORC6/FEN1/SMC1A/RFC4/POLE4/ANAPC2/PSMC4/PSMD3/PSMD13/PSMD6/ADRM1/PSMC6/MAX/PSMC1/PSMB4/POLA1/PSMD2/STAG2/UBC/PSMD11/RFC1/PSMD12/POLD2/RBL2"
"REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS",23,0.524005418678933,2.1708384939349,0.000184809124129707,0.00690181258823404,0.0048723052760481,1518,"tags=87%, list=40%, signal=53%","HSPB1/ZFP36/NUP214/PSMC4/PSMD3/PABPC1/PSMD13/MAPKAPK2/PSMD6/ADRM1/DIS3/PSMC6/PSMC1/PSMB4/EXOSC9/PSMD2/UBC/PSMD11/DCP1A/PSMD12"
"REACTOME_ESR_MEDIATED_SIGNALING","REACTOME_ESR_MEDIATED_SIGNALING",41,0.429546876785127,2.15983403577047,0.000200223232081875,0.00690181258823404,0.0048723052760481,876,"tags=49%, list=23%, signal=38%","CITED1/FKBP5/HSPB1/H2BC4/CTSD/FKBP4/CAV1/GNG5/H2AC6/SMC1A/CAV2/POLR2D/CBFB/POLR2A/HSP90AB1/CXXC5/PTGES3/KAT5/HSP90AA1/POLR2I"
"REACTOME_POTASSIUM_CHANNELS","REACTOME_POTASSIUM_CHANNELS",24,-0.594760679522797,-2.07016738109428,0.000172392644181162,0.00690181258823404,0.0048723052760481,887,"tags=71%, list=23%, signal=55%","KCND3/KCNB1/GNB5/KCNH1/KCNH5/KCNN2/KCNK2/GABBR2/KCNA2/KCNH3/HCN1/KCNJ6/KCNQ5/KCNJ3/KCNB2/KCNH7/KCNC2"
"REACTOME_DNA_REPLICATION","REACTOME_DNA_REPLICATION",31,0.472148192997567,2.1368818789146,0.000257308278677946,0.00793592901606719,0.00560233537509324,1615,"tags=87%, list=42%, signal=51%","ORC6/H2BC4/FEN1/H2AC6/RFC4/RNASEH1/POLE4/ANAPC2/POLG/PSMC4/PSMD3/PSMD13/PSMD6/ADRM1/PSMC6/PSMC1/PSMB4/POLA1/PSMD2/KPNA1/UBC/PSMD11/RFC1/PSMD12/POLD2/KPNB1/SSBP1"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",77,0.338879367801784,1.94952904261973,0.000250466976530935,0.00793592901606719,0.00560233537509324,1639,"tags=75%, list=43%, signal=44%","SERPINB1/MVP/CD55/CTSD/JUP/ADGRE5/TSPAN14/IQGAP1/ARPC5/TMC6/AMPD3/NFASC/CRISPLD2/NPC2/CD63/HSP90AB1/RHOG/PADI2/KCMF1/LAMP2/GUSB/PLD1/LAMP1/ATP11A/PSMD3/HSP90AA1/PSMD13/IST1/PSMD6/GOLGA7/RAP1A/PSAP/MOSPD2/C1orf35/GSN/SERPINB6/RAB5B/DPP7/DDX3X/PYGB/SNAP23/MANBA/QSOX1/PSMD2/EEF2/PSMD11/FTH1/PSMD12/ATP11B/TIMP2/PYGL/FAF2/KPNB1/GNS/DYNC1H1/ATP6V0A1/GSTP1/SVIP"
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS","REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",35,0.449148283280272,2.11405144908422,0.000312371017194195,0.00915247080378992,0.00646114788196415,1166,"tags=69%, list=30%, signal=48%","HSPB1/CRYAB/DNAJB1/SEH1L/AKT1S1/FKBP4/HSPA4/NUP188/NUP43/NUP214/HSP90AB1/NUP107/HSPA2/PTGES3/HSP90AA1/NUP205/RPTOR/NUP50/CAMK2D/MAPKAPK2/NUP58/HSPA5/NUP98/DNAJC2"
"REACTOME_HIV_INFECTION","REACTOME_HIV_INFECTION",58,0.36679181626689,1.95378369223604,0.000353509121607088,0.00986458786960732,0.00696386389932761,1573,"tags=67%, list=41%, signal=40%","HMGA1/RANGAP1/SEH1L/FEN1/CXCR4/POLR2D/NUP188/NUP43/NUP214/POLR2A/PAK2/NUP107/PSMC4/PSMD3/POLR2I/TAF12/NUP205/AP1S2/PSMD13/NUP50/PSMD6/ADRM1/PSMC6/NUP58/NUP98/PSMC1/PSMB4/POM121C/ERCC3/PSMD2/KPNA1/UBC/NUP88/POLR2F/SUPT16H/PSMD11/PSMD12/ELMO1/KPNB1"
