"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION","GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION",12,0.5743185828525,2.14440557625362,0.00134213090879841,0.0883782359753827,0.0713652662526522,16,"tags=50%, list=12%, signal=48%","HSPA1B/HSPA1A/LCOR/MIF/TARDBP/ROCK2"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",12,0.561175872254544,2.09533298355887,0.0018159911501791,0.0883782359753827,0.0713652662526522,22,"tags=58%, list=16%, signal=54%","HSPA1B/HSPA1A/MIF/SNCA/TARDBP/ROCK2/YWHAZ"
"GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION","GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION",11,0.580326826322784,2.03443567629683,0.00157321098757109,0.0883782359753827,0.0713652662526522,16,"tags=45%, list=12%, signal=44%","HSPA1B/HSPA1A/MIF/TARDBP/ROCK2"
"GOBP_CELLULAR_RESPONSE_TO_STRESS","GOBP_CELLULAR_RESPONSE_TO_STRESS",24,0.385268209826112,1.90513430493975,0.00311611402000921,0.113738161730336,0.0918433605897451,37,"tags=58%, list=28%, signal=51%","HSPA1B/HSPA1A/MIF/MARCKS/SNCA/TARDBP/ROCK2/YWHAZ/MORF4L2/APBB1/PKN2/STAU2/MICU1/ATP1A1"
"GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION","GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION",16,0.461651671607971,1.92434367588426,0.00488953794806032,0.118302782597052,0.0955292837121112,15,"tags=38%, list=11%, signal=38%","HSPA1B/HSPA1A/MIF/SNCA/GNAO1/NDRG4"
"GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION",13,0.480176589013423,1.8498648662912,0.0135405093590385,0.118302782597052,0.0955292837121112,16,"tags=46%, list=12%, signal=45%","HSPA1B/HSPA1A/MARCKS/SNCA/TARDBP/ROCK2"
"GOBP_MACROMOLECULE_CATABOLIC_PROCESS","GOBP_MACROMOLECULE_CATABOLIC_PROCESS",14,0.469048327566766,1.84623943696472,0.00929601846692746,0.118302782597052,0.0955292837121112,16,"tags=43%, list=12%, signal=42%","HSPA1B/HSPA1A/SNCA/TARDBP/RBM26/ROCK2"
"GOBP_REGULATION_OF_CELL_CYCLE","GOBP_REGULATION_OF_CELL_CYCLE",12,0.478172196022302,1.78541171080827,0.0131759571839874,0.118302782597052,0.0955292837121112,28,"tags=58%, list=21%, signal=51%","HSPA1B/HSPA1A/TARDBP/ROCK2/MORF4L2/APBB1/PKN2"
"GOBP_MUSCLE_CONTRACTION","GOBP_MUSCLE_CONTRACTION",10,0.526805065450625,1.76212766237502,0.014804332291268,0.118302782597052,0.0955292837121112,42,"tags=80%, list=31%, signal=59%","RPL14/GNAO1/ROCK2/RPL35A/APBB1/RPL37A/ATP1A1/RPL36"
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS",14,0.447321677698894,1.76072032206397,0.0153955675982465,0.118302782597052,0.0955292837121112,15,"tags=36%, list=11%, signal=35%","HSPA1B/HSPA1A/MIF/SNCA/NDRG4"
"GOBP_MUSCLE_SYSTEM_PROCESS","GOBP_MUSCLE_SYSTEM_PROCESS",11,0.493969254692494,1.73169433008634,0.0107456107389593,0.118302782597052,0.0955292837121112,54,"tags=91%, list=40%, signal=59%","RPL14/GNAO1/ROCK2/RPL35A/APBB1/RPL37A/ATP1A1/RPL36/SCN2A/PPP3CA"
"GOBP_REGULATION_OF_PROTEIN_METABOLIC_PROCESS","GOBP_REGULATION_OF_PROTEIN_METABOLIC_PROCESS",15,0.43496100266924,1.73062690716042,0.00896560302353619,0.118302782597052,0.0955292837121112,21,"tags=47%, list=16%, signal=44%","HSPA1B/HSPA1A/MIF/SNCA/TARDBP/ROCK2/BEX3"
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",11,0.491803251127083,1.72410103139915,0.0111511002348144,0.118302782597052,0.0955292837121112,10,"tags=36%, list=7%, signal=37%","HSPA1B/HSPA1A/MIF/SNCA"
"GOBP_REGULATION_OF_TRANSPORT","GOBP_REGULATION_OF_TRANSPORT",23,0.353534850340691,1.71500269986218,0.00843332954841119,0.118302782597052,0.0955292837121112,25,"tags=39%, list=19%, signal=38%","HSPA1A/MIF/SNCA/TARDBP/PPP3R1/GNAO1/NDRG4/SESTD1/APBB1"
"GOBP_PHOSPHORUS_METABOLIC_PROCESS","GOBP_PHOSPHORUS_METABOLIC_PROCESS",18,0.385622247908708,1.70084461096742,0.0101847251330241,0.118302782597052,0.0955292837121112,22,"tags=44%, list=16%, signal=43%","HSPA1B/HSPA1A/MIF/SNCA/TARDBP/ROCK2/DSCAM/YWHAZ"
"GOBP_PROTEIN_MODIFICATION_PROCESS","GOBP_PROTEIN_MODIFICATION_PROCESS",17,0.390710213898801,1.66592381460097,0.0123167643054471,0.118302782597052,0.0955292837121112,31,"tags=53%, list=23%, signal=47%","HSPA1B/HSPA1A/TARDBP/ROCK2/BEX3/YWHAZ/PKN2/ZNF451/TRIM2"
"GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS",11,0.473135618494588,1.65865842889153,0.0142625213055592,0.118302782597052,0.0955292837121112,16,"tags=45%, list=12%, signal=44%","HSPA1B/HSPA1A/SNCA/TARDBP/ROCK2"
"GOBP_REGULATION_OF_RESPONSE_TO_STRESS","GOBP_REGULATION_OF_RESPONSE_TO_STRESS",17,0.382998019209504,1.63304029034515,0.0141854870775066,0.118302782597052,0.0955292837121112,24,"tags=41%, list=18%, signal=39%","HSPA1B/HSPA1A/MIF/SNCA/ROCK2/YWHAZ/MORF4L2"
"GOBP_POSITIVE_REGULATION_OF_SIGNALING","GOBP_POSITIVE_REGULATION_OF_SIGNALING",26,0.325710668895576,1.62497400408888,0.0141470438331117,0.118302782597052,0.0955292837121112,16,"tags=31%, list=12%, signal=34%","HSPA1B/HSPA1A/MIF/SNCA/TARDBP/PPP3R1/NDRG4/ROCK2"
"GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION",11,0.457180956843565,1.60272661358711,0.0177940970767491,0.129896908660269,0.104891519610311,16,"tags=45%, list=12%, signal=44%","HSPA1B/HSPA1A/PTGES3/SNCA/ROCK2"
"GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION","GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION",18,0.354967086280749,1.56563543479563,0.0201316975333241,0.139963230469777,0.113020056327433,16,"tags=33%, list=12%, signal=34%","HSPA1B/HSPA1A/MIF/PPP3R1/NDRG4/ROCK2"
"GOBP_GROWTH","GOBP_GROWTH",12,0.453903222876734,1.69479559129352,0.0233328605640818,0.147864807840867,0.11940056581238,18,"tags=33%, list=13%, signal=32%","HSPA1B/HSPA1A/NDRG4/DSCAM"
"GOBP_REGULATION_OF_GROWTH","GOBP_REGULATION_OF_GROWTH",10,0.493098071631991,1.64938002550006,0.0250426053399248,0.147864807840867,0.11940056581238,2,"tags=20%, list=1%, signal=21%","HSPA1B/HSPA1A"
"GOBP_MRNA_METABOLIC_PROCESS","GOBP_MRNA_METABOLIC_PROCESS",10,0.492750220490218,1.64821648672735,0.0253193164111074,0.147864807840867,0.11940056581238,16,"tags=50%, list=12%, signal=48%","HSPA1B/HSPA1A/SRRM2/TARDBP/ROCK2"
"GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH","GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH",11,0.44205423392453,1.54969728015625,0.0243139619221182,0.147864807840867,0.11940056581238,10,"tags=36%, list=7%, signal=37%","HSPA1B/HSPA1A/MIF/SNCA"
